category,pageid,work_title,page_title,work_folder,juan_index,raw_path,clean_path,char_count_raw,char_count_clean,is_empty_page
琉球國,402444,中山王府相卿傳職年譜,中山王府相卿傳職年譜,中山王府相卿傳職年譜,1,scrape_output\raw\琉球國\中山王府相卿傳職年譜\中山王府相卿傳職年譜__juan_01.txt,scrape_output\clean\琉球國\中山王府相卿傳職年譜\中山王府相卿傳職年譜__juan_01.txt,1901,1806,0
琉球國,106092,中山見聞辨異,中山見聞辨異,中山見聞辨異,1,scrape_output\raw\琉球國\中山見聞辨異\中山見聞辨異__juan_01.txt,scrape_output\clean\琉球國\中山見聞辨異\中山見聞辨異__juan_01.txt,11092,10899,0
琉球國,1213944,北上雜記,北上雜記/卷一,北上雜記,1,scrape_output\raw\琉球國\北上雜記\北上雜記__juan_01.txt,scrape_output\clean\琉球國\北上雜記\北上雜記__juan_01.txt,15556,15485,0
琉球國,1213944,北上雜記,北上雜記/卷二,北上雜記,2,scrape_output\raw\琉球國\北上雜記\北上雜記__juan_02.txt,scrape_output\clean\琉球國\北上雜記\北上雜記__juan_02.txt,11651,11579,0
琉球國,1213944,北上雜記,北上雜記/卷三,北上雜記,3,scrape_output\raw\琉球國\北上雜記\北上雜記__juan_03.txt,scrape_output\clean\琉球國\北上雜記\北上雜記__juan_03.txt,0,0,1
琉球國,1213944,北上雜記,北上雜記/卷四,北上雜記,4,scrape_output\raw\琉球國\北上雜記\北上雜記__juan_04.txt,scrape_output\clean\琉球國\北上雜記\北上雜記__juan_04.txt,0,0,1
琉球國,1213944,北上雜記,北上雜記/卷五,北上雜記,5,scrape_output\raw\琉球國\北上雜記\北上雜記__juan_05.txt,scrape_output\clean\琉球國\北上雜記\北上雜記__juan_05.txt,0,0,1
琉球國,351360,南島志,南島志,南島志,1,scrape_output\raw\琉球國\南島志\南島志__juan_01.txt,scrape_output\clean\琉球國\南島志\南島志__juan_01.txt,192,97,0
琉球國,7883,向德宏初次稟稿,向德宏初次稟稿,向德宏初次稟稿,1,scrape_output\raw\琉球國\向德宏初次稟稿\向德宏初次稟稿__juan_01.txt,scrape_output\clean\琉球國\向德宏初次稟稿\向德宏初次稟稿__juan_01.txt,776,675,0
琉球國,29876,宋史,宋史/卷491,宋史,1,scrape_output\raw\琉球國\宋史\宋史__juan_01.txt,scrape_output\clean\琉球國\宋史\宋史__juan_01.txt,11349,11278,0
琉球國,112436,山北今歸仁城監守來歷碑記,山北今歸仁城監守來歷碑記,山北今歸仁城監守來歷碑記,1,scrape_output\raw\琉球國\山北今歸仁城監守來歷碑記\山北今歸仁城監守來歷碑記__juan_01.txt,scrape_output\clean\琉球國\山北今歸仁城監守來歷碑記\山北今歸仁城監守來歷碑記__juan_01.txt,490,398,0
琉球國,1216130,指南廣義,指南廣義,指南廣義,1,scrape_output\raw\琉球國\指南廣義\指南廣義__juan_01.txt,scrape_output\clean\琉球國\指南廣義\指南廣義__juan_01.txt,18546,18085,0
琉球國,177058,海東諸國記,海東諸國記,海東諸國記,1,scrape_output\raw\琉球國\海東諸國記\海東諸國記__juan_01.txt,scrape_output\clean\琉球國\海東諸國記\海東諸國記__juan_01.txt,36083,34452,0
琉球國,349632,王代記,王代記,王代記,1,scrape_output\raw\琉球國\王代記\王代記__juan_01.txt,scrape_output\clean\琉球國\王代記\王代記__juan_01.txt,19385,19296,0
琉球國,113305,琉球國中山王尚寧爲急報倭亂致緩貢期事,琉球國中山王尚寧爲急報倭亂致緩貢期事,琉球國中山王尚寧爲急報倭亂致緩貢期事,1,scrape_output\raw\琉球國\琉球國中山王尚寧爲急報倭亂致緩貢期事\琉球國中山王尚寧爲急報倭亂致緩貢期事__juan_01.txt,scrape_output\clean\琉球國\琉球國中山王尚寧爲急報倭亂致緩貢期事\琉球國中山王尚寧爲急報倭亂致緩貢期事__juan_01.txt,2534,2418,0
琉球國,349461,琉球國中山王府官制,琉球國中山王府官制,琉球國中山王府官制,1,scrape_output\raw\琉球國\琉球國中山王府官制\琉球國中山王府官制__juan_01.txt,scrape_output\clean\琉球國\琉球國中山王府官制\琉球國中山王府官制__juan_01.txt,6828,6821,0
琉球國,1202694,琉球國舊記,琉球國舊記/卷之一,琉球國舊記,1,scrape_output\raw\琉球國\琉球國舊記\琉球國舊記__juan_01.txt,scrape_output\clean\琉球國\琉球國舊記\琉球國舊記__juan_01.txt,10960,10704,0
