root_title,work_id,work_title,display_title,author,times,mode,page_title,juan_index,raw_path,clean_path,chars_raw,chars_clean
大越史略,大越史略,大越史略,大越史略,,,toc_juan,大越史略/卷上,1,raw\大越史略\大越史略__juan_0001.txt,clean\大越史略\大越史略__juan_0001.txt,2613,2613
大越史略,大越史略,大越史略,大越史略,,,toc_juan,大越史略/卷下,2,raw\大越史略\大越史略__juan_0002.txt,clean\大越史略\大越史略__juan_0002.txt,963,963
大越史略,大越史略,大越史略,大越史略,,,toc_juan,大越史略/卷中,3,raw\大越史略\大越史略__juan_0003.txt,clean\大越史略\大越史略__juan_0003.txt,1897,1897
越史略,越史略,越史略,越史略,,,toc_juan,越史略/卷上,1,raw\越史略\越史略__juan_0001.txt,clean\越史略\越史略__juan_0001.txt,9755,9755
越史略,越史略,越史略,越史略,,,toc_juan,越史略/卷下,2,raw\越史略\越史略__juan_0002.txt,clean\越史略\越史略__juan_0002.txt,19025,19025
越史略,越史略,越史略,越史略,,,toc_juan,越史略/卷中,3,raw\越史略\越史略__juan_0003.txt,clean\越史略\越史略__juan_0003.txt,12757,12757
高麗版大藏經,放光般若波羅蜜經,放光般若波羅蜜經,放光般若波羅蜜經,無羅叉,西晉,gaoli_index,放光般若波羅蜜經/卷一,1,raw\放光般若波羅蜜經\放光般若波羅蜜經__juan_0001.txt,clean\放光般若波羅蜜經\放光般若波羅蜜經__juan_0001.txt,7057,7057
高麗版大藏經,放光般若波羅蜜經,放光般若波羅蜜經,放光般若波羅蜜經,無羅叉,西晉,gaoli_index,放光般若波羅蜜經/卷七,2,raw\放光般若波羅蜜經\放光般若波羅蜜經__juan_0002.txt,clean\放光般若波羅蜜經\放光般若波羅蜜經__juan_0002.txt,7857,7857
高麗版大藏經,放光般若波羅蜜經,放光般若波羅蜜經,放光般若波羅蜜經,無羅叉,西晉,gaoli_index,放光般若波羅蜜經/卷三,3,raw\放光般若波羅蜜經\放光般若波羅蜜經__juan_0003.txt,clean\放光般若波羅蜜經\放光般若波羅蜜經__juan_0003.txt,8657,8657
高麗版大藏經,放光般若波羅蜜經,放光般若波羅蜜經,放光般若波羅蜜經,無羅叉,西晉,gaoli_index,放光般若波羅蜜經/卷三十,4,raw\放光般若波羅蜜經\放光般若波羅蜜經__juan_0004.txt,clean\放光般若波羅蜜經\放光般若波羅蜜經__juan_0004.txt,7786,7786
高麗版大藏經,放光般若波羅蜜經,放光般若波羅蜜經,放光般若波羅蜜經,無羅叉,西晉,gaoli_index,放光般若波羅蜜經/卷九,5,raw\放光般若波羅蜜經\放光般若波羅蜜經__juan_0005.txt,clean\放光般若波羅蜜經\放光般若波羅蜜經__juan_0005.txt,8669,8669
高麗版大藏經,放光般若波羅蜜經,放光般若波羅蜜經,放光般若波羅蜜經,無羅叉,西晉,gaoli_index,放光般若波羅蜜經/卷二,6,raw\放光般若波羅蜜經\放光般若波羅蜜經__juan_0006.txt,clean\放光般若波羅蜜經\放光般若波羅蜜經__juan_0006.txt,11425,11425
高麗版大藏經,放光般若波羅蜜經,放光般若波羅蜜經,放光般若波羅蜜經,無羅叉,西晉,gaoli_index,放光般若波羅蜜經/卷二十,7,raw\放光般若波羅蜜經\放光般若波羅蜜經__juan_0007.txt,clean\放光般若波羅蜜經\放光般若波羅蜜經__juan_0007.txt,13124,13124
高麗版大藏經,放光般若波羅蜜經,放光般若波羅蜜經,放光般若波羅蜜經,無羅叉,西晉,gaoli_index,放光般若波羅蜜經/卷二十一,8,raw\放光般若波羅蜜經\放光般若波羅蜜經__juan_0008.txt,clean\放光般若波羅蜜經\放光般若波羅蜜經__juan_0008.txt,4726,4726
高麗版大藏經,放光般若波羅蜜經,放光般若波羅蜜經,放光般若波羅蜜經,無羅叉,西晉,gaoli_index,放光般若波羅蜜經/卷二十七,9,raw\放光般若波羅蜜經\放光般若波羅蜜經__juan_0009.txt,clean\放光般若波羅蜜經\放光般若波羅蜜經__juan_0009.txt,9971,9971
高麗版大藏經,放光般若波羅蜜經,放光般若波羅蜜經,放光般若波羅蜜經,無羅叉,西晉,gaoli_index,放光般若波羅蜜經/卷二十三,10,raw\放光般若波羅蜜經\放光般若波羅蜜經__juan_0010.txt,clean\放光般若波羅蜜經\放光般若波羅蜜經__juan_0010.txt,9965,9965
高麗版大藏經,放光般若波羅蜜經,放光般若波羅蜜經,放光般若波羅蜜經,無羅叉,西晉,gaoli_index,放光般若波羅蜜經/卷二十九,11,raw\放光般若波羅蜜經\放光般若波羅蜜經__juan_0011.txt,clean\放光般若波羅蜜經\放光般若波羅蜜經__juan_0011.txt,8417,8417
高麗版大藏經,放光般若波羅蜜經,放光般若波羅蜜經,放光般若波羅蜜經,無羅叉,西晉,gaoli_index,放光般若波羅蜜經/卷二十二,12,raw\放光般若波羅蜜經\放光般若波羅蜜經__juan_0012.txt,clean\放光般若波羅蜜經\放光般若波羅蜜經__juan_0012.txt,9303,9303
高麗版大藏經,放光般若波羅蜜經,放光般若波羅蜜經,放光般若波羅蜜經,無羅叉,西晉,gaoli_index,放光般若波羅蜜經/卷二十五,13,raw\放光般若波羅蜜經\放光般若波羅蜜經__juan_0013.txt,clean\放光般若波羅蜜經\放光般若波羅蜜經__juan_0013.txt,9513,9513
高麗版大藏經,放光般若波羅蜜經,放光般若波羅蜜經,放光般若波羅蜜經,無羅叉,西晉,gaoli_index,放光般若波羅蜜經/卷二十八,14,raw\放光般若波羅蜜經\放光般若波羅蜜經__juan_0014.txt,clean\放光般若波羅蜜經\放光般若波羅蜜經__juan_0014.txt,9720,9720
高麗版大藏經,放光般若波羅蜜經,放光般若波羅蜜經,放光般若波羅蜜經,無羅叉,西晉,gaoli_index,放光般若波羅蜜經/卷二十六,15,raw\放光般若波羅蜜經\放光般若波羅蜜經__juan_0015.txt,clean\放光般若波羅蜜經\放光般若波羅蜜經__juan_0015.txt,9504,9504
高麗版大藏經,放光般若波羅蜜經,放光般若波羅蜜經,放光般若波羅蜜經,無羅叉,西晉,gaoli_index,放光般若波羅蜜經/卷二十四,16,raw\放光般若波羅蜜經\放光般若波羅蜜經__juan_0016.txt,clean\放光般若波羅蜜經\放光般若波羅蜜經__juan_0016.txt,10291,10291
高麗版大藏經,放光般若波羅蜜經,放光般若波羅蜜經,放光般若波羅蜜經,無羅叉,西晉,gaoli_index,放光般若波羅蜜經/卷五,17,raw\放光般若波羅蜜經\放光般若波羅蜜經__juan_0017.txt,clean\放光般若波羅蜜經\放光般若波羅蜜經__juan_0017.txt,11111,11111
