folder_type,corpus_root,category,work_folder,pageid,work_title,display_title,page_title,author,times,juan_index,raw_path,clean_path,char_count_raw,char_count_clean,is_empty_page
clean,中國漢文,三國,七佛父母姓字經,,七佛父母姓字經,七佛父母姓字經,七佛父母姓字經,,,1,中國漢文\raw\三國\七佛父母姓字經\七佛父母姓字經__juan_01.txt,中國漢文\clean\三國\七佛父母姓字經\七佛父母姓字經__juan_01.txt,1692,1655,0
clean,中國漢文,三國,七步詩,,七步詩,七步詩,七步詩,,,1,中國漢文\raw\三國\七步詩\七步詩__juan_01.txt,中國漢文\clean\三國\七步詩\七步詩__juan_01.txt,146,109,0
clean,中國漢文,三國,九章算術注序,,九章算術注序,九章算術注序,九章算術注序,,,1,中國漢文\raw\三國\九章算術注序\九章算術注序__juan_01.txt,中國漢文\clean\三國\九章算術注序\九章算術注序__juan_01.txt,946,908,0
clean,中國漢文,三國,了本生死經,,了本生死經,了本生死經,了本生死經,,,1,中國漢文\raw\三國\了本生死經\了本生死經__juan_01.txt,中國漢文\clean\三國\了本生死經\了本生死經__juan_01.txt,2639,2602,0
clean,中國漢文,三國,五母子經 (支謙譯本一),,五母子經 (支謙譯本一),五母子經 (支謙譯本一),五母子經 (支謙譯本一),,,1,中國漢文\raw\三國\五母子經 (支謙譯本一)\五母子經 (支謙譯本一)__juan_01.txt,中國漢文\clean\三國\五母子經 (支謙譯本一)\五母子經 (支謙譯本一)__juan_01.txt,1029,992,0
clean,中國漢文,三國,人物志,,人物志,人物志,人物志,,,1,中國漢文\raw\三國\人物志\人物志__juan_01.txt,中國漢文\clean\三國\人物志\人物志__juan_01.txt,95,57,0
clean,中國漢文,三國,佛說七女經,,佛說七女經,佛說七女經,佛說七女經,,,1,中國漢文\raw\三國\佛說七女經\佛說七女經__juan_01.txt,中國漢文\clean\三國\佛說七女經\佛說七女經__juan_01.txt,3362,3325,0
clean,中國漢文,三國,佛說七知經,,佛說七知經,佛說七知經,佛說七知經,,,1,中國漢文\raw\三國\佛說七知經\佛說七知經__juan_01.txt,中國漢文\clean\三國\佛說七知經\佛說七知經__juan_01.txt,1054,1017,0
clean,中國漢文,三國,佛說三品弟子經,,佛說三品弟子經,佛說三品弟子經,佛說三品弟子經,,,1,中國漢文\raw\三國\佛說三品弟子經\佛說三品弟子經__juan_01.txt,中國漢文\clean\三國\佛說三品弟子經\佛說三品弟子經__juan_01.txt,1311,1267,0
clean,中國漢文,三國,佛說三摩竭經,,佛說三摩竭經,佛說三摩竭經,佛說三摩竭經,,,1,中國漢文\raw\三國\佛說三摩竭經\佛說三摩竭經__juan_01.txt,中國漢文\clean\三國\佛說三摩竭經\佛說三摩竭經__juan_01.txt,4197,4160,0
