category,pageid,work_title,page_title,work_folder,juan_index,raw_path,clean_path,char_count_raw,char_count_clean,is_empty_page
西周,90659,七年趞曹鼎銘文,七年趞曹鼎銘文,七年趞曹鼎銘文,1,scrape_output\raw\西周\七年趞曹鼎銘文\七年趞曹鼎銘文__juan_01.txt,scrape_output\clean\西周\七年趞曹鼎銘文\七年趞曹鼎銘文__juan_01.txt,163,71,0
西周,90772,九年衛鼎銘文,九年衛鼎銘文,九年衛鼎銘文,1,scrape_output\raw\西周\九年衛鼎銘文\九年衛鼎銘文__juan_01.txt,scrape_output\clean\西周\九年衛鼎銘文\九年衛鼎銘文__juan_01.txt,346,237,0
西周,90767,五祀衛鼎銘文,五祀衛鼎銘文,五祀衛鼎銘文,1,scrape_output\raw\西周\五祀衛鼎銘文\五祀衛鼎銘文__juan_01.txt,scrape_output\clean\西周\五祀衛鼎銘文\五祀衛鼎銘文__juan_01.txt,360,260,0
西周,772197,何尊銘文,何尊銘文,何尊銘文,1,scrape_output\raw\西周\何尊銘文\何尊銘文__juan_01.txt,scrape_output\clean\西周\何尊銘文\何尊銘文__juan_01.txt,333,240,0
西周,377023,兮甲盘铭文,兮甲盘铭文,兮甲盘铭文,1,scrape_output\raw\西周\兮甲盘铭文\兮甲盘铭文__juan_01.txt,scrape_output\clean\西周\兮甲盘铭文\兮甲盘铭文__juan_01.txt,274,180,0
西周,90567,利簋銘文,利簋銘文,利簋銘文,1,scrape_output\raw\西周\利簋銘文\利簋銘文__juan_01.txt,scrape_output\clean\西周\利簋銘文\利簋銘文__juan_01.txt,134,42,0
西周,90648,十五年趞曹鼎銘文,十五年趞曹鼎銘文,十五年趞曹鼎銘文,1,scrape_output\raw\西周\十五年趞曹鼎銘文\十五年趞曹鼎銘文__juan_01.txt,scrape_output\clean\西周\十五年趞曹鼎銘文\十五年趞曹鼎銘文__juan_01.txt,165,73,0
西周,90392,史牆盤銘文,史牆盤銘文,史牆盤銘文,1,scrape_output\raw\西周\史牆盤銘文\史牆盤銘文__juan_01.txt,scrape_output\clean\西周\史牆盤銘文\史牆盤銘文__juan_01.txt,617,519,0
西周,90312,大克鼎銘文,大克鼎銘文,大克鼎銘文,1,scrape_output\raw\西周\大克鼎銘文\大克鼎銘文__juan_01.txt,scrape_output\clean\西周\大克鼎銘文\大克鼎銘文__juan_01.txt,652,541,0
西周,90316,大盂鼎銘文,大盂鼎銘文,大盂鼎銘文,1,scrape_output\raw\西周\大盂鼎銘文\大盂鼎銘文__juan_01.txt,scrape_output\clean\西周\大盂鼎銘文\大盂鼎銘文__juan_01.txt,2705,2231,0
西周,90623,天亡簋銘文,天亡簋銘文,天亡簋銘文,1,scrape_output\raw\西周\天亡簋銘文\天亡簋銘文__juan_01.txt,scrape_output\clean\西周\天亡簋銘文\天亡簋銘文__juan_01.txt,185,93,0
西周,179832,宗周鐘銘文,宗周鐘銘文,宗周鐘銘文,1,scrape_output\raw\西周\宗周鐘銘文\宗周鐘銘文__juan_01.txt,scrape_output\clean\西周\宗周鐘銘文\宗周鐘銘文__juan_01.txt,348,252,0
西周,90387,散氏盤銘文,散氏盤銘文,散氏盤銘文,1,scrape_output\raw\西周\散氏盤銘文\散氏盤銘文__juan_01.txt,scrape_output\clean\西周\散氏盤銘文\散氏盤銘文__juan_01.txt,723,614,0
西周,90323,晉侯穌編鐘銘文,晉侯穌編鐘銘文,晉侯穌編鐘銘文,1,scrape_output\raw\西周\晉侯穌編鐘銘文\晉侯穌編鐘銘文__juan_01.txt,scrape_output\clean\西周\晉侯穌編鐘銘文\晉侯穌編鐘銘文__juan_01.txt,619,499,0
西周,90308,毛公鼎銘文,毛公鼎銘文,毛公鼎銘文,1,scrape_output\raw\西周\毛公鼎銘文\毛公鼎銘文__juan_01.txt,scrape_output\clean\西周\毛公鼎銘文\毛公鼎銘文__juan_01.txt,739,695,0
西周,90540,班簋銘文,班簋銘文,班簋銘文,1,scrape_output\raw\西周\班簋銘文\班簋銘文__juan_01.txt,scrape_output\clean\西周\班簋銘文\班簋銘文__juan_01.txt,336,235,0
西周,90404,虢季子白盤銘文,虢季子白盤銘文,虢季子白盤銘文,1,scrape_output\raw\西周\虢季子白盤銘文\虢季子白盤銘文__juan_01.txt,scrape_output\clean\西周\虢季子白盤銘文\虢季子白盤銘文__juan_01.txt,282,176,0
西周,90844,遹簋銘文,遹簋銘文,遹簋銘文,1,scrape_output\raw\西周\遹簋銘文\遹簋銘文__juan_01.txt,scrape_output\clean\西周\遹簋銘文\遹簋銘文__juan_01.txt,316,222,0
