group_key,work_id,folder_path,expected_fallback_documents
work_76620,76620,中國漢文/clean/清朝/大清/欽定古今圖書集成,9879
work_69565,69565,中國漢文/clean/明朝/大明/永樂大典,1580
work_8563,8563,中國漢文/clean/唐朝/全唐文,990
work_74786,74786,中國漢文/clean/清朝/大清/全唐詩,898
work_8564,8564,中國漢文/clean/唐朝/全唐詩,338
work_51009,51009,中國漢文/clean/宋朝/北宋/冊府元龜,49
work_5445,5445,中國漢文/clean/周朝/東周/戰國時代/原不詳/國語,21
orphan_008,(missing),中國漢文/clean/周朝/東周/戰國時代/楚/楚辭/卷第十七,1
orphan_009,(missing),中國漢文/clean/周朝/東周/戰國時代/楚/楚辭/卷第十五,1
work_74785,74785,中國漢文/clean/清朝/大清/全唐文,1
work_75266,75266,中國漢文/clean/清朝/大清/四庫全書,1
