# Fanya Hanwen Corpus — 《第二次汉字简化方案（草案）》第二表 — Unicode-representable mappings
# Historical source: 中国文字改革委员会. (1977). 《第二次汉字简化方案（草案）》.
# Reconciliation: Zapryagaev, Alexander. (2022, February 19). The Chart of Current Status for Second Stage Simplification in Unicode, Version 3.0 (IRG N2924).
# Current mapping check: West, Andrew. (n.d.). BabelStone Erjian. Retrieved September 9, 2026, from https://www.babelstone.co.uk/Fonts/Erjian.html
# Current unencoded-repertoire check: Wen, Witty 文辰䶮 & Yang, Tao 陶扬. (2026, March 12). IRG N2921: Preliminary Proposal from G-Source for WS202X.
# Implementation comparison only: Honoka55. (2023). erjian-convert [Computer software]. MIT License.
# Pipeline: Mainland Simplified -> 第一表 -> 第二表. 第二表 sources are stored in their historical/base form; the loader normalises them through 第一表 before matching.
# Policy: emit only defensible UCS scalar/sequence mappings for the intended final glyph. Do not substitute PUA values, ordinary Unicode code points used only as BabelStone Erjian font slots, or unrelated visual lookalikes.
# Context: 2.1:010 雕→刁 applies to the 'engraving' sense; only 雕刻→刁刻 is automated. The 2.2:014 bird form remains unencoded.
# Word-level rules remain word-level: 磅礴→㝑薄 and 舢舨→舢板 do not authorize generic replacement of 磅 or 舨 outside those expressions.
# Where a primary 第二表 target itself contains a later simplified component (for example 襟、襻、裤), this executable table stores the final cumulative Unicode glyph.
# Pipeline alias: 𰬸→𬜨 is retained because 𰬸 is the Unicode simplified form associated with 繐 in OpenCC/Unihan data; it must reach the same reviewed 二簡 output when presented by the preceding Simplified stage or supplied directly.
# Columns: source<TAB>target. Order is significant.
癍	斑
鞭	卞
辩	弁
辨	弁
辫	弁
勃	孛
渤	孛
脖	孛
饽	孛
簸	波
澈	彻
蹙	促
戴	代
巅	𱂪
癫	𱂪
凋	刁
碉	刁
雕刻	刁刻
陡	斗
嘟	都
锻	煅
墩	敦
礅	敦
蹾	敦
撉	敦
筏	伐
阀	伐
垡	伐
袱	伏
匐	伏
傅	付
擀	赶
赣	干
捍	扞
寰	环
徽	辉
嫉	忌
捡	拣
诫	戒
襟	𥘞
飓	巨
筐	匡
框	匡
眶	匡
诓	匡
哐	匡
镰	连
镣	钌
镏	𰜈
噜	鲁
旅	吕
膂	吕
湄	𠃜
楣	𠃜
鹛	𠃜
蜜	宓
密	宓
藐	秒
凝	泞
襻	𥘽
僻	辟
拚	拼
柒	㲺
签	佥
砂	沙
墒	垧
蒜	祘
镗	坣
嘡	坣
膛	坣
霆	𨑳
庭	𨑳
童	仝
豌	宛
诿	委
萎	委
痿	委
慰	尉
鑫	欣
胸	匈
渲	㝉
檐	沿
颜	彦
榨	乍
搾	乍
蘸	沾
骤	驺
谘	咨
鬃	骔
遵	𰃝
叮咛	丁宁
哆嗦	多索
吩咐	分付
疙瘩	咯嗒
圪垯	咯嗒
纥𫄤	咯嗒
鬎鬁	瘌痢
阑尾	兰尾
嘹喨	辽亮
蹓跶	𰜈达
罗嗦	罗索
噜苏	罗索
柠檬	宁𰰡
磅礴	㝑薄
彷徨	㝑皇
徬徨	㝑皇
蜻蜓	𰀈𨑳
舢舨	舢板
鹦鹉	𰋷武
澳	沃
曝	𣅃
暴	𣅃
瀑	𣱶
浦	𣱶
鄙	𨚍
锄	𨱄
储	㑁
贮	㑁
捣	㧅
蝶	蛈
蠹	𫊥
敷	𪯈
敢	攼
焊	㶥
壑	垥
激	㲹
稽	𬓠
嵇	𬓠
假	𬽥
简	𫈉
健	伣
键	𰽢
剿	𠜅
裤	䃿
篱	竻
犁	牞
砾	劯
蔑	𰰬
篾	𰰬
腻	胒
蔫	𦮴
蘖	𰰟
孽	𰰟
藕	𰰤
锹	𫓱
瘸	疦
撒	𰒼
擅	𢩳
薯	𦬸
蔬	𦬸
穗	𬜨
繐	𬜨
𰬸	𬜨
瘟	𤵒
掀	㧥
𣔙	㭠
锨	㭠
嫌	𢙝
像	𰁼
携	𰓊
堰	𪣈
摇	扷
谣	𫍚
姨	𫰆
椅	𣎷
屹	𡴭
癔	𤴥
辕	𰹷
猿	𤝌
愿	𫹵
越	迌
熨	𭴈
糟	𮇘
渣	泎
铡	钆
蒸	炡
撞	𢬂
得	𬁟
费	弗
蜂	夆
峰	夆
烽	夆
锋	夆
鼓	壴
臌	壴
侯	𫶬
候	𫶬
既	旡
疆	畺
缰	畺
解	𭷔
浸	𪫆
鞠	匊
掬	匊
垒	厽
儡	厽
漏	屚
没	殳
墓	圶
脑	㐫
瑙	㐫
碯	㐫
堖	㐫
能	𫧇
缺	夬
熟	𰀅
数	𮲓
酸	夋
痠	夋
微	𡵉
涡	呙
蜗	呙
娲	呙
窝	呙
莴	呙
旋	𭻾
漩	𭻾
蠢	𧉾
摩	𭙕
旁	㝑
臾	㬰
隋	陏
随	陏
犀	𰠨
舟	𠔾
柬	𫠣
矮	仦
寡	𠆣
集	亼
家	𡦼
燃	𤆂
割	刈
奥	𫤭
溉	𣲪
谏	𫍝
豺	犲
豹	犳
貂	㹦
貉	狢
撅	抉
橛	㭈
獗	㹟
蹶	趹
廷	𨑳
延	𨒂
补	䃼
初	𥘉
衬	𥘑
衫	𥘎
袄	祅
袜	𥘯
袒	𥘵
袖	䄂
袍	𫀆
被	𬒳
裕	𥙿
裙	𬒽
裱	𬒾
裸	祼
朝	䢁
撩	𢩪
缭	𱺑
杰	𣎶
祭	𥙊
添	𣵚
黍	𮮑
