# WFG-derived Kangxi 古文 preference. First portable 古文 in WFG source order after Kangxi canonicalisation.
㐁	𠀬
㓝	𠜚
㕣	𧮲
㙀	畂
㚆	𠰞
㞷	呈
㡅	𣍓
㣇	𡱃
㣈	𠮇
㥶	𢤑
㦛	𢗓
㦤	㦉
㮓	亙
㺜	𤣜
㼱	𠬫
㿒	𤺜
䅀	𥟜
䉈	𥷭
䏕	䏯
䓠	𦵺
䙴	𦧂
䜌	𤔪
䞯	𠓗
䢙	𠟻
䤇	𨤇
䦼	𨼱
䨈	𧵯
䬍	𩙤
䶀	鞈
䶞	𪗞
一	弌
丁	𠆤
三	弎
上	丄
下	丅
不	𠀚
且	𠀇
世	卋
丘	㘳
中	𠁧
丰	𫵮
丹	𠁿
主	丶
乃	𠄎
之	㞢
乎	虖
乏	𠓟
乖	𦮃
乘	𠅞
也	𠃟
乾	漧
亂	𠧎
事	叓
五	𠄡
交	䢒
亦	𠅃
亨	亯
享	𠅠
人	𠔽
仁	忎
以	㠯
企	𠈮
伊	𦯴
似	𠚦
佛	𠇛
作	胙
佾	𢔍
使	𡥐
侃	𠈉
來	徠
侈	𠈎
侮	㑄
侯	𥎦
俌	𥙳
俗	圱
保	𤔍
信	㐰
倉	仺
倍	俖
偰	𫶩
備	𠈍
僈	𣍑
僉	𠑲
僕	䑑
儉	𠈏
儔	𠍻
儺	𩙎
儼	𡅝
允	㽙
光	炗
克	𠧳
兒	𠒆
兕	𠒅
兢	𠓆
內	𡗠
全	𠓴
兩	㒳
公	㒶
共	𦱹
兵	𠈯
其	丌
典	𥮏
兼	𥡝
冒	𫭒
冬	𣆼
冰	𣲝
凔	𠖸
凘	𠗧
凶	𣧑
刈	𠛄
刏	𣱚
初	䥚
删	𠛹
別	𠔁
利	𥝤
制	𠜔
刻	𠞫
則	𠟻
剈	𠜟
前	歬
剔	𠜓
剖	𠞌
剛	𠜛
剝	𠚪
割	㓣
創	戧
劃	𠟱
劉	鎦
劑	𠜸
力	𠠲
動	㣫
勝	𠢧
勞	𠣁
勠	𠝧
勤	瘽
勳	勛
匊	𦥑
化	𠤎
北	𧉥
匚	𠤬
匜	也
卓	𠤞
協	旪
南	𡴖
卜	𠁡
卣	𠧪
卯	𩇨
印	𠘄
危	𡵁
卽	皍
厚	垕
原	𠪥
厠	𨕟
厥	氒
參	𠫰
及	𢎜
友	㕛
反	𠬡
叔	𡭫
受	𠭧
叟	叜
叡	睿
口	𠮚
古	𠖠
史	㕜
司	𤔲
吁	𠮲
君	𠱩
吝	𠲲
吟	唫
否	𠘶
吳	𡗿
吻	㖧
吾	𠮣
周	𠱬
呼	𠰗
和	咊
咠	舙
咳	孩
哂	听
哉	才
員	云
哲	嚞
唁	囐
唐	啺
唱	𪛋
商	𡅟
問	𠳅
啚	𠴿
啼	謕
善	譱
喜	憘
喟	𠷝
喪	𡂤
喭	𧧑
嗄	𠷚
嗇	𠻮
嗜	呩
嗟	𨲠
嗣	台
嘆	𡂥
器	𡄛
噫	𢤏
嚌	𠴧
嚚	𠽺
嚮	向
嚴	𡅾
囂	𠽸
囊	𢑿
四	𦉭
囟	𠙷
因	𤇀
困	𣏔
固	怘
國	囗
圍	囗
圖	𡈖
圢	䵺
圭	珪
地	埊
坐	㘸
坤	巛
坰	冋
垂	𡍮
型	坓
垐	堲
垠	㙬
垣	𩫧
域	㽣
基	𡉝
堂	坣
堯	𡋰
填	𥧑
塵	𦧄
墉	𩫱
墍	𡉙
墳	𡏶
墺	𡋮
壎	坃
壞	𡎯
壤	𦦶
壷	𠻭
壹	夁
壽	𦓃
夏	𡔰
外	𡖄
夙	𠈇
多	𡖇
夜	𡖍
大	𠘲
天	𠕹
夷	𡰥
奉	𠬻
奏	𡙹
奔	犇
奪	𡙸
奭	𡚐
女	𠨰
奴	㚢
好	𡥆
妘	𡤀
妻	𡜌
始	𠃭
姍	㛽
姐	她
姒	㚶
姓	𤯧
姣	㚣
姦	𢙶
姬	㚦
姶	㛕
威	𤰴
娭	毐
婁	𡜰
婦	𢽰
媚	𡡚
嬪	𡜷
嬭	𡇲
孌	𡢛
子	㜽
孔	𡤿
孕	𣎜
字	𡥜
存	𠩯
孚	𤓽
季	𡥞
孳	𡥝
宄	𡧫
宅	𡧪
宇	穻
守	𡬮
官	𠕍
定	㱏
宛	惌
宜	𡪀
宣	𡩦
宰	𡪤
宵	𣆺
家	𠖔
容	𠕺
宿	㝛
寅	𦦚
寒	𡫮
寢	𡨦
實	宲
寧	寍
審	宷
寬	完
寶	寚
封	𡉘
將	𢪇
專	𠧡
尉	㷉
尋	𡬻
導	𡭎
尤	怣
尹	𢃵
尾	𡱕
居	㞐
屆	暨
屈	𡕜
屋	𦤿
展	㠭
屢	𡜸
履	𡲟
岐	𨙾
岡	𠆼
崋	𡼙
崩	𨹹
嵩	崇
嶺	阾
嶽	𡶓
州	𠄓
巠	𡿱
工	𢀚
巧	丂
巨	𢀑
巫	𢍮
差	𢀩
己	𢀒
巽	𢁅
布	㱛
帆	𩗋
希	𠬹
帝	𢂇
帥	䢦
師	𠵀
席	𠩛
帷	𠥎
幃	𠥎
平	𤔁
年	𠫺
幸	㚔
幻	㕕
幼	𠣎
幾	𢆻
度	𡧪
庶	𤈲
康	𠭳
庸	𠆌
廉	磏
廓	𢌓
廟	庿
廧	𢋾
廩	𢈺
弇	𢍔
引	㧈
弟	𠂖
弭	𢏱
張	弡
弼	𠡂
彈	𢎝
彌	𢑀
彝	𦇚
彬	份
役	𠈧
往	𢔎
征	徰
徂	𡲂
後	𨒥
徒	𠫠
得	𢔶
徙	𡕝
御	𢓷
復	𢕛
徵	𢾷
徹	𢖉
徽	𢾰
忌	坖
志	𢗍
怒	𢘂
思	恖
怨	𢘖
怩	𢘒
恆	𢛢
恐	𢖶
恕	㣽
息	𧪩
悉	𢚊
悔	𠧩
悚	𢷜
悟	𢛤
患	𢤒
惄	𧗂
情	𢚏
惇	𥫉
惎	𢗏
惕	惖
惟	𢛧
惠	𦻇
惡	亞
惰	𢢠
惻	𢝔
愆	𠐨
愍	㥸
愛	𤔤
感	𢦡
愼	𡴜
慕	𢟽
慶	𢞢
慺	𢡌
憂	𠪍
憐	㥕
憝	𢥲
懈	𢢣
懫	𡒐
懷	褱
懼	愳
戀	𤕈
成	𢦩
我	𠨂
戒	𢦬
或	𢈿
戟	屰
戮	𡠢
戰	𣥭
戴	𢨇
戶	㦿
戾	𤡵
所	𢨷
扁	𡲜
扃	𢇺
扈	𡴱
手	𠂿
扏	㧨
扶	𢻳
投	𢫹
抗	𪜠
披	翍
抵	𠥯
拓	摕
拙	䂐
拜	𣬊
拳	𢮙
指	𢫾
挸	𢹕
捊	㩠
掌	𤓯
揚	敭
握	𦥆
揣	𢭍
揮	𢱳
損	扻
摩	𢳀
摽	𢹰
撫	𨑟
播	𢿥
撻	𨘈
攘	𣀮
支	𠦙
收	㧃
放	匸
敎	𤕝
敏	勄
敗	贁
敢	𪠬
散	𢻾
敦	𢼪
敬	𣀖
敲	䯨
