# WFG-derived Kangxi character conversion. Explicit redirects, unambiguous alias-only forms, and variant-only headword entries; ambiguous/polysemous relations omitted.
㐅	五
㐡	懦
㐰	信
㐴	攀
㑘	价
㑤	媌
㑱	𧳨
㑴	侵
㑽	傏
㒆	翕
㒋	厮
㒌	煢
㒖	藕
㒞	儁
㒧	儷
㒪	錫
㒲	財
㔜	勃
㔭	匙
㔺	世
㔽	卣
㕖	素
㕤	叴
㖁	吝
㖒	嗁
㖗	崟
㖣	咅
㖸	噱
㗄	謾
㗛	笑
㗜	齅
㗳	塔
㗶	𠷑
㘅	銜
㘕	嚂
㘸	坐
㘹	垐
㘺	垡
㙄	陛
㙅	保
㙉	腆
㙒	野
㙕	塊
㙲	壅
㙵	臺
㙶	堂
㙸	墣
㙻	廛
㙼	壘
㚌	夥
㚐	套
㚣	姣
㚮	妉
㚰	胚
㚳	妿
㚷	嬭
㚺	孕
㛔	妦
㛛	娠
㛰	婚
㛽	姍
㜛	媆
㜜	嫯
㜧	𡡕
㜪	𡣎
㜫	媄
㜲	𡣍
㜴	瞢
㜻	孌
㜼	姪
㜾	孩
㝑	旁
㝖	宜
㝦	寯
㝧	穩
㝿	跛
㞙	尿
㞫	走
㞹	岢
㟔	㟏
㟝	培
㟞	嶘
㟧	崿
㟩	岷
㟴	嵬
㟵	𡶬
㠁	嵾
㠎	㠍
㠖	嶬
㠝	巑
㠪	巨
㠯	以
㠻	希
㡐	𢃬
㡛	㡃
㡠	幀
㡢	幔
㡳	底
㢆	廛
㢕	廱
㢡	獎
㢣	擎
㢧	卷
㢬	彋
㢮	弛
㢶	弼
㢼	彆
㢽	餌
㣃	鬻
㣉	工
㣐	𢒟
㣘	跔
㣠	佟
㣦	逶
㣲	微
㣼	忍
㤐	怗
㤛	恁
㤤	㥚
㤪	怨
㤵	慈
㥁	悳
㥃	𢛀
㥍	惎
㥤	矜
㥵	慁
㥺	熆
㦞	懤
㦨	懶
㦾	扅
㧧	梳
㧨	扏
㩗	攜
㪟	敦
㪰	齋
㪸	斟
㫀	鼎
㫁	斷
㫑	旨
㫔	艮
㫕	光
㫡	冬
㫧	暴
㫩	春
㫳	晨
㬐	鄑
㬞	暍
㬠	曬
㬡	𣌟
㬩	暳
㭻	棠
㮋	栯
㮌	棉
㮍	椾
㮎	杯
㮳	栚
㮴	𣔱
㮵	栴
㮸	送
㯀	𣒀
㯇	梐
㯈	樕
㯉	樗
㯍	槳
㯓	榻
㯖	㭙
㯣	棻
㯦	棊
㯪	櫺
㰄	𣚙
㰅	樀
㰆	𩋂
㰈	𮟝
㰉	榛
㰕	𣟵
㰖	欖
㰙	橠
㰱	歃
㱉	㗼
㱘	魘
㱜	𣧖
㲇	鼕
㲎	氀
㲙	𣮯
㲜	毯
㲣	𣮬
㲱	𣰫
㳃	淬
㳙	涓
㳤	淑
㳮	尿
㳺	游
㴃	淚
㴉	濟
㴩	灉
㴴	湛
㴾	渤
㵄	漢
㵏	漼
㵓	湜
㵕	滲
㶈	濙
㶜	淵
㶤	炒
㶨	炋
㶵	飪
㷊	焚
㷑	煙
㷔	焰
㷻	無
㸁	熯
㸂	燧
㸄	齌
㸉	𤏻
㸕	攫
㸘	萬
㸱	㸰
㹷	狶
㹸	貌
㺀	猱
㺫	玌
㺲	鈕
㺳	玫
㻁	瓌
㻄	寶
㻊	璊
㻋	㻝
㻎	瑟
㻧	𤧮
㻫	珌
㻭	璱
㻮	璨
㼇	瓗
㼙	甃
㼼	瓢
㽖	畱
㽙	允
㽜	畹
㽣	域
㽭	𤲬
㽮	星
㽯	畦
㽵	莊
㽸	瘎
㾆	𤴿
㾌	癬
㾡	𤷽
㿋	瘙
㿍	疥
㿏	𤸷
㿞	耄
㿵	𥀫
㿼	㿼
䀎	眄
䀑	𥄗
䀘	䀘
䀟	𥄱
䁁	䀶
䁉	䁈
䁦	覰
䁹	睤
䂝	矺
䂞	柘
䂡	砥
䂯	𥑰
䂲	砝
䃣	䃣
䃩	硇
䄒	稔
䄕	社
䄥	𥜧
䄺	稊
䅇	粟
䅒	𥝕
䅠	稊
䆈	稺
䆐	國
䆠	宦
䆥	䆤
䇲	筴
䈤	鉗
䉼	料
䊀	䉿
䊑	餉
䊒	精
䊛	𥻦
䊸	紆
䋄	網
䋕	絍
䋜	綮
䌉	綱
䌧	紬
䌫	纜
䍋	𦉈
䍩	養
䍭	牂
䎝	翥
䎣	耜
䏀	𦖨
䏂	𦖪
䏊	聾
䏋	肅
䏛	𦚧
䏢	𤿚
䏥	𦙇
䏸	䐳
䐌	腆
䐡	臍
䑅	𦢧
䑑	僕
䑓	臺
䑚	甛
䑧	䒀
䑨	舵
䑭	𦨢
䒃	艁
䒗	芞
䒝	𦺔
䒣	苒
䓗	蔥
䓯	𦺇
䓷	荇
䓹	饐
䓿	菡
䔖	蔆
䔘	𧃘
䔜	𦶈
䔵	葌
䕌	穉
䕖	蓀
䕙	𦿐
䕚	蕢
䕤	蘄
䕴	𧂒
䖈	虐
䖉	𧆜
䖠	蚖
䖥	蟊
䗑	𧐔
䗕	蜿
䗫	蟆
䗬	蜂
䗶	蠟
䗹	蛓
䘇	蚊
䘊	蠛
䘑	脉
䘜	巾
䘱	裕
䙗	𧝐
䙚	褭
䙛	袞
䚲	訕
䛐	詞
䛕	諛
䛛	詯
䛜	訊
䜄	謘
䜛	讒
䜟	讖
䜵	豉
䜻	豉
䝊	𧲌
䝴	齎
䝺	貫
䞣	𧻀
䞼	𥨥
䟌	𧾢
䟎	趲
䟖	趾
䟢	跈
䟦	跋
䠮	騰
䠶	射
䠹	骸
䡋	軝
䡕	𨋬
䡼	軨
䢒	交
䢟	由
䢦	帥
䢪	橇
䢬	遷
䢶	邦
䣈	巷
䣑	𠪨
䣠	䣟
䣲	𨠒
䣴	酗
䤛	釚
䤜	鈍
䤟	鈂
䤨	釽
䤸	鏦
䥅	琴
䥆	琴
䥕	鐅
䥚	初
䥣	鑿
䥧	璿
䥬	鑮
䦇	髻
䦞	閏
䦟	穩
䦦	琴
䧍	隙
䧕	域
䧣	陻
䧺	雄
䨀	糴
䨉	鸚
䨋	虐
䨎	霐
䨖	霽
䨡	𩄙
䨦	雱
䨪	霾
䨫	霢
䨭	霄
䨯	𩄛
䩑	鞃
䩘	䩚
䩦	鞗
䪇	𩍿
䪘	韙
䫙	顙
䫝	馥
䫫	髏
䫰	𩕔
䫱	顬
䫵	𩕰
䬃	颯
䬗	颺
䬙	颻
䬚	颿
䬢	饕
䬥	饐
䬩	齋
䬪	餺
䬭	饕
䬮	飴
䭌	餬
䭛	饏
䭣	餈
䭥	䭐
䭦	餺
䭫	𩠜
䭯	馞
䭶	騏
䭼	騏
䭽	羣
䮀	𩣡
䮁	騈
䮆	駓
䮇	驈
䮈	馳
䮋	𩢾
䮌	𩢮
䮛	駙
䮯	驁
䮲	騜
䯝	𩪦
䯯	髿
䯳	鬆
䰋	鬘
䰑	䰅
䰔	䰉
䰟	魂
䰨	鬽
䰭	䰰
䰿	鮀
䱆	鱦
䱈	鮨
䱖	鰡
䱳	鱣
䱶	𩷕
䲋	𩻛
䲍	鰧
䲴	鴆
䲵	雀
䲸	𩾴
䳈	鴇
䳊	䳁
䳌	鵑
䳗	鵝
䳘	鵝
䳡	鵻
䳢	鶀
䳧	𪃶
䳱	鶩
䳶	鸂
䴋	䴉
䴫	𪋪
䵄	麷
䵆	䴿
䵉	𠐙
䵛	䵖
䶉	𪕚
䶤	𩪲
丅	下
丸	𠁽
乆	久
么	幺
乢	蓋
乨	始
乱	亂
乹	乾
仃	㣔
仧	長
仮	反
仾	低
伖	帑
伭	𠆺
佄	酣
佱	法
併	倂
侌	陰
侽	男
俞	兪
俲	傚
俻	備
