"chars","n"
"之",54528269
"不",30058518
"以",25934024
"而",21519370
"也",19941591
"人",19415989
"有",18939407
"其",18671269
"一",17777269
"者",16942832
"為",16693772
"曰",13347318
"於",12954279
"子",12602871
"十",11747024
"大",11110633
"無",10642113
"所",10508000
"二",10399676
"三",10254255
"中",9800123
"是",9240336
"此",9141760
"年",8980431
"上",8826789
"下",8618498
"則",8406085
"如",8120620
"天",8099803
"可",7385392
"在",7378227
"自",7355286
"王",7329764
"日",7311400
"事",7295255
"公",7286874
"故",7068329
"得",7015494
"至",6972445
"生",6956072
"四",6894767
"五",6867029
"言",6831951
"書",6824768
"行",6470487
"時",6417117
"丨",6276152
"知",6124306
"與",6055936
"山",6003262
"道",5985331
"文",5980448
"又",5939836
"月",5728790
"後",5639422
"見",5568557
"亦",5452779
"明",5242162
"出",5187865
"相",5169165
"何",5127564
"州",5045581
"名",4989318
"然",4967316
"南",4913619
"今",4854611
"作",4847027
"心",4799890
"未",4701642
"謂",4684747
"水",4657918
"用",4649187
"皆",4631357
"能",4627972
"國",4488226
"使",4458522
"百",4451395
"若",4387648
"六",4349566
"云",4336119
"正",4324969
"太",4305797
"臣",4287913
"官",4275061
"于",4272327
"來",4268662
"方",4256765
"君",4252584
"矣",4214458
"世",4206393
"東",4201527
"已",4190458
"地",4135125
"非",4095697
"成",4061678
"入",4028844
"本",3941326
"諸",3941082
"同",3911787
"西",3910773
"及",3906554
"夫",3892343
"將",3860134
"先",3773727
"分",3772969
"元",3758904
"當",3718867
"前",3696426
"士",3640302
"去",3632452
"法",3608307
"家",3569315
"安",3553618
"乃",3547396
"詩",3526132
"爲",3513021
"長",3493513
"等",3395039
"陽",3371563
"縣",3357129
"我",3350316
"軍",3334048
"多",3308048
"氏",3300457
"禮",3295722
"九",3293906
"從",3285562
"八",3262220
"門",3254519
"朝",3247537
"七",3246817
"小",3222571
"令",3195641
"復",3185466
"城",3135934
"平",3128341
"風",3117680
"萬",3101991
"帝",3082617
"即",3052029
"傳",3048181
"白",3033649
"兵",3027364
"必",3025656
"民",3011365
"外",3002343
"學",2997976
"義",2996535
"北",2967054
"金",2924646
"經",2922913
"欲",2921379
"主",2897782
"治",2864164
"或",2857908
"命",2822238
"史",2807981
"里",2786442
"因",2776281
"乎",2772747
"字",2771272
"千",2742033
"宗",2720342
"數",2716973
"石",2705796
"古",2686654
"意",2671152
"馬",2664659
"服",2649908
"師",2631862
"通",2619194
"江",2618559
"聞",2607891
"處",2596689
"司",2580893
"氣",2578503
"兩",2563379
"神",2522431
"歸",2499049
"重",2487297
"初",2450933
"武",2437003
"志",2436980
"說",2435767
"定",2430514
"春",2428702
"物",2409539
"居",2401615
"都",2394127
"立",2393148
"死",2365791
"身",2360344
"進",2340550
"常",2330021
"各",2323325
"餘",2319666
"周",2309562
"府",2309161
"間",2292708
"善",2277030
"清",2261221
"食",2259208
"漢",2245995
"應",2244661
"李",2239985
"樂",2233993
"河",2195157
"理",2190660
"取",2189818
"雖",2187893
"實",2181067
"過",2174140
"雲",2165881
"守",2152778
"和",2139373
"少",2134357
"德",2127008
"聖",2122699
"問",2077971
"合",2047817
"足",2027892
"起",2002906
"海",1995320
"部",1982850
"吾",1958616
"秋",1948887
"遂",1919320
"張",1918820
"始",1917280
"流",1915830
"論",1895940
"焉",1893509
"惟",1870729
"光",1867611
"觀",1855668
"聲",1847376
"左",1845624
"高",1843494
"尚",1841286
"盡",1835375
"父",1831687
"老",1827549
"皇",1825808
"右",1824515
"宜",1815525
"功",1814088
"陳",1813725
"祖",1813444
"侯",1805790
"黄",1799692
"女",1798528
"思",1788927
"節",1788428
"切",1787694
"既",1786842
"易",1782951
"甚",1769298
"受",1766443
"唐",1761756
"次",1756170
"色",1753563
"發",1751224
"第",1751091
"集",1722952
"花",1701135
"開",1700796
"宋",1698458
"興",1684612
"且",1680263
"卷",1675447
"難",1673525
"度",1661718
"政",1653873
"記",1644938
"異",1634128
"加",1630620
"便",1629901
"玉",1627090
"利",1626962
"請",1623102
"龍",1618319
"酒",1617677
"位",1617277
"内",1616731
"稱",1613702
"齊",1610802
"深",1608950
"章",1606752
"新",1602578
"全",1594403
"語",1588199
"林",1587949
"爾",1572479
"力",1572282
"制",1570554
"親",1567329
"舉",1531884
"猶",1529401
"按",1527288
"仁",1523232
"草",1512183
"病",1511520
"寒",1508959
"還",1507125
"首",1504896
"終",1502537
"直",1489274
"注",1483982
"求",1483875
"夜",1479268
"母",1475406
"建",1474160
"空",1473880
"廣",1473684
"孫",1471775
"修",1471041
"木",1467406
"路",1463603
"好",1460973
"豈",1460793
"止",1459537
"凡",1453118
"化",1452843
"耳",1446245
"反",1433870
"失",1432527
"任",1431776
"由",1430306
"半",1429739
"性",1427488
"舊",1423166
"郡",1420728
"田",1417336
"望",1415683
"奉",1412317
"議",1409711
"更",1408154
"賢",1407383
"往",1403085
"解",1396040
"著",1394287
"情",1382176
"致",1380606
"音",1377672
"屬",1376014
"御",1373895
"衣",1367456
"信",1367131
"口",1363358
"錢",1363232
"莫",1359334
"近",1352676
"他",1350562
"夏",1335104
"京",1334397
"土",1322156
"奏",1313015
"火",1312693
"華",1305049
"獨",1300927
"卒",1294471
"佛",1283012
"雨",1277205
"侍",1274951
"郎",1273036
"置",1271156
"真",1270850
"頭",1270727
"敢",1269799
"嘗",1269480
"遠",1267502
"晉",1267092
"弟",1260627
"益",1251742
"青",1248543
"內",1246589
"劉",1245232
"散",1244742
"每",1238106
"辭",1233719
"了",1230027
"堂",1228867
"封",1223958
"哉",1219864
"目",1219273
"動",1218198
"勝",1215504
"原",1212001
"極",1209647
"香",1208824
"手",1205839
"詔",1204727
"彼",1198404
"教",1196310
"固",1194118
"體",1188533
"變",1186954
"后",1178548
"許",1177586
"圖",1176622
"罪",1174297
"殺",1173100
"伯",1172599
"對",1172052
"孝",1170344
"要",1170332
"坐",1169919
"卿",1168846
"引",1163920
"鄭",1160155
"改",1156194
"並",1151969
"久",1147336
"徳",1144663
"祭",1130663
