chars,n,rank_1224
之,54528269,1
不,30058518,2
以,25934024,3
而,21519370,4
也,19941591,5
人,19415989,6
有,18939407,7
其,18671269,8
一,17777269,9
者,16942832,10
為,16693772,11
曰,13347318,12
於,12954279,13
子,12602871,14
十,11747024,15
大,11110633,16
無,10642113,17
所,10508000,18
二,10399676,19
三,10254255,20
中,9800123,21
是,9240336,22
此,9141760,23
年,8980431,24
上,8826789,25
下,8618498,26
則,8406085,27
如,8120620,28
天,8099803,29
可,7385392,30
在,7378227,31
自,7355286,32
王,7329764,33
日,7311400,34
事,7295255,35
公,7286874,36
故,7068329,37
得,7015494,38
至,6972445,39
生,6956072,40
四,6894767,41
五,6867029,42
言,6831951,43
書,6824768,44
行,6470487,45
時,6417117,46
丨,6276152,47
知,6124306,48
與,6055936,49
山,6003262,50
道,5985331,51
文,5980448,52
又,5939836,53
月,5728790,54
後,5639422,55
見,5568557,56
亦,5452779,57
明,5242162,58
出,5187865,59
相,5169165,60
何,5127564,61
州,5045581,62
名,4989318,63
然,4967316,64
南,4913619,65
今,4854611,66
作,4847027,67
心,4799890,68
未,4701642,69
謂,4684747,70
水,4657918,71
用,4649187,72
皆,4631357,73
能,4627972,74
國,4488226,75
使,4458522,76
百,4451395,77
若,4387648,78
六,4349566,79
云,4336119,80
正,4324969,81
太,4305797,82
臣,4287913,83
官,4275061,84
于,4272327,85
來,4268662,86
方,4256765,87
君,4252584,88
矣,4214458,89
世,4206393,90
東,4201527,91
已,4190458,92
地,4135125,93
非,4095697,94
成,4061678,95
入,4028844,96
本,3941326,97
諸,3941082,98
同,3911787,99
西,3910773,100
及,3906554,101
夫,3892343,102
將,3860134,103
先,3773727,104
分,3772969,105
元,3758904,106
當,3718867,107
前,3696426,108
士,3640302,109
去,3632452,110
法,3608307,111
家,3569315,112
安,3553618,113
乃,3547396,114
詩,3526132,115
爲,3513021,116
長,3493513,117
等,3395039,118
陽,3371563,119
縣,3357129,120
我,3350316,121
軍,3334048,122
多,3308048,123
氏,3300457,124
禮,3295722,125
九,3293906,126
從,3285562,127
八,3262220,128
門,3254519,129
朝,3247537,130
七,3246817,131
小,3222571,132
令,3195641,133
復,3185466,134
城,3135934,135
平,3128341,136
風,3117680,137
萬,3101991,138
帝,3082617,139
即,3052029,140
傳,3048181,141
白,3033649,142
兵,3027364,143
必,3025656,144
民,3011365,145
外,3002343,146
學,2997976,147
義,2996535,148
