character,laoguoyin,zhuyin,ipa,codepoint
㟎,tuei3,ㄊㄨㄟ3,tʰueɪ3,U+37CE
㟎,tuo3,ㄊㄨㄛ3,tʰuɔ3,U+37CE
㟹,lau2,ㄌㄠ2,lɑʊ2,U+37F9
㟹,liau2,ㄌㄧㄠ2,liɑʊ2,U+37F9
㧁,go5,ㄍㄛ5,kɔ5,U+39C1
㧙,bi5,ㄅㄧ5,pi5,U+39D9
㧙,bie5,ㄅㄧㄝ5,piɛ5,U+39D9
㩧,bo5,ㄅㄛ5,pɔ5,U+3A67
㩧,pang1,ㄆㄤ1,pʰɑŋ1,U+3A67
㩹,die5,ㄉㄧㄝ5,tiɛ5,U+3A79
㩻,kuei4,ㄎㄨㄟ4,kʰueɪ4,U+3A7B
㩻,qi1,ㄑㄧ1,tɕʰi1,U+3A7B
㪏,bi4,ㄅㄧ4,pi4,U+3A8F
㪏,pi3,ㄆㄧ3,pʰi3,U+3A8F
㵒,fei4,ㄈㄟ4,feɪ4,U+3D52
㵒,pi4,ㄆㄧ4,pʰi4,U+3D52
㶒,shen3,ㄕㄣ3,ʂən3,U+3D92
㶒,tan4,ㄊㄢ4,tʰan4,U+3D92
㺒,nau3,ㄋㄠ3,nɑʊ3,U+3E92
㺒,xiau4,ㄒㄧㄠ4,ɕiɑʊ4,U+3E92
㼽,chuang3,ㄔㄨㄤ3,,U+3F3D
㼽,shuang3,ㄕㄨㄤ3,,U+3F3D
㽱,jiau3,ㄐㄧㄠ3,tɕiɑʊ3,U+3F71
㽱,jieu1,ㄐㄧㄡ1,tɕiɔʊ1,U+3F71
㿃,dai4,ㄉㄞ4,taɪ4,U+3FC3
㿃,zhi4,ㄓㄭ4,ʈʂɨ4,U+3FC3
䀢,shen3,ㄕㄣ3,ʂən3,U+4022
䀢,shun4,ㄕㄨㄣ4,ʂuən4,U+4022
䀣,bi4,ㄅㄧ4,pi4,U+4023
䀣,ma5,ㄇㄚ5,ma5,U+4023
䌨,ca5,ㄘㄚ5,tsʰa5,U+4328
䌽,cai3,ㄘㄞ3,tsʰaɪ3,U+433D
䍃,yau2,ㄧㄠ2,iɑʊ2,U+4343
䍃,yeu2,ㄧㄡ2,iɔʊ2,U+4343
䏧,chi3,ㄔㄭ3,ʈʂʰɨ3,U+43E7
䏧,na2,ㄋㄚ2,na2,U+43E7
