page_number,final_label,initial_label,character,chars_raw,romanization,occurrence_count,manchu_script,source_chunk
1,a,b,罷,罷,ba,74,ᠪᠠ,罷 ba 74
1,a,b,把,把,ba,25,ᠪᠠ,把 ba 25
1,a,b,巴,巴,ba,5,ᠪᠠ,巴 ba 5
1,a,b,吧,吧,ba,5,ᠪᠠ,吧 ba 5
1,a,p,怕,怕,pa,10,ᡦᠠ,怕 pa 10
1,a,p,跁,跁,pa,,ᡦᠠ,跁 pa
1,a,m,馬,馬,ma,14,ᠮᠠ,馬 ma 14
1,a,m,媽,媽,ma,3,ᠮᠠ,媽 ma 3
1,a,m,嗎,嗎,ma,,ᠮᠠ,嗎 ma
1,a,m,瑪,瑪,ma,,ᠮᠠ,瑪 ma
1,a,f,發,發,fa,6,ᡶᠠ,發 fa 6
1,a,f,法,法,fa,,ᡶᠠ,法 fa
1,a,f,乏,乏,fa,,ᡶᠠ,乏 fa
1,a,d,大,大,da,19,ᡩᠠ,大 da 19
1,a,d,答,答,da,9,ᡩᠠ,答 da 9
1,a,d,打,打,da,2,ᡩᠠ,打 da 2
1,a,t,他,他,ta,68,ᡨᠠ,他 ta 68
1,a,n,那,那,na,73,ᠨᠠ,那 na 73
1,a,n,拿,拿/挐,na,12,ᠨᠠ,拿 / 挐 na 12
1,a,n,挐,拿/挐,na,12,ᠨᠠ,拿 / 挐 na 12
1,a,l,拉,拉,la,7,ᠯᠠ,拉 la 7
1,a,z,雜,雜,dza,2,ᡯᠠ,雜 dza 2
1,a,s,撒,撒,sa,5,ᠰᠠ,撒 sa 5
1,a,zh,扎,扎,ja,,ᠵᠠ,扎 ja
1,a,ch,茶,茶,ca,5,ᠴᠠ,茶 ca 5
1,a,ch,差,差,ca,,ᠴᠠ,差 ca
1,a,sh,殺,殺,ša,3,ᡧᠠ,殺 ša 3
1,a,h,哈,哈,ha,2,ᡥᠠ,哈 ha 2
1,a,∅,阿,阿,a,107,ᠠ,阿 a 107
1,a,∅,啊,啊,a,58,ᠠ,啊 a 58
2,ia,j,家,家,giya,56,ᡤᡳᠶᠠ,家 giya 56
2,ia,j,假,假,giya,5,ᡤᡳᠶᠠ,假 giya 5
2,ia,j,甲,甲,giya,,ᡤᡳᠶᠠ,甲 giya
2,ia,j,駕,駕,giya,,ᡤᡳᠶᠠ,駕 giya
2,ia,j,价,价,giyai,,ᡤᡳᠶᠠᡳ,价 giyai
2,ia,x,下,下,hiya,17,ᡥᡳᠶᠠ,下 hiya 17
2,ia,y,呀,呀,ya,29,ᠶᠠ,呀 ya 29
2,ia,y,壓,壓,ya,,ᠶᠠ,壓 ya
2,ia,y,亜,亜,ya,,ᠶᠠ,亜 ya
2,ua,g,寡,寡,guwa,2,ᡤᡠᠸᠠ,寡 guwa 2
2,ua,g,瓜,瓜,guwa,2,ᡤᡠᠸᠠ,瓜 guwa 2
2,ua,g,刮,刮,guwa,2,ᡤᡠᠸᠠ,刮 guwa 2
2,ua,g,挂,挂,guwa,,ᡤᡠᠸᠠ,挂 guwa
2,ua,g,褂,褂,guwa,,ᡤᡠᠸᠠ,褂 guwa
2,ua,g,掛,掛,guwa,,ᡤᡠᠸᠠ,掛 guwa
2,ua,k,誇,誇,kuwa,,ᡴᡠᠸᠠ,誇 kuwa
2,ua,h,話,話,hūwa,46,ᡥᡡᠸᠠ,話 hūwa 46
2,ua,h,花,花,hūwa,3,ᡥᡡᠸᠠ,花 hūwa 3
2,ua,h,化,化,huwa,2,ᡥᡠᠸᠠ,化 huwa 2
2,e,d,得,得,de,116,ᡩᡝ,得 de 116
2,e,t,特,特,te,7,ᡨᡝ,特 te 7
2,e,l,楽,楽,le,,ᠯᡝ,楽 le / lo
2,e,l,楽,楽,lo,,ᠯᠣ,楽 le / lo
2,e,l,勒,勒,le,,ᠯᡝ,勒 le
2,e,z,則,則,dze,,ᡯᡝ,則 dze
2,e,zh,這,這/这,je,141,ᠵᡝ,這 / 这 je 141
2,e,zh,这,這/这,je,141,ᠵᡝ,這 / 这 je 141
2,e,zh,遮,遮,je,8,ᠵᡝ,遮 je 8
2,e,zh,者,者,je,6,ᠵᡝ,者 je 6
2,e,ch,扯,扯,ce,5,ᠴᡝ,扯 ce 5
2,e,ch,車,車,ce,,ᠴᡝ,車 ce
2,e,sh,射,射,še,3,ᡧᡝ,射 še 3
2,e,sh,捨,捨,še,,ᡧᡝ,捨 še
2,e,r,熱,熱,že,4,ᡰᡝ,熱 že 4
2,e,g,哥,哥,ge,110,ᡤᡝ,哥 ge 110
2,e,g,個,個/个,ge,70,ᡤᡝ,個 / 个 ge 70
2,e,g,个,個/个,ge,70,ᡤᡝ,個 / 个 ge 70
2,e,g,各,各,ge,2,ᡤᡝ,各 ge 2
2,e,g,隔,隔,ge,2,ᡤᡝ,隔 ge 2
2,e,g,割,割,ge,,ᡤᡝ,割 ge
2,e,k,可,可,ke,30,ᡴᡝ,可 ke 30
2,e,k,磕,磕,ke,2,ᡴᡝ,磕 ke 2
2,e,k,客,客,ke,2,ᡴᡝ,客 ke 2
2,e,k,克,克,ke,2,ᡴᡝ,克 ke 2
2,e,k,刻,刻,ke,,ᡴᡝ,刻 ke
2,e,k,殻,殻,keo,,ᡴᡝᠣ,殻 keo
2,e,h,呵,呵/喝,he,33,ᡥᡝ,呵 / 喝 he 33
2,e,h,喝,呵/喝,he,33,ᡥᡝ,呵 / 喝 he 33
2,e,h,合,合,he,24,ᡥᡝ,合 he 24
2,e,h,何,何,he,12,ᡥᡝ,何 he 12 / ho
2,e,h,何,何,ho,,ᡥᠣ,何 he 12 / ho
2,e,h,和,和,ho,2,ᡥᠣ,和 ho 2
2,e,h,賀,賀,ho,2,ᡥᠣ,賀 ho 2
2,e,∅,哦,哦,e,11,ᡝ,哦 e 11
2,e,∅,鵞,鵞,e,2,ᡝ,鵞 e 2
2,e,∅,悪,悪,e,,ᡝ,悪 e
2,e,∅,餓,餓,e,,ᡝ,餓 e
2,e,∅,額,額,e,,ᡝ,額 e
2,o,b,薄,薄,bo,,ᠪᠣ,薄 bo
2,o,p,破,破,po,3,ᡦᠣ,破 po 3
2,o,m,麼,麼,mo,166,ᠮᠣ,麼 mo 166
2,o,m,没,没,mu,69,ᠮᡠ,没 mu 69 / mo
2,o,m,没,没,mo,,ᠮᠣ,没 mu 69 / mo
2,o,m,莫,莫,mo,3,ᠮᠣ,莫 mo 3
2,o,m,磨,磨,mo,,ᠮᠣ,磨 mo
2,o,m,末,末,mo,,ᠮᠣ,末 mo
2,o,m,黙,黙,me,,ᠮᡝ,黙 me
2,uo,d,多,多,do,13,ᡩᠣ,多 do 13
2,uo,t,托,托,to,5,ᡨᠣ,托 to 5
2,uo,t,脱,脱,to,3,ᡨᠣ,脱 to 3
2,uo,t,陀,陀,to,,ᡨᠣ,陀 to
2,uo,n,挪,挪,no,5,ᠨᠣ,挪 no 5
2,uo,l,落,落,lo,2,ᠯᠣ,落 lo 2
2,uo,l,騾,騾,lo,,ᠯᠣ,騾 lo
2,uo,z,作,作,dzo,22,ᡯᠣ,作 dzo 22
2,uo,z,坐,坐,dzo,21,ᡯᠣ,坐 dzo 21
2,uo,z,昨,昨,dzo,5,ᡯᠣ,昨 dzo 5
2,uo,z,挫,挫,dzo,,ᡯᠣ,挫 dzo
2,uo,z,做,做,dzeo,,ᡯᡝᠣ,做 dzeo
2,uo,c,錯,錯,dzo,,ᡯᠣ,錯 dzo
2,uo,s,所,所,so,13,ᠰᠣ,所 so 13
2,uo,s,索,索,so,,ᠰᠣ,索 so
2,uo,s,梭,梭,so,,ᠰᠣ,梭 so
2,uo,zh,着,着,jo,118,ᠵᠣ,着 jo 118
2,uo,zh,卓,卓,jo,2,ᠵᠣ,卓 jo 2
2,uo,zh,桌,桌,jo,2,ᠵᠣ,桌 jo 2
2,uo,zh,酌,酌,jo,,ᠵᠣ,酌 jo
2,uo,sh,説,説,šo,137,ᡧᠣ,説 šo 137
2,uo,r,若,若,žo,104,ᡰᠣ,若 žo 104 / žu
2,uo,r,若,若,žu,,ᡰᡠ,若 žo 104 / žu
