glyph,moe_id,grade,canonical_moe_id,canonical_glyph
一,A00001,正字 ,A00001,一
𠤪,A00001-001,異體字 ,A00001,一
弌,A00001-002,異體字 ,A00001,一
󰀁,A00001-004,異體字 ,A00001,一
壹,A00001-005,異體字 ,A00001,一
丁,A00002,正字 ,A00002,丁
𠆤,A00002-001,異體字 ,A00002,丁
七,A00003,正字 ,A00003,七
󰀂,A00003-001,異體字 ,A00003,七
柒,A00003-002,異體字 ,A00003,七
三,A00004,正字 ,A00004,三
弎,A00004-001,異體字 ,A00004,三
參,A00004-001-1,異體字 ,A00004,三
叁,A00004-001-2,異體字 ,A00004,三
󰀃,A00004-006,異體字 ,A00004,三
叄,A00004-006-1,異體字 ,A00004,三
󰀄,A00004-007,附錄字 ,A00004,三
󰀅,A00004-008,附錄字 ,A00004,三
下,A00005,正字 ,A00005,下
丅,A00005-001,異體字 ,A00005,下
𠄟,A00005-002,異體字 ,A00005,下
丈,A00006,正字 ,A00006,丈
𠀋,A00006-001,異體字 ,A00006,丈
󰀆,A00006-002,異體字 ,A00006,丈
支,A00006-003,異體字 ,A00006,丈
上,A00007,正字 ,A00007,上
丄,A00007-001,異體字 ,A00007,上
丑,A00008,正字 ,A00008,丑
𠃠,A00008-001,異體字 ,A00008,丑
󰀇,A00008-002,異體字 ,A00008,丑
丒,A00008-003,異體字 ,A00008,丑
󰀈,A00008-005,異體字 ,A00008,丑
󰀉,A00008-006,異體字 ,A00008,丑
丐,A00009,正字 ,A00009,丐
匄,A00009-001,異體字 ,A00009,丐
匃,A00009-002,異體字 ,A00009,丐
𠣣,A00009-003,異體字 ,A00009,丐
󰀊,A00009-004,異體字 ,A00009,丐
󰀋,A00009-005,異體字 ,A00009,丐
󰀌,A00009-006,異體字 ,A00009,丐
𠣏,A00009-007,異體字 ,A00009,丐
不,A00010,正字 ,A00010,不
𠀚,A00010-001,異體字 ,A00010,不
𠙐,A00010-002,異體字 ,A00010,不
󰀍,A00010-003,異體字 ,A00010,不
󰀎,A00010-007,異體字 ,A00010,不
󰀏,A00010-008,異體字 ,A00010,不
󰀐,A00010-009,異體字 ,A00010,不
󰀑,A00010-010,異體字 ,A00010,不
󰀒,A00010-013,異體字 ,A00010,不
󰀓,A00010-015,異體字 ,A00010,不
󰀔,A00010-018,異體字 ,A00010,不
󰀕,A00010-019,異體字 ,A00010,不
󰀖,A00010-020,異體字 ,A00010,不
㐬,A00010-021,異體字 ,A00010,不
󰀗,A00010-023,異體字 ,A00010,不
还,A00010-024,附錄字 ,A00010,不
丙,A00011,正字 ,A00011,丙
󰀘,A00011-001,異體字 ,A00011,丙
󰀙,A00011-002,異體字 ,A00011,丙
世,A00012,正字 ,A00012,世
卋,A00012-002,異體字 ,A00012,世
㔺,A00012-003,異體字 ,A00012,世
𠦔,A00012-004,異體字 ,A00012,世
󰀚,A00012-005,異體字 ,A00012,世
,A00012-006,異體字 ,A00012,世
󰀛,A00012-007,異體字 ,A00012,世
󰀜,A00012-008,異體字 ,A00012,世
󰀝,A00012-009,異體字 ,A00012,世
󰀞,A00012-010,異體字 ,A00012,世
󰀟,A00012-012,異體字 ,A00012,世
