char,comp,mandarin,ipa,latin,cyrillic,variant,simplified
鿦,⿰英微,wīng ,/vʲin/,vin,вин,,
鿤,⿰耶格,giē,/ɡʲe/,ge,ге,,
鿚,⿰伊格,gī,/ɡʲi/,gi,ги,,
鿣,⿰耶克,kiē,/kʲe/,ke,ке,,
鿙,⿰伊克,kī,/kʲi/,ki,ки,,
鿜,⿰拉爾,lā ,/ra/,ra,ра,,
鿥,⿰郎爾,láng,/ran/,ran,ран,,
鿞,⿰列爾,liè,/rʲe/,re,ре,,
鿝,⿰楞爾,léng,/rʲen/,ren,рен,,
鿨,⿰雷爾,léi,/rʲeja/,reia,рея,,
鿠,⿰利爾,lì,/rʲi/ (/l/ word-final),ri,ри,鿟,鿟
鿛,⿰凌爾,líng,/rʲin/,rin,рин,,
鿡,⿰羅爾,luó,/ro/,ro,ро,,
鿧,⿰隆爾,lóng,/ron/,ron,рон,,
鿩,⿰魯爾,rǔ,/ru/,ru,ру,,
鿢,⿰耶合,hiē,/xʲe/,khe,хе,,
鿘,⿰伊合,hī,/xʲi/,khi,хи,,
鿖,⿱合一,Hélìsītuōsī,/xɤ³⁵ li⁵¹ sz̩⁵⁵ tʰu̯ɔ⁵⁵ sz̩⁵⁵/,Hristos,Христос ,,
鿗,⿳人伊一,Yīyīsūsī,/i⁵⁵ i⁵⁵ su⁵⁵ sz̩⁵⁵/,Iisus,Иисус ,,
