base,wu-var,codepoint,source
照,曌,U+66CC,《新唐書·后妃傳上·則天武皇后傳》：「太后自名曌，改詔書為制書。」又《資治通鑑·唐紀二十·則天順聖皇后天授元年》：「太后自名『曌』，改詔曰制。」
照,瞾,U+77BE,《字彙》：「同『照』。」按《正字通》：「唐武后自製十九字，以『瞾』為名，與『照』音義同，從明，非從二目也。後訛為『曌』。」《字彙》改作「瞾」，《字彙補》又作「曌」，並非。
天,𠑺,U+2047A,《字彙補》：「同『天』，武后制。」
天,𠀑,U+20011,《漢語大字典》：「同『天』，唐武則天所造字。」
地,埊,U+57CA,《玉篇》：「古『地』字。《前漢·趙充國傳》：『令不得歸肥繞之埊。』」按《類篇》謂唐武后作埊，非。又趙與時《賓退錄·五》：「武后改易新字，如以山水土為地，千千萬萬為年，永主久王為證，長正主為聖。」
日,𡆠,U+211A0,《集韻》：「入質切，同『日』。《說文》：『實也，太陽之精不虧，從囗，一象形。』唐武后作𡆠。」
月,囝,U+56DD,《集韻》：「魚厥切，音『刖』，與『月』同，武后所作。」
月,𠥱,U+20971,《字彙補》：「與『月』同，武則天制。」見《大周泰山碑》。
星,〇,U+3007,《新唐書·后妃傳上·則天武皇后傳》：「載初中，又享萬象神宮，以太穆、文德二皇后配皇地祇，引周忠孝太后從配。作……、〇、……，十又二文。」按《說文解字》：「曐，萬物之精。上為列星。從晶，生聲。一曰象形，從〇。」
君,𠺞,U+20E9E,"王三慶，論武后新字的創製與興廢兼論文字的正俗問題，成大中文學報. 2005-12, (13)."
君,𠁈,U+20048,《新唐書·后妃傳上·則天武皇后傳》：「載初中，又享萬象神宮，以太穆、文德二皇后配皇地祇，引周忠孝太后從配。作……、𠁈、……，十又二文。」
君,𠱰,U+20C70,《字彙補》：「唐武后所制『君』字。」
臣,𢘑,U+22611,《字彙補》：「古文『臣』字。」
除,𠀺,U+2003A,《新唐書·后妃傳上·則天武皇后傳》：「載初中，又享萬象神宮，以太穆、文德二皇后配皇地祇，引周忠孝太后從配。作……、𠀺、……，十又二文。」
載,𡕀,U+21540,《漢語大字典》：「同『載』，唐武則天所造字。」
載,𠧋,U+209CB,《新唐書·后妃傳上·則天武皇后傳》：「載初中，又享萬象神宮，以太穆、文德二皇后配皇地祇，引周忠孝太后從配。作……、𠧋、……，十又二文。」
初,𡔈,U+21508,《字彙補》：「武則天所制『初』字。」
年,𠡦,U+20866,趙與時《賓退錄·五》：「武后改易新字，如以山水土為地，千千萬萬為年，永主久王為證，長正主為聖。」
年,𠦚,U+2099A,與「年」同，武則天制，見《大周泰山碑》。
正,𠙺,U+2067A,《字彙補》：「武后所制『正』字。」
授,𥢓,U+25893,《集韻》：「承呪切，音『授』，付也。又姓出《姓苑》。」《字彙》：「唐武后改『授』作『則天文字之「授」二』。」
授,𥠢,U+25822,《集韻》：「授，或作『則天文字之「授」一』，唐武后改『授』作『則天文字之「授」二』。」
證,𤪉,U+24A89,《金石文字辨異》：「武后改易新字，以永主久王為證。」又趙與時《賓退錄·五》：「武后改易新字，如以山水土為地，千千萬萬為年，永主久王為證，長正主為聖。」
證,𨭻,U+28B7B,《集韻》：「證，唐武后作『則天文字之「證」』。」
圣,𨲢,U+28CA2,《字彙補》：「武則天所制『聖』字。」見《大周泰山碑》。又趙與時《賓退錄·五》：「武后改易新字，如以山水土為地，千千萬萬為年，永主久王為證，長正主為聖。」
国,圀,U+5700,《玉篇》：「古文『國』字。」唐武后所作。《正字通》：「唐武后時，有言『國』中『或』者，惑也，請以『武』鎮之，又有言武在囗中，與困何異，復改為圀。」
人,𤯔,U+24BD4,《字彙補》：「與『人』同，唐武后制。」
幼,𢈗,U+22217,《字彙補》：「與『幼』同，武則天制。」
生,𠤵,U+20935,《宣和書譜》卷一：「（武后）增減前人筆畫，自我作古，為十九字，曰：……𠤵。」
应,𠩍,U+20A4D,《字彙補》：「同『應』，唐武后制。」見《大周泰山碑》。
