category	pageid	work_title	page_title	work_folder	juan_index	raw_path	clean_path	char_count_raw	char_count_clean	is_empty_page	wenyan_mode	wenyan_score	wenyan_label	wenyan_chars	wenyan_modern_density	wenyan_classical_density	wenyan_avg_sentence_len	wenyan_is_poetry	wenyan_short_text
中華民國	143443	《嵇康集》著錄考	《嵇康集》著錄考	《嵇康集》著錄考	1	scrape_output\raw\中華民國\《嵇康集》著錄考\《嵇康集》著錄考__juan_01.txt	scrape_output\clean\中華民國\《嵇康集》著錄考\《嵇康集》著錄考__juan_01.txt	5041	4759	0	separate	0.02883087400681044	wenyan-like	4405	0.007037457434733258	0.024971623155505107	14.925795053003533	0	0
中華民國	143417	《嵇康集》跋	《嵇康集》跋	《嵇康集》跋	1	scrape_output\suspected_baihua\raw\中華民國\《嵇康集》跋\《嵇康集》跋__juan_01.txt	scrape_output\suspected_baihua\clean\中華民國\《嵇康集》跋\《嵇康集》跋__juan_01.txt	494	436	0	separate	-0.013477088948787061	baihua-like	371	0.03504043126684636	0.04582210242587601	12.206896551724139	0	0
中華民國	143449	《嵇康集》逸文考	《嵇康集》逸文考	《嵇康集》逸文考	1	scrape_output\raw\中華民國\《嵇康集》逸文考\《嵇康集》逸文考__juan_01.txt	scrape_output\clean\中華民國\《嵇康集》逸文考\《嵇康集》逸文考__juan_01.txt	1636	1534	0	separate	0.17363896848137536	wenyan-like	1396	0.010744985673352435	0.027936962750716332	21.03125	0	0
中華民國	143469	《廣林》序	《廣林》序	《廣林》序	1	scrape_output\raw\中華民國\《廣林》序\《廣林》序__juan_01.txt	scrape_output\clean\中華民國\《廣林》序\《廣林》序__juan_01.txt	226	208	0	separate	0.20095541401273886	unknown	157	0.0	0.025477707006369428	15.2	0	1
中華民國	143446	《志林》序	《志林》序	《志林》序	1	scrape_output\suspected_baihua\raw\中華民國\《志林》序\《志林》序__juan_01.txt	scrape_output\suspected_baihua\clean\中華民國\《志林》序\《志林》序__juan_01.txt	430	373	0	separate	-0.05102040816326531	baihua-like	294	0.03741496598639456	0.030612244897959183	7.972222222222222	0	0
中華民國	143453	《雲谷雜記》序	《雲谷雜記》序	《雲谷雜記》序	1	scrape_output\raw\中華民國\《雲谷雜記》序\《雲谷雜記》序__juan_01.txt	scrape_output\clean\中華民國\《雲谷雜記》序\《雲谷雜記》序__juan_01.txt	701	627	0	separate	0.1628205128205128	wenyan-like	546	0.020146520146520148	0.03663003663003663	15.529411764705882	0	0
中華民國	143415	《雲谷雜記》跋	《雲谷雜記》跋	《雲谷雜記》跋	1	scrape_output\suspected_baihua\raw\中華民國\《雲谷雜記》跋\《雲谷雜記》跋__juan_01.txt	scrape_output\suspected_baihua\clean\中華民國\《雲谷雜記》跋\《雲谷雜記》跋__juan_01.txt	405	341	0	separate	-0.05597014925373134	baihua-like	268	0.041044776119402986	0.033582089552238806	10.44	0	0
中華民國	885150	上國民政府電陳明馳赴津浦路前線慰勞北伐官兵	上國民政府電陳明馳赴津浦路前線慰勞北伐官兵	上國民政府電陳明馳赴津浦路前線慰勞北伐官兵	1	scrape_output\suspected_baihua\raw\中華民國\上國民政府電陳明馳赴津浦路前線慰勞北伐官兵\上國民政府電陳明馳赴津浦路前線慰勞北伐官兵__juan_01.txt	scrape_output\suspected_baihua\clean\中華民國\上國民政府電陳明馳赴津浦路前線慰勞北伐官兵\上國民政府電陳明馳赴津浦路前線慰勞北伐官兵__juan_01.txt	538	495	0	separate	-0.0552995391705069	baihua-like	434	0.03686635944700461	0.027649769585253458	14.1	0	0
中華民國	134894	中国共产党中央执行委员会告全党党员书	中国共产党中央执行委员会告全党党员书	中国共产党中央执行委员会告全党党员书	1	scrape_output\raw\中華民國\中国共产党中央执行委员会告全党党员书\中国共产党中央执行委员会告全党党员书__juan_01.txt	scrape_output\clean\中華民國\中国共产党中央执行委员会告全党党员书\中国共产党中央执行委员会告全党党员书__juan_01.txt	22403	22180	0	separate	0.07408455848780932	wenyan-like	21902	0.08483243539402795	0.01429093233494658	48.27865168539326	0	0
中華民國	114489	中国共产党接受共产国际第十次全体会议决议的决议	中国共产党接受共产国际第十次全体会议决议的决议	中国共产党接受共产国际第十次全体会议决议的决议	1	scrape_output\raw\中華民國\中国共产党接受共产国际第十次全体会议决议的决议\中国共产党接受共产国际第十次全体会议决议的决议__juan_01.txt	scrape_output\clean\中華民國\中国共产党接受共产国际第十次全体会议决议的决议\中国共产党接受共产国际第十次全体会议决议的决议__juan_01.txt	5214	5070	0	separate	0.062056596253487445	wenyan-like	5018	0.08529294539657234	0.008967716221602232	58.916666666666664	0	0
