category,pageid,work_title,page_title,work_folder,juan_index,raw_path,clean_path,char_count_raw,char_count_clean,is_empty_page,wenyan_mode,wenyan_score,wenyan_label,wenyan_chars,wenyan_modern_density,wenyan_classical_density,wenyan_avg_sentence_len,wenyan_is_poetry,wenyan_short_text
中華民國公有領域,888121,108年3月19日黨產處字第108001號處分書,108年3月19日黨產處字第108001號處分書,108年3月19日黨產處字第108001號處分書,1,scrape_output\suspected_baihua\raw\中華民國公有領域\108年3月19日黨產處字第108001號處分書\108年3月19日黨產處字第108001號處分書__juan_01.txt,scrape_output\suspected_baihua\clean\中華民國公有領域\108年3月19日黨產處字第108001號處分書\108年3月19日黨產處字第108001號處分書__juan_01.txt,604,517,0,separate,-0.03820224719101123,baihua-like,445,0.033707865168539325,0.03146067415730337,13.272727272727273,0,0
中華民國公有領域,1212819,1110907南檢偵辦殺警案偵結提起公訴並求處死刑新聞稿,1110907南檢偵辦殺警案偵結提起公訴並求處死刑新聞稿,1110907南檢偵辦殺警案偵結提起公訴並求處死刑新聞稿,1,scrape_output\raw\中華民國公有領域\1110907南檢偵辦殺警案偵結提起公訴並求處死刑新聞稿\1110907南檢偵辦殺警案偵結提起公訴並求處死刑新聞稿__juan_01.txt,scrape_output\clean\中華民國公有領域\1110907南檢偵辦殺警案偵結提起公訴並求處死刑新聞稿\1110907南檢偵辦殺警案偵結提起公訴並求處死刑新聞稿__juan_01.txt,6685,6190,0,separate,0.28037922506183016,wenyan-like,6065,0.031162407254740312,0.03693322341302556,58.16504854368932,0,0
中華民國公有領域,1188702,1131204新竹地檢署偵結國道77.7公里處重大車禍案新聞稿,1131204新竹地檢署偵結國道77.7公里處重大車禍案新聞稿,1131204新竹地檢署偵結國道77.7公里處重大車禍案新聞稿,1,scrape_output\raw\中華民國公有領域\1131204新竹地檢署偵結國道77.7公里處重大車禍案新聞稿\1131204新竹地檢署偵結國道77.7公里處重大車禍案新聞稿__juan_01.txt,scrape_output\clean\中華民國公有領域\1131204新竹地檢署偵結國道77.7公里處重大車禍案新聞稿\1131204新竹地檢署偵結國道77.7公里處重大車禍案新聞稿__juan_01.txt,4888,4290,0,separate,0.2906024096385542,wenyan-like,4150,0.012771084337349397,0.014457831325301205,52.08860759493671,0,0
中華民國公有領域,1186847,1131226臺北地檢偵結柯姓被告等人涉犯貪污治罪條例等案件新聞稿,1131226臺北地檢偵結柯姓被告等人涉犯貪污治罪條例等案件新聞稿,1131226臺北地檢偵結柯姓被告等人涉犯貪污治罪條例等案件新聞稿,1,scrape_output\raw\中華民國公有領域\1131226臺北地檢偵結柯姓被告等人涉犯貪污治罪條例等案件新聞稿\1131226臺北地檢偵結柯姓被告等人涉犯貪污治罪條例等案件新聞稿__juan_01.txt,scrape_output\clean\中華民國公有領域\1131226臺北地檢偵結柯姓被告等人涉犯貪污治罪條例等案件新聞稿\1131226臺北地檢偵結柯姓被告等人涉犯貪污治罪條例等案件新聞稿__juan_01.txt,7977,7221,0,separate,0.28857225517141616,wenyan-like,6913,0.019528424707073628,0.023578764646318532,42.75,0,0
中華民國公有領域,1169447,113年度偵抗字第1817號彭振聲羈押抗告案新聞稿,113年度偵抗字第1817號彭振聲羈押抗告案新聞稿,113年度偵抗字第1817號彭振聲羈押抗告案新聞稿,1,scrape_output\raw\中華民國公有領域\113年度偵抗字第1817號彭振聲羈押抗告案新聞稿\113年度偵抗字第1817號彭振聲羈押抗告案新聞稿__juan_01.txt,scrape_output\clean\中華民國公有領域\113年度偵抗字第1817號彭振聲羈押抗告案新聞稿\113年度偵抗字第1817號彭振聲羈押抗告案新聞稿__juan_01.txt,790,727,0,separate,0.11923076923076922,wenyan-like,650,0.033846153846153845,0.03538461538461538,15.85,0,0
中華民國公有領域,1169444,113年度偵抗字第1817號柯文哲等人聲請羈押抗告案件新聞稿,113年度偵抗字第1817號柯文哲等人聲請羈押抗告案件新聞稿,113年度偵抗字第1817號柯文哲等人聲請羈押抗告案件新聞稿,1,scrape_output\raw\中華民國公有領域\113年度偵抗字第1817號柯文哲等人聲請羈押抗告案件新聞稿\113年度偵抗字第1817號柯文哲等人聲請羈押抗告案件新聞稿__juan_01.txt,scrape_output\clean\中華民國公有領域\113年度偵抗字第1817號柯文哲等人聲請羈押抗告案件新聞稿\113年度偵抗字第1817號柯文哲等人聲請羈押抗告案件新聞稿__juan_01.txt,901,842,0,separate,0.08840104849279161,wenyan-like,763,0.04062909567496723,0.03014416775884666,18.195121951219512,0,0
中華民國公有領域,1169446,113年度偵抗字第1846號沈慶京及吳順民羈押抗告案新聞稿,113年度偵抗字第1846號沈慶京及吳順民羈押抗告案新聞稿,113年度偵抗字第1846號沈慶京及吳順民羈押抗告案新聞稿,1,scrape_output\raw\中華民國公有領域\113年度偵抗字第1846號沈慶京及吳順民羈押抗告案新聞稿\113年度偵抗字第1846號沈慶京及吳順民羈押抗告案新聞稿__juan_01.txt,scrape_output\clean\中華民國公有領域\113年度偵抗字第1846號沈慶京及吳順民羈押抗告案新聞稿\113年度偵抗字第1846號沈慶京及吳順民羈押抗告案新聞稿__juan_01.txt,885,818,0,separate,0.12165991902834007,wenyan-like,741,0.033738191632928474,0.03643724696356275,18.125,0,0
中華民國公有領域,1169445,113年度偵抗字第1859號應曉薇羈押抗告案新聞稿,113年度偵抗字第1859號應曉薇羈押抗告案新聞稿,113年度偵抗字第1859號應曉薇羈押抗告案新聞稿,1,scrape_output\raw\中華民國公有領域\113年度偵抗字第1859號應曉薇羈押抗告案新聞稿\113年度偵抗字第1859號應曉薇羈押抗告案新聞稿__juan_01.txt,scrape_output\clean\中華民國公有領域\113年度偵抗字第1859號應曉薇羈押抗告案新聞稿\113年度偵抗字第1859號應曉薇羈押抗告案新聞稿__juan_01.txt,773,710,0,separate,0.11366508688783569,wenyan-like,633,0.03317535545023697,0.0315955766192733,15.846153846153847,0,0
中華民國公有領域,1164597,113年度憲立字第1號等聲請案行準備程序新聞稿,113年度憲立字第1號等聲請案行準備程序新聞稿,113年度憲立字第1號等聲請案行準備程序新聞稿,1,scrape_output\raw\中華民國公有領域\113年度憲立字第1號等聲請案行準備程序新聞稿\113年度憲立字第1號等聲請案行準備程序新聞稿__juan_01.txt,scrape_output\clean\中華民國公有領域\113年度憲立字第1號等聲請案行準備程序新聞稿\113年度憲立字第1號等聲請案行準備程序新聞稿__juan_01.txt,2895,2768,0,separate,0.32800597460791636,wenyan-like,2678,0.012322628827483197,0.03248693054518297,33.73076923076923,0,0
中華民國公有領域,1191260,1140121臺北地檢偵結寶林茶室A13店食物中毒案件新聞稿,1140121臺北地檢偵結寶林茶室A13店食物中毒案件新聞稿,1140121臺北地檢偵結寶林茶室A13店食物中毒案件新聞稿,1,scrape_output\raw\中華民國公有領域\1140121臺北地檢偵結寶林茶室A13店食物中毒案件新聞稿\1140121臺北地檢偵結寶林茶室A13店食物中毒案件新聞稿__juan_01.txt,scrape_output\clean\中華民國公有領域\1140121臺北地檢偵結寶林茶室A13店食物中毒案件新聞稿\1140121臺北地檢偵結寶林茶室A13店食物中毒案件新聞稿__juan_01.txt,6478,5692,0,separate,0.2743054104867349,wenyan-like,4787,0.02611238771673282,0.02632128681846668,58.06382978723404,0,0
