category	pageid	work_title	page_title	work_folder	juan_index	raw_path	clean_path	char_count_raw	char_count_clean	is_empty_page
劉宋	1035590	七夕夜詠牛女應制	七夕夜詠牛女應制	七夕夜詠牛女應制	1	scrape_output\raw\劉宋\七夕夜詠牛女應制\七夕夜詠牛女應制__juan_01.txt	scrape_output\clean\劉宋\七夕夜詠牛女應制\七夕夜詠牛女應制__juan_01.txt	176	132	0
劉宋	1033540	上封禪儀註奏	上封禪儀註奏	上封禪儀註奏	1	scrape_output\raw\劉宋\上封禪儀註奏\上封禪儀註奏__juan_01.txt	scrape_output\clean\劉宋\上封禪儀註奏\上封禪儀註奏__juan_01.txt	1297	1247	0
劉宋	1033292	上摉才表	上摉才表	上摉才表	1	scrape_output\raw\劉宋\上摉才表\上摉才表__juan_01.txt	scrape_output\clean\劉宋\上摉才表\上摉才表__juan_01.txt	750	706	0
劉宋	58923	丹陽記	丹陽記	丹陽記	1	scrape_output\raw\劉宋\丹陽記\丹陽記__juan_01.txt	scrape_output\clean\劉宋\丹陽記\丹陽記__juan_01.txt	517	473	0
劉宋	796321	九日從宋公戲馬臺集送孔令詩 (謝瞻)	九日從宋公戲馬臺集送孔令詩 (謝瞻)	九日從宋公戲馬臺集送孔令詩 (謝瞻)	1	scrape_output\raw\劉宋\九日從宋公戲馬臺集送孔令詩 (謝瞻)\九日從宋公戲馬臺集送孔令詩 (謝瞻)__juan_01.txt	scrape_output\clean\劉宋\九日從宋公戲馬臺集送孔令詩 (謝瞻)\九日從宋公戲馬臺集送孔令詩 (謝瞻)__juan_01.txt	205	161	0
劉宋	1200030	五分戒本	五分戒本	五分戒本	1	scrape_output\raw\劉宋\五分戒本\五分戒本__juan_01.txt	scrape_output\clean\劉宋\五分戒本\五分戒本__juan_01.txt	8990	8876	0
劉宋	875503	五門禪經要用法	五門禪經要用法	五門禪經要用法	1	scrape_output\raw\劉宋\五門禪經要用法\五門禪經要用法__juan_01.txt	scrape_output\clean\劉宋\五門禪經要用法\五門禪經要用法__juan_01.txt	12232	12188	0
劉宋	144527	代君子有所思 (鮑照)	代君子有所思 (鮑照)	代君子有所思 (鮑照)	1	scrape_output\raw\劉宋\代君子有所思 (鮑照)\代君子有所思 (鮑照)__juan_01.txt	scrape_output\clean\劉宋\代君子有所思 (鮑照)\代君子有所思 (鮑照)__juan_01.txt	240	148	0
劉宋	195249	佛母般泥洹經	佛母般泥洹經	佛母般泥洹經	1	scrape_output\raw\劉宋\佛母般泥洹經\佛母般泥洹經__juan_01.txt	scrape_output\clean\劉宋\佛母般泥洹經\佛母般泥洹經__juan_01.txt	2370	2326	0
劉宋	877796	佛說五無返復經 (沮渠京聲譯本一)	佛說五無返復經 (沮渠京聲譯本一)	佛說五無返復經 (沮渠京聲譯本一)	1	scrape_output\raw\劉宋\佛說五無返復經 (沮渠京聲譯本一)\佛說五無返復經 (沮渠京聲譯本一)__juan_01.txt	scrape_output\clean\劉宋\佛說五無返復經 (沮渠京聲譯本一)\佛說五無返復經 (沮渠京聲譯本一)__juan_01.txt	1396	1352	0
劉宋	877797	佛說五無返復經 (沮渠京聲譯本二)	佛說五無返復經 (沮渠京聲譯本二)	佛說五無返復經 (沮渠京聲譯本二)	1	scrape_output\raw\劉宋\佛說五無返復經 (沮渠京聲譯本二)\佛說五無返復經 (沮渠京聲譯本二)__juan_01.txt	scrape_output\clean\劉宋\佛說五無返復經 (沮渠京聲譯本二)\佛說五無返復經 (沮渠京聲譯本二)__juan_01.txt	1341	1297	0
劉宋	875366	佛說佛大僧大經	佛說佛大僧大經	佛說佛大僧大經	1	scrape_output\raw\劉宋\佛說佛大僧大經\佛說佛大僧大經__juan_01.txt	scrape_output\clean\劉宋\佛說佛大僧大經\佛說佛大僧大經__juan_01.txt	3815	3748	0
劉宋	177363	佛說十二頭陀經	佛說十二頭陀經	佛說十二頭陀經	1	scrape_output\raw\劉宋\佛說十二頭陀經\佛說十二頭陀經__juan_01.txt	scrape_output\clean\劉宋\佛說十二頭陀經\佛說十二頭陀經__juan_01.txt	2566	2509	0
劉宋	181256	佛說四人出現世間經	佛說四人出現世間經	佛說四人出現世間經	1	scrape_output\raw\劉宋\佛說四人出現世間經\佛說四人出現世間經__juan_01.txt	scrape_output\clean\劉宋\佛說四人出現世間經\佛說四人出現世間經__juan_01.txt	1842	1795	0
劉宋	150481	佛說四天王經	佛說四天王經	佛說四天王經	1	scrape_output\raw\劉宋\佛說四天王經\佛說四天王經__juan_01.txt	scrape_output\clean\劉宋\佛說四天王經\佛說四天王經__juan_01.txt	1303	1259	0
劉宋	177906	佛說大意經	佛說大意經	佛說大意經	1	scrape_output\raw\劉宋\佛說大意經\佛說大意經__juan_01.txt	scrape_output\clean\劉宋\佛說大意經\佛說大意經__juan_01.txt	2616	2563	0
劉宋	877039	佛說摩訶迦葉度貧母經	佛說摩訶迦葉度貧母經	佛說摩訶迦葉度貧母經	1	scrape_output\raw\劉宋\佛說摩訶迦葉度貧母經\佛說摩訶迦葉度貧母經__juan_01.txt	scrape_output\clean\劉宋\佛說摩訶迦葉度貧母經\佛說摩訶迦葉度貧母經__juan_01.txt	2249	2205	0
劉宋	875382	佛說摩達國王經	佛說摩達國王經	佛說摩達國王經	1	scrape_output\raw\劉宋\佛說摩達國王經\佛說摩達國王經__juan_01.txt	scrape_output\clean\劉宋\佛說摩達國王經\佛說摩達國王經__juan_01.txt	739	695	0
劉宋	875383	佛說旃陀越國王經	佛說旃陀越國王經	佛說旃陀越國王經	1	scrape_output\raw\劉宋\佛說旃陀越國王經\佛說旃陀越國王經__juan_01.txt	scrape_output\clean\劉宋\佛說旃陀越國王經\佛說旃陀越國王經__juan_01.txt	1594	1550	0
劉宋	877291	佛說月燈三昧經 (先公譯本一)	佛說月燈三昧經 (先公譯本一)	佛說月燈三昧經 (先公譯本一)	1	scrape_output\raw\劉宋\佛說月燈三昧經 (先公譯本一)\佛說月燈三昧經 (先公譯本一)__juan_01.txt	scrape_output\clean\劉宋\佛說月燈三昧經 (先公譯本一)\佛說月燈三昧經 (先公譯本一)__juan_01.txt	4963	4915	0
劉宋	877292	佛說月燈三昧經 (先公譯本二)	佛說月燈三昧經 (先公譯本二)	佛說月燈三昧經 (先公譯本二)	1	scrape_output\raw\劉宋\佛說月燈三昧經 (先公譯本二)\佛說月燈三昧經 (先公譯本二)__juan_01.txt	scrape_output\clean\劉宋\佛說月燈三昧經 (先公譯本二)\佛說月燈三昧經 (先公譯本二)__juan_01.txt	10174	10130	0
劉宋	875388	佛說末羅王經	佛說末羅王經	佛說末羅王經	1	scrape_output\raw\劉宋\佛說末羅王經\佛說末羅王經__juan_01.txt	scrape_output\clean\劉宋\佛說末羅王經\佛說末羅王經__juan_01.txt	933	889	0
劉宋	877066	佛說樹提伽經 (求那跋陀羅譯本一)	佛說樹提伽經 (求那跋陀羅譯本一)	佛說樹提伽經 (求那跋陀羅譯本一)	1	scrape_output\raw\劉宋\佛說樹提伽經 (求那跋陀羅譯本一)\佛說樹提伽經 (求那跋陀羅譯本一)__juan_01.txt	scrape_output\clean\劉宋\佛說樹提伽經 (求那跋陀羅譯本一)\佛說樹提伽經 (求那跋陀羅譯本一)__juan_01.txt	1560	1499	0
劉宋	177364	佛說樹提伽經 (求那跋陀羅譯本二)	佛說樹提伽經 (求那跋陀羅譯本二)	佛說樹提伽經 (求那跋陀羅譯本二)	1	scrape_output\raw\劉宋\佛說樹提伽經 (求那跋陀羅譯本二)\佛說樹提伽經 (求那跋陀羅譯本二)__juan_01.txt	scrape_output\clean\劉宋\佛說樹提伽經 (求那跋陀羅譯本二)\佛說樹提伽經 (求那跋陀羅譯本二)__juan_01.txt	1543	1477	0
劉宋	876018	佛說法華三昧經	佛說法華三昧經	佛說法華三昧經	1	scrape_output\raw\劉宋\佛說法華三昧經\佛說法華三昧經__juan_01.txt	scrape_output\clean\劉宋\佛說法華三昧經\佛說法華三昧經__juan_01.txt	6880	6836	0
劉宋	875368	佛說淨飯王般涅槃經	佛說淨飯王般涅槃經	佛說淨飯王般涅槃經	1	scrape_output\raw\劉宋\佛說淨飯王般涅槃經\佛說淨飯王般涅槃經__juan_01.txt	scrape_output\clean\劉宋\佛說淨飯王般涅槃經\佛說淨飯王般涅槃經__juan_01.txt	3572	3515	0
劉宋	184306	佛說瞿曇彌記果經	佛說瞿曇彌記果經	佛說瞿曇彌記果經	1	scrape_output\raw\劉宋\佛說瞿曇彌記果經\佛說瞿曇彌記果經__juan_01.txt	scrape_output\clean\劉宋\佛說瞿曇彌記果經\佛說瞿曇彌記果經__juan_01.txt	3677	3633	0
劉宋	174772	佛說罪福報應經	佛說罪福報應經	佛說罪福報應經	1	scrape_output\raw\劉宋\佛說罪福報應經\佛說罪福報應經__juan_01.txt	scrape_output\clean\劉宋\佛說罪福報應經\佛說罪福報應經__juan_01.txt	1901	1857	0
劉宋	877100	佛說老母女六英經	佛說老母女六英經	佛說老母女六英經	1	scrape_output\raw\劉宋\佛說老母女六英經\佛說老母女六英經__juan_01.txt	scrape_output\clean\劉宋\佛說老母女六英經\佛說老母女六英經__juan_01.txt	581	537	0
劉宋	877067	佛說耶祇經	佛說耶祇經	佛說耶祇經	1	scrape_output\raw\劉宋\佛說耶祇經\佛說耶祇經__juan_01.txt	scrape_output\clean\劉宋\佛說耶祇經\佛說耶祇經__juan_01.txt	1123	1079	0
劉宋	876035	佛說菩薩行方便境界神通變化經	佛說菩薩行方便境界神通變化經/01	佛說菩薩行方便境界神通變化經	1	scrape_output\raw\劉宋\佛說菩薩行方便境界神通變化經\佛說菩薩行方便境界神通變化經__juan_01.txt	scrape_output\clean\劉宋\佛說菩薩行方便境界神通變化經\佛說菩薩行方便境界神通變化經__juan_01.txt	8248	8248	0
劉宋	876035	佛說菩薩行方便境界神通變化經	佛說菩薩行方便境界神通變化經/02	佛說菩薩行方便境界神通變化經	2	scrape_output\raw\劉宋\佛說菩薩行方便境界神通變化經\佛說菩薩行方便境界神通變化經__juan_02.txt	scrape_output\clean\劉宋\佛說菩薩行方便境界神通變化經\佛說菩薩行方便境界神通變化經__juan_02.txt	9714	9676	0
劉宋	876035	佛說菩薩行方便境界神通變化經	佛說菩薩行方便境界神通變化經/03	佛說菩薩行方便境界神通變化經	3	scrape_output\raw\劉宋\佛說菩薩行方便境界神通變化經\佛說菩薩行方便境界神通變化經__juan_03.txt	scrape_output\clean\劉宋\佛說菩薩行方便境界神通變化經\佛說菩薩行方便境界神通變化經__juan_03.txt	8341	8338	0
劉宋	177052	佛說觀普賢菩薩行法經	佛說觀普賢菩薩行法經	佛說觀普賢菩薩行法經	1	scrape_output\raw\劉宋\佛說觀普賢菩薩行法經\佛說觀普賢菩薩行法經__juan_01.txt	scrape_output\clean\劉宋\佛說觀普賢菩薩行法經\佛說觀普賢菩薩行法經__juan_01.txt	8133	8036	0
劉宋	877049	佛說諫王經	佛說諫王經	佛說諫王經	1	scrape_output\raw\劉宋\佛說諫王經\佛說諫王經__juan_01.txt	scrape_output\clean\劉宋\佛說諫王經\佛說諫王經__juan_01.txt	1954	1901	0
劉宋	878402	佛說諸法勇王經	佛說諸法勇王經	佛說諸法勇王經	1	scrape_output\raw\劉宋\佛說諸法勇王經\佛說諸法勇王經__juan_01.txt	scrape_output\clean\劉宋\佛說諸法勇王經\佛說諸法勇王經__juan_01.txt	10050	10006	0
劉宋	878385	佛說象腋經	佛說象腋經	佛說象腋經	1	scrape_output\raw\劉宋\佛說象腋經\佛說象腋經__juan_01.txt	scrape_output\clean\劉宋\佛說象腋經\佛說象腋經__juan_01.txt	9387	9269	0
劉宋	878358	佛說貧窮老公經 (釋慧簡譯本一)	佛說貧窮老公經 (釋慧簡譯本一)	佛說貧窮老公經 (釋慧簡譯本一)	1	scrape_output\raw\劉宋\佛說貧窮老公經 (釋慧簡譯本一)\佛說貧窮老公經 (釋慧簡譯本一)__juan_01.txt	scrape_output\clean\劉宋\佛說貧窮老公經 (釋慧簡譯本一)\佛說貧窮老公經 (釋慧簡譯本一)__juan_01.txt	1604	1557	0
劉宋	875400	佛說貧窮老公經 (釋慧簡譯本二)	佛說貧窮老公經 (釋慧簡譯本二)	佛說貧窮老公經 (釋慧簡譯本二)	1	scrape_output\raw\劉宋\佛說貧窮老公經 (釋慧簡譯本二)\佛說貧窮老公經 (釋慧簡譯本二)__juan_01.txt	scrape_output\clean\劉宋\佛說貧窮老公經 (釋慧簡譯本二)\佛說貧窮老公經 (釋慧簡譯本二)__juan_01.txt	1422	1378	0
劉宋	39088	佛說輪轉五道罪福報應經	佛說輪轉五道罪福報應經	佛說輪轉五道罪福報應經	1	scrape_output\raw\劉宋\佛說輪轉五道罪福報應經\佛說輪轉五道罪福報應經__juan_01.txt	scrape_output\clean\劉宋\佛說輪轉五道罪福報應經\佛說輪轉五道罪福報應經__juan_01.txt	2346	2302	0
劉宋	877104	佛說轉女身經	佛說轉女身經	佛說轉女身經	1	scrape_output\raw\劉宋\佛說轉女身經\佛說轉女身經__juan_01.txt	scrape_output\clean\劉宋\佛說轉女身經\佛說轉女身經__juan_01.txt	11071	11027	0
劉宋	875404	佛說進學經	佛說進學經	佛說進學經	1	scrape_output\raw\劉宋\佛說進學經\佛說進學經__juan_01.txt	scrape_output\clean\劉宋\佛說進學經\佛說進學經__juan_01.txt	459	415	0
劉宋	181260	佛說長者子六過出家經	佛說長者子六過出家經	佛說長者子六過出家經	1	scrape_output\raw\劉宋\佛說長者子六過出家經\佛說長者子六過出家經__juan_01.txt	scrape_output\clean\劉宋\佛說長者子六過出家經\佛說長者子六過出家經__juan_01.txt	1162	1118	0
劉宋	181317	佛說阿遬達經	佛說阿遬達經	佛說阿遬達經	1	scrape_output\raw\劉宋\佛說阿遬達經\佛說阿遬達經__juan_01.txt	scrape_output\clean\劉宋\佛說阿遬達經\佛說阿遬達經__juan_01.txt	1015	923	0
