category,pageid,work_title,page_title,work_folder,juan_index,raw_path,clean_path,char_count_raw,char_count_clean,is_empty_page
北齊,1032625,七夕 (邢邵),七夕 (邢邵),七夕 (邢邵),1,scrape_output\raw\北齊\七夕 (邢邵)\七夕 (邢邵)__juan_01.txt,scrape_output\clean\北齊\七夕 (邢邵)\七夕 (邢邵)__juan_01.txt,162,118,0
北齊,886195,七月七日登舜山,七月七日登舜山,七月七日登舜山,1,scrape_output\raw\北齊\七月七日登舜山\七月七日登舜山__juan_01.txt,scrape_output\clean\北齊\七月七日登舜山\七月七日登舜山__juan_01.txt,134,39,0
北齊,1032619,三日華林園公宴,三日華林園公宴,三日華林園公宴,1,scrape_output\raw\北齊\三日華林園公宴\三日華林園公宴__juan_01.txt,scrape_output\clean\北齊\三日華林園公宴\三日華林園公宴__juan_01.txt,176,132,0
北齊,1030358,上魏書十志啟,上魏書十志啟,上魏書十志啟,1,scrape_output\raw\北齊\上魏書十志啟\上魏書十志啟__juan_01.txt,scrape_output\clean\北齊\上魏書十志啟\上魏書十志啟__juan_01.txt,520,476,0
北齊,176361,五日,五日,五日,1,scrape_output\raw\北齊\五日\五日__juan_01.txt,scrape_output\clean\北齊\五日\五日__juan_01.txt,174,129,0
北齊,173107,兖州都督胡延碑銘,兖州都督胡延碑銘,兖州都督胡延碑銘,1,scrape_output\raw\北齊\兖州都督胡延碑銘\兖州都督胡延碑銘__juan_01.txt,scrape_output\clean\北齊\兖州都督胡延碑銘\兖州都督胡延碑銘__juan_01.txt,1580,1576,0
北齊,1032383,冀州刺史封隆之碑,冀州刺史封隆之碑,冀州刺史封隆之碑,1,scrape_output\raw\北齊\冀州刺史封隆之碑\冀州刺史封隆之碑__juan_01.txt,scrape_output\clean\北齊\冀州刺史封隆之碑\冀州刺史封隆之碑__juan_01.txt,388,344,0
北齊,173456,冊命齊王九錫文,冊命齊王九錫文,冊命齊王九錫文,1,scrape_output\raw\北齊\冊命齊王九錫文\冊命齊王九錫文__juan_01.txt,scrape_output\clean\北齊\冊命齊王九錫文\冊命齊王九錫文__juan_01.txt,1352,1305,0
北齊,1032621,冬夜酬魏少傅直史館,冬夜酬魏少傅直史館,冬夜酬魏少傅直史館,1,scrape_output\raw\北齊\冬夜酬魏少傅直史館\冬夜酬魏少傅直史館__juan_01.txt,scrape_output\clean\北齊\冬夜酬魏少傅直史館\冬夜酬魏少傅直史館__juan_01.txt,294,250,0
北齊,1032623,冬日傷志篇,冬日傷志篇,冬日傷志篇,1,scrape_output\raw\北齊\冬日傷志篇\冬日傷志篇__juan_01.txt,scrape_output\clean\北齊\冬日傷志篇\冬日傷志篇__juan_01.txt,208,164,0
北齊,886199,北齊孝昭帝即位大赦詔,北齊孝昭帝即位大赦詔,北齊孝昭帝即位大赦詔,1,scrape_output\raw\北齊\北齊孝昭帝即位大赦詔\北齊孝昭帝即位大赦詔__juan_01.txt,scrape_output\clean\北齊\北齊孝昭帝即位大赦詔\北齊孝昭帝即位大赦詔__juan_01.txt,507,507,0
北齊,173112,北齊孝昭帝郊祀恩降詔,北齊孝昭帝郊祀恩降詔,北齊孝昭帝郊祀恩降詔,1,scrape_output\raw\北齊\北齊孝昭帝郊祀恩降詔\北齊孝昭帝郊祀恩降詔__juan_01.txt,scrape_output\clean\北齊\北齊孝昭帝郊祀恩降詔\北齊孝昭帝郊祀恩降詔__juan_01.txt,360,358,0
北齊,173110,北齊廢帝即位改元大赦詔,北齊廢帝即位改元大赦詔,北齊廢帝即位改元大赦詔,1,scrape_output\raw\北齊\北齊廢帝即位改元大赦詔\北齊廢帝即位改元大赦詔__juan_01.txt,scrape_output\clean\北齊\北齊廢帝即位改元大赦詔\北齊廢帝即位改元大赦詔__juan_01.txt,411,408,0
北齊,173117,北齊後主大赦詔,北齊後主大赦詔,北齊後主大赦詔,1,scrape_output\raw\北齊\北齊後主大赦詔\北齊後主大赦詔__juan_01.txt,scrape_output\clean\北齊\北齊後主大赦詔\北齊後主大赦詔__juan_01.txt,445,443,0
北齊,173115,北齊文宣帝大赦詔,北齊文宣帝大赦詔,北齊文宣帝大赦詔,1,scrape_output\raw\北齊\北齊文宣帝大赦詔\北齊文宣帝大赦詔__juan_01.txt,scrape_output\clean\北齊\北齊文宣帝大赦詔\北齊文宣帝大赦詔__juan_01.txt,1027,1024,0
北齊,173111,北齊武成帝即位改元大赦詔,北齊武成帝即位改元大赦詔,北齊武成帝即位改元大赦詔,1,scrape_output\raw\北齊\北齊武成帝即位改元大赦詔\北齊武成帝即位改元大赦詔__juan_01.txt,scrape_output\clean\北齊\北齊武成帝即位改元大赦詔\北齊武成帝即位改元大赦詔__juan_01.txt,295,293,0
北齊,173116,北齊武成帝大赦詔,北齊武成帝大赦詔,北齊武成帝大赦詔,1,scrape_output\raw\北齊\北齊武成帝大赦詔\北齊武成帝大赦詔__juan_01.txt,scrape_output\clean\北齊\北齊武成帝大赦詔\北齊武成帝大赦詔__juan_01.txt,474,472,0
北齊,176358,喜雨 (魏收),喜雨 (魏收),喜雨 (魏收),1,scrape_output\raw\北齊\喜雨 (魏收)\喜雨 (魏收)__juan_01.txt,scrape_output\clean\北齊\喜雨 (魏收)\喜雨 (魏收)__juan_01.txt,187,140,0
北齊,886198,大射,大射,大射,1,scrape_output\raw\北齊\大射\大射__juan_01.txt,scrape_output\clean\北齊\大射\大射__juan_01.txt,119,23,0
北齊,143696,大悲经,大悲经,大悲经,1,scrape_output\raw\北齊\大悲经\大悲经__juan_01.txt,scrape_output\clean\北齊\大悲经\大悲经__juan_01.txt,48166,48072,0
北齊,173458,太子監國冬會議,太子監國冬會議,太子監國冬會議,1,scrape_output\raw\北齊\太子監國冬會議\太子監國冬會議__juan_01.txt,scrape_output\clean\北齊\太子監國冬會議\太子監國冬會議__juan_01.txt,392,345,0
北齊,1032590,太尉韓公墓誌,太尉韓公墓誌,太尉韓公墓誌,1,scrape_output\raw\北齊\太尉韓公墓誌\太尉韓公墓誌__juan_01.txt,scrape_output\clean\北齊\太尉韓公墓誌\太尉韓公墓誌__juan_01.txt,287,243,0
北齊,1032369,宫吏之姓與太子同名議,宫吏之姓與太子同名議,宫吏之姓與太子同名議,1,scrape_output\raw\北齊\宫吏之姓與太子同名議\宫吏之姓與太子同名議__juan_01.txt,scrape_output\clean\北齊\宫吏之姓與太子同名議\宫吏之姓與太子同名議__juan_01.txt,302,258,0
北齊,1032389,并州寺碑,并州寺碑,并州寺碑,1,scrape_output\raw\北齊\并州寺碑\并州寺碑__juan_01.txt,scrape_output\clean\北齊\并州寺碑\并州寺碑__juan_01.txt,235,191,0
北齊,176362,庭柏,庭柏,庭柏,1,scrape_output\raw\北齊\庭柏\庭柏__juan_01.txt,scrape_output\clean\北齊\庭柏\庭柏__juan_01.txt,169,124,0
北齊,1032381,廣平王碑,廣平王碑,廣平王碑,1,scrape_output\raw\北齊\廣平王碑\廣平王碑__juan_01.txt,scrape_output\clean\北齊\廣平王碑\廣平王碑__juan_01.txt,474,430,0
北齊,173103,征南將軍和安碑銘,征南將軍和安碑銘,征南將軍和安碑銘,1,scrape_output\raw\北齊\征南將軍和安碑銘\征南將軍和安碑銘__juan_01.txt,scrape_output\clean\北齊\征南將軍和安碑銘\征南將軍和安碑銘__juan_01.txt,2443,2441,0
北齊,176357,後園宴樂,後園宴樂,後園宴樂,1,scrape_output\raw\北齊\後園宴樂\後園宴樂__juan_01.txt,scrape_output\clean\北齊\後園宴樂\後園宴樂__juan_01.txt,187,140,0
北齊,173109,後魏孝靜帝伐元种和等詔,後魏孝靜帝伐元种和等詔,後魏孝靜帝伐元种和等詔,1,scrape_output\raw\北齊\後魏孝靜帝伐元种和等詔\後魏孝靜帝伐元种和等詔__juan_01.txt,scrape_output\clean\北齊\後魏孝靜帝伐元种和等詔\後魏孝靜帝伐元种和等詔__juan_01.txt,566,474,0
北齊,173113,後魏孝靜帝立皇太子大赦詔,後魏孝靜帝立皇太子大赦詔,後魏孝靜帝立皇太子大赦詔,1,scrape_output\raw\北齊\後魏孝靜帝立皇太子大赦詔\後魏孝靜帝立皇太子大赦詔__juan_01.txt,scrape_output\clean\北齊\後魏孝靜帝立皇太子大赦詔\後魏孝靜帝立皇太子大赦詔__juan_01.txt,246,244,0
北齊,173108,後魏節閔帝伐尔朱文暢等詔,後魏節閔帝伐尔朱文暢等詔,後魏節閔帝伐尔朱文暢等詔,1,scrape_output\raw\北齊\後魏節閔帝伐尔朱文暢等詔\後魏節閔帝伐尔朱文暢等詔__juan_01.txt,scrape_output\clean\北齊\後魏節閔帝伐尔朱文暢等詔\後魏節閔帝伐尔朱文暢等詔__juan_01.txt,1010,1005,0
北齊,1021202,從駕經大慈照寺,從駕經大慈照寺,從駕經大慈照寺,1,scrape_output\raw\北齊\從駕經大慈照寺\從駕經大慈照寺__juan_01.txt,scrape_output\clean\北齊\從駕經大慈照寺\從駕經大慈照寺__juan_01.txt,227,183,0
北齊,1032629,應詔甘露詩,應詔甘露詩,應詔甘露詩,1,scrape_output\raw\北齊\應詔甘露詩\應詔甘露詩__juan_01.txt,scrape_output\clean\北齊\應詔甘露詩\應詔甘露詩__juan_01.txt,120,76,0
