category	pageid	work_title	page_title	work_folder	juan_index	raw_path	clean_path	char_count_raw	char_count_clean	is_empty_page
十六國	177121	不思議光菩薩所說經	不思議光菩薩所說經	不思議光菩薩所說經	1	scrape_output\raw\十六國\不思議光菩薩所說經\不思議光菩薩所說經__juan_01.txt	scrape_output\clean\十六國\不思議光菩薩所說經\不思議光菩薩所說經__juan_01.txt	6791	6739	0
十六國	46855	中論 (佛教)	中論 (佛教)/00	中論 (佛教)	1	scrape_output\raw\十六國\中論 (佛教)\中論 (佛教)__juan_01.txt	scrape_output\clean\十六國\中論 (佛教)\中論 (佛教)__juan_01.txt	557	557	0
十六國	46855	中論 (佛教)	中論 (佛教)/01	中論 (佛教)	2	scrape_output\raw\十六國\中論 (佛教)\中論 (佛教)__juan_02.txt	scrape_output\clean\十六國\中論 (佛教)\中論 (佛教)__juan_02.txt	3196	3196	0
十六國	46855	中論 (佛教)	中論 (佛教)/02	中論 (佛教)	3	scrape_output\raw\十六國\中論 (佛教)\中論 (佛教)__juan_03.txt	scrape_output\clean\十六國\中論 (佛教)\中論 (佛教)__juan_03.txt	2554	2554	0
十六國	46855	中論 (佛教)	中論 (佛教)/03	中論 (佛教)	4	scrape_output\raw\十六國\中論 (佛教)\中論 (佛教)__juan_04.txt	scrape_output\clean\十六國\中論 (佛教)\中論 (佛教)__juan_04.txt	799	799	0
十六國	46855	中論 (佛教)	中論 (佛教)/04	中論 (佛教)	5	scrape_output\raw\十六國\中論 (佛教)\中論 (佛教)__juan_05.txt	scrape_output\clean\十六國\中論 (佛教)\中論 (佛教)__juan_05.txt	1266	1266	0
十六國	46855	中論 (佛教)	中論 (佛教)/05	中論 (佛教)	6	scrape_output\raw\十六國\中論 (佛教)\中論 (佛教)__juan_06.txt	scrape_output\clean\十六國\中論 (佛教)\中論 (佛教)__juan_06.txt	1147	1144	0
十六國	46855	中論 (佛教)	中論 (佛教)/06	中論 (佛教)	7	scrape_output\raw\十六國\中論 (佛教)\中論 (佛教)__juan_07.txt	scrape_output\clean\十六國\中論 (佛教)\中論 (佛教)__juan_07.txt	1108	1108	0
十六國	46855	中論 (佛教)	中論 (佛教)/07	中論 (佛教)	8	scrape_output\raw\十六國\中論 (佛教)\中論 (佛教)__juan_08.txt	scrape_output\clean\十六國\中論 (佛教)\中論 (佛教)__juan_08.txt	4837	4837	0
十六國	46855	中論 (佛教)	中論 (佛教)/08	中論 (佛教)	9	scrape_output\raw\十六國\中論 (佛教)\中論 (佛教)__juan_09.txt	scrape_output\clean\十六國\中論 (佛教)\中論 (佛教)__juan_09.txt	1438	1434	0
十六國	46855	中論 (佛教)	中論 (佛教)/09	中論 (佛教)	10	scrape_output\raw\十六國\中論 (佛教)\中論 (佛教)__juan_10.txt	scrape_output\clean\十六國\中論 (佛教)\中論 (佛教)__juan_10.txt	1660	1660	0
