category	pageid	work_title	page_title	work_folder	juan_index	raw_path	clean_path	char_count_raw	char_count_clean	is_empty_page
南梁	164922	七錄序	七錄序	七錄序	1	scrape_output\raw\南梁\七錄序\七錄序__juan_01.txt	scrape_output\clean\南梁\七錄序\七錄序__juan_01.txt	5016	5013	0
南梁	1049574	下方山	下方山	下方山	1	scrape_output\raw\南梁\下方山\下方山__juan_01.txt	scrape_output\clean\南梁\下方山\下方山__juan_01.txt	148	104	0
南梁	1049498	下直出谿邊望答虞丹徒教	下直出谿邊望答虞丹徒教	下直出谿邊望答虞丹徒教	1	scrape_output\raw\南梁\下直出谿邊望答虞丹徒教\下直出谿邊望答虞丹徒教__juan_01.txt	scrape_output\clean\南梁\下直出谿邊望答虞丹徒教\下直出谿邊望答虞丹徒教__juan_01.txt	176	132	0
南梁	1049473	九日侍宴樂游苑	九日侍宴樂游苑	九日侍宴樂游苑	1	scrape_output\raw\南梁\九日侍宴樂游苑\九日侍宴樂游苑__juan_01.txt	scrape_output\clean\南梁\九日侍宴樂游苑\九日侍宴樂游苑__juan_01.txt	262	218	0
南梁	1049506	仰贈從兄興甯寘南	仰贈從兄興甯寘南	仰贈從兄興甯寘南	1	scrape_output\raw\南梁\仰贈從兄興甯寘南\仰贈從兄興甯寘南__juan_01.txt	scrape_output\clean\南梁\仰贈從兄興甯寘南\仰贈從兄興甯寘南__juan_01.txt	232	188	0
南梁	1049512	何記室集	何記室集	何記室集	1	scrape_output\raw\南梁\何記室集\何記室集__juan_01.txt	scrape_output\clean\南梁\何記室集\何記室集__juan_01.txt	12639	12498	0
南梁	887244	侍宴餞陸倕應令	侍宴餞陸倕應令	侍宴餞陸倕應令	1	scrape_output\raw\南梁\侍宴餞陸倕應令\侍宴餞陸倕應令__juan_01.txt	scrape_output\clean\南梁\侍宴餞陸倕應令\侍宴餞陸倕應令__juan_01.txt	133	89	0
南梁	1049576	入東經諸暨縣下浙江作	入東經諸暨縣下浙江作	入東經諸暨縣下浙江作	1	scrape_output\raw\南梁\入東經諸暨縣下浙江作\入東經諸暨縣下浙江作__juan_01.txt	scrape_output\clean\南梁\入東經諸暨縣下浙江作\入東經諸暨縣下浙江作__juan_01.txt	234	190	0
南梁	1049496	入西塞示南府同僚	入西塞示南府同僚	入西塞示南府同僚	1	scrape_output\raw\南梁\入西塞示南府同僚\入西塞示南府同僚__juan_01.txt	scrape_output\clean\南梁\入西塞示南府同僚\入西塞示南府同僚__juan_01.txt	220	176	0
南梁	1049907	入關 (吳均)	入關 (吳均)	入關 (吳均)	1	scrape_output\raw\南梁\入關 (吳均)\入關 (吳均)__juan_01.txt	scrape_output\clean\南梁\入關 (吳均)\入關 (吳均)__juan_01.txt	134	90	0
