category	pageid	work_title	page_title	work_folder	juan_index	raw_path	clean_path	char_count_raw	char_count_clean	is_empty_page
南陳	1051108	䕶軍孫瑒銘	䕶軍孫瑒銘	䕶軍孫瑒銘	1	scrape_output\raw\南陳\䕶軍孫瑒銘\䕶軍孫瑒銘__juan_01.txt	scrape_output\clean\南陳\䕶軍孫瑒銘\䕶軍孫瑒銘__juan_01.txt	167	123	0
南陳	1051012	三婦豔詞十一首	三婦豔詞十一首	三婦豔詞十一首	1	scrape_output\raw\南陳\三婦豔詞十一首\三婦豔詞十一首__juan_01.txt	scrape_output\clean\南陳\三婦豔詞十一首\三婦豔詞十一首__juan_01.txt	542	498	0
南陳	1210455	三彌底部論	三彌底部論/卷001	三彌底部論	1	scrape_output\raw\南陳\三彌底部論\三彌底部論__juan_01.txt	scrape_output\clean\南陳\三彌底部論\三彌底部論__juan_01.txt	5422	5422	0
南陳	1210455	三彌底部論	三彌底部論/卷002	三彌底部論	2	scrape_output\raw\南陳\三彌底部論\三彌底部論__juan_02.txt	scrape_output\clean\南陳\三彌底部論\三彌底部論__juan_02.txt	4948	4946	0
南陳	1210455	三彌底部論	三彌底部論/卷003	三彌底部論	3	scrape_output\raw\南陳\三彌底部論\三彌底部論__juan_03.txt	scrape_output\clean\南陳\三彌底部論\三彌底部論__juan_03.txt	5312	5312	0
南陳	1051068	三洲歌	三洲歌	三洲歌	1	scrape_output\raw\南陳\三洲歌\三洲歌__juan_01.txt	scrape_output\clean\南陳\三洲歌\三洲歌__juan_01.txt	106	62	0
南陳	178847	三無性論	三無性論	三無性論	1	scrape_output\raw\南陳\三無性論\三無性論__juan_01.txt	scrape_output\clean\南陳\三無性論\三無性論__juan_01.txt	18539	18440	0
南陳	1051066	估客樂 (陳叔寶)	估客樂 (陳叔寶)	估客樂 (陳叔寶)	1	scrape_output\raw\南陳\估客樂 (陳叔寶)\估客樂 (陳叔寶)__juan_01.txt	scrape_output\clean\南陳\估客樂 (陳叔寶)\估客樂 (陳叔寶)__juan_01.txt	106	62	0
南陳	178848	佛性論	佛性論	佛性論	1	scrape_output\raw\南陳\佛性論\佛性論__juan_01.txt	scrape_output\clean\南陳\佛性論\佛性論__juan_01.txt	43894	43761	0
南陳	1205105	佛說立世阿毘曇論	佛說立世阿毘曇論/卷001	佛說立世阿毘曇論	1	scrape_output\raw\南陳\佛說立世阿毘曇論\佛說立世阿毘曇論__juan_01.txt	scrape_output\clean\南陳\佛說立世阿毘曇論\佛說立世阿毘曇論__juan_01.txt	8421	8417	0
南陳	1205105	佛說立世阿毘曇論	佛說立世阿毘曇論/卷002	佛說立世阿毘曇論	2	scrape_output\raw\南陳\佛說立世阿毘曇論\佛說立世阿毘曇論__juan_02.txt	scrape_output\clean\南陳\佛說立世阿毘曇論\佛說立世阿毘曇論__juan_02.txt	11805	11787	0
南陳	1205105	佛說立世阿毘曇論	佛說立世阿毘曇論/卷003	佛說立世阿毘曇論	3	scrape_output\raw\南陳\佛說立世阿毘曇論\佛說立世阿毘曇論__juan_03.txt	scrape_output\clean\南陳\佛說立世阿毘曇論\佛說立世阿毘曇論__juan_03.txt	8324	8324	0
南陳	1205105	佛說立世阿毘曇論	佛說立世阿毘曇論/卷004	佛說立世阿毘曇論	4	scrape_output\raw\南陳\佛說立世阿毘曇論\佛說立世阿毘曇論__juan_04.txt	scrape_output\clean\南陳\佛說立世阿毘曇論\佛說立世阿毘曇論__juan_04.txt	5442	5442	0
南陳	1205105	佛說立世阿毘曇論	佛說立世阿毘曇論/卷005	佛說立世阿毘曇論	5	scrape_output\raw\南陳\佛說立世阿毘曇論\佛說立世阿毘曇論__juan_05.txt	scrape_output\clean\南陳\佛說立世阿毘曇論\佛說立世阿毘曇論__juan_05.txt	6514	6514	0
南陳	1205105	佛說立世阿毘曇論	佛說立世阿毘曇論/卷006	佛說立世阿毘曇論	6	scrape_output\raw\南陳\佛說立世阿毘曇論\佛說立世阿毘曇論__juan_06.txt	scrape_output\clean\南陳\佛說立世阿毘曇論\佛說立世阿毘曇論__juan_06.txt	7698	7670	0
南陳	1205105	佛說立世阿毘曇論	佛說立世阿毘曇論/卷007	佛說立世阿毘曇論	7	scrape_output\raw\南陳\佛說立世阿毘曇論\佛說立世阿毘曇論__juan_07.txt	scrape_output\clean\南陳\佛說立世阿毘曇論\佛說立世阿毘曇論__juan_07.txt	7447	7447	0
南陳	1205105	佛說立世阿毘曇論	佛說立世阿毘曇論/卷008	佛說立世阿毘曇論	8	scrape_output\raw\南陳\佛說立世阿毘曇論\佛說立世阿毘曇論__juan_08.txt	scrape_output\clean\南陳\佛說立世阿毘曇論\佛說立世阿毘曇論__juan_08.txt	12477	12444	0
南陳	1205105	佛說立世阿毘曇論	佛說立世阿毘曇論/卷009	佛說立世阿毘曇論	9	scrape_output\raw\南陳\佛說立世阿毘曇論\佛說立世阿毘曇論__juan_09.txt	scrape_output\clean\南陳\佛說立世阿毘曇論\佛說立世阿毘曇論__juan_09.txt	9643	9641	0
南陳	1205105	佛說立世阿毘曇論	佛說立世阿毘曇論/卷010	佛說立世阿毘曇論	10	scrape_output\raw\南陳\佛說立世阿毘曇論\佛說立世阿毘曇論__juan_10.txt	scrape_output\clean\南陳\佛說立世阿毘曇論\佛說立世阿毘曇論__juan_10.txt	7765	7761	0
南陳	877662	佛說解節經	佛說解節經	佛說解節經	1	scrape_output\raw\南陳\佛說解節經\佛說解節經__juan_01.txt	scrape_output\clean\南陳\佛說解節經\佛說解節經__juan_01.txt	5662	5618	0
南陳	1051071	前有一樽酒行 (陳叔寶)	前有一樽酒行 (陳叔寶)	前有一樽酒行 (陳叔寶)	1	scrape_output\raw\南陳\前有一樽酒行 (陳叔寶)\前有一樽酒行 (陳叔寶)__juan_01.txt	scrape_output\clean\南陳\前有一樽酒行 (陳叔寶)\前有一樽酒行 (陳叔寶)__juan_01.txt	106	62	0
南陳	1051058	劉生 (陳叔寶)	劉生 (陳叔寶)	劉生 (陳叔寶)	1	scrape_output\raw\南陳\劉生 (陳叔寶)\劉生 (陳叔寶)__juan_01.txt	scrape_output\clean\南陳\劉生 (陳叔寶)\劉生 (陳叔寶)__juan_01.txt	134	90	0
南陳	1050235	勸農詔 (陳叔寶)	勸農詔 (陳叔寶)	勸農詔 (陳叔寶)	1	scrape_output\raw\南陳\勸農詔 (陳叔寶)\勸農詔 (陳叔寶)__juan_01.txt	scrape_output\clean\南陳\勸農詔 (陳叔寶)\勸農詔 (陳叔寶)__juan_01.txt	319	275	0
南陳	178718	十八空論	十八空論	十八空論	1	scrape_output\raw\南陳\十八空論\十八空論__juan_01.txt	scrape_output\clean\南陳\十八空論\十八空論__juan_01.txt	10450	10351	0
南陳	1207850	南嶽思大禪師立誓願文	南嶽思大禪師立誓願文	南嶽思大禪師立誓願文	1	scrape_output\raw\南陳\南嶽思大禪師立誓願文\南嶽思大禪師立誓願文__juan_01.txt	scrape_output\clean\南陳\南嶽思大禪師立誓願文\南嶽思大禪師立誓願文__juan_01.txt	8801	8709	0
南陳	1049943	即位詔 (陳後主)	即位詔 (陳後主)	即位詔 (陳後主)	1	scrape_output\raw\南陳\即位詔 (陳後主)\即位詔 (陳後主)__juan_01.txt	scrape_output\clean\南陳\即位詔 (陳後主)\即位詔 (陳後主)__juan_01.txt	200	156	0
南陳	1051098	原伯固諸子詔	原伯固諸子詔	原伯固諸子詔	1	scrape_output\raw\南陳\原伯固諸子詔\原伯固諸子詔__juan_01.txt	scrape_output\clean\南陳\原伯固諸子詔\原伯固諸子詔__juan_01.txt	138	94	0
南陳	1051081	古曲 (陳叔寶)	古曲 (陳叔寶)	古曲 (陳叔寶)	1	scrape_output\raw\南陳\古曲 (陳叔寶)\古曲 (陳叔寶)__juan_01.txt	scrape_output\clean\南陳\古曲 (陳叔寶)\古曲 (陳叔寶)__juan_01.txt	128	84	0
南陳	1210404	四諦論	四諦論/卷001	四諦論	1	scrape_output\raw\南陳\四諦論\四諦論__juan_01.txt	scrape_output\clean\南陳\四諦論\四諦論__juan_01.txt	13481	13474	0
南陳	1210404	四諦論	四諦論/卷002	四諦論	2	scrape_output\raw\南陳\四諦論\四諦論__juan_02.txt	scrape_output\clean\南陳\四諦論\四諦論__juan_02.txt	9608	9608	0
南陳	1210404	四諦論	四諦論/卷003	四諦論	3	scrape_output\raw\南陳\四諦論\四諦論__juan_03.txt	scrape_output\clean\南陳\四諦論\四諦論__juan_03.txt	5072	4940	0
南陳	1210404	四諦論	四諦論/卷004	四諦論	4	scrape_output\raw\南陳\四諦論\四諦論__juan_04.txt	scrape_output\clean\南陳\四諦論\四諦論__juan_04.txt	12058	12058	0
南陳	1051102	報謝貞勑	報謝貞勑	報謝貞勑	1	scrape_output\raw\南陳\報謝貞勑\報謝貞勑__juan_01.txt	scrape_output\clean\南陳\報謝貞勑\報謝貞勑__juan_01.txt	158	114	0
南陳	1049961	夜亭度鴈賦	夜亭度鴈賦	夜亭度鴈賦	1	scrape_output\raw\南陳\夜亭度鴈賦\夜亭度鴈賦__juan_01.txt	scrape_output\clean\南陳\夜亭度鴈賦\夜亭度鴈賦__juan_01.txt	223	179	0
南陳	1100725	大乘唯識論	大乘唯識論	大乘唯識論	1	scrape_output\raw\南陳\大乘唯識論\大乘唯識論__juan_01.txt	scrape_output\clean\南陳\大乘唯識論\大乘唯識論__juan_01.txt	6348	6256	0
南陳	1210543	大宗地玄文本論	大宗地玄文本論/卷001	大宗地玄文本論	1	scrape_output\raw\南陳\大宗地玄文本論\大宗地玄文本論__juan_01.txt	scrape_output\clean\南陳\大宗地玄文本論\大宗地玄文本論__juan_01.txt	3605	3605	0
南陳	1210543	大宗地玄文本論	大宗地玄文本論/卷002	大宗地玄文本論	2	scrape_output\raw\南陳\大宗地玄文本論\大宗地玄文本論__juan_02.txt	scrape_output\clean\南陳\大宗地玄文本論\大宗地玄文本論__juan_02.txt	2704	2701	0
南陳	1210543	大宗地玄文本論	大宗地玄文本論/卷003	大宗地玄文本論	3	scrape_output\raw\南陳\大宗地玄文本論\大宗地玄文本論__juan_03.txt	scrape_output\clean\南陳\大宗地玄文本論\大宗地玄文本論__juan_03.txt	1761	1761	0
南陳	1210543	大宗地玄文本論	大宗地玄文本論/卷004	大宗地玄文本論	4	scrape_output\raw\南陳\大宗地玄文本論\大宗地玄文本論__juan_04.txt	scrape_output\clean\南陳\大宗地玄文本論\大宗地玄文本論__juan_04.txt	4580	4556	0
南陳	1210543	大宗地玄文本論	大宗地玄文本論/卷005	大宗地玄文本論	5	scrape_output\raw\南陳\大宗地玄文本論\大宗地玄文本論__juan_05.txt	scrape_output\clean\南陳\大宗地玄文本論\大宗地玄文本論__juan_05.txt	2049	2049	0
南陳	1210543	大宗地玄文本論	大宗地玄文本論/卷006	大宗地玄文本論	6	scrape_output\raw\南陳\大宗地玄文本論\大宗地玄文本論__juan_06.txt	scrape_output\clean\南陳\大宗地玄文本論\大宗地玄文本論__juan_06.txt	3329	3329	0
南陳	1210543	大宗地玄文本論	大宗地玄文本論/卷007	大宗地玄文本論	7	scrape_output\raw\南陳\大宗地玄文本論\大宗地玄文本論__juan_07.txt	scrape_output\clean\南陳\大宗地玄文本論\大宗地玄文本論__juan_07.txt	1510	1510	0
南陳	1210543	大宗地玄文本論	大宗地玄文本論/卷008	大宗地玄文本論	8	scrape_output\raw\南陳\大宗地玄文本論\大宗地玄文本論__juan_08.txt	scrape_output\clean\南陳\大宗地玄文本論\大宗地玄文本論__juan_08.txt	1793	1793	0
南陳	1210543	大宗地玄文本論	大宗地玄文本論/卷009	大宗地玄文本論	9	scrape_output\raw\南陳\大宗地玄文本論\大宗地玄文本論__juan_09.txt	scrape_output\clean\南陳\大宗地玄文本論\大宗地玄文本論__juan_09.txt	703	703	0
南陳	1210543	大宗地玄文本論	大宗地玄文本論/卷010	大宗地玄文本論	10	scrape_output\raw\南陳\大宗地玄文本論\大宗地玄文本論__juan_10.txt	scrape_output\clean\南陳\大宗地玄文本論\大宗地玄文本論__juan_10.txt	1691	1595	0
南陳	1210543	大宗地玄文本論	大宗地玄文本論/卷011	大宗地玄文本論	11	scrape_output\raw\南陳\大宗地玄文本論\大宗地玄文本論__juan_11.txt	scrape_output\clean\南陳\大宗地玄文本論\大宗地玄文本論__juan_11.txt	749	719	0
南陳	1210543	大宗地玄文本論	大宗地玄文本論/卷012	大宗地玄文本論	12	scrape_output\raw\南陳\大宗地玄文本論\大宗地玄文本論__juan_12.txt	scrape_output\clean\南陳\大宗地玄文本論\大宗地玄文本論__juan_12.txt	938	935	0
南陳	1210543	大宗地玄文本論	大宗地玄文本論/卷013	大宗地玄文本論	13	scrape_output\raw\南陳\大宗地玄文本論\大宗地玄文本論__juan_13.txt	scrape_output\clean\南陳\大宗地玄文本論\大宗地玄文本論__juan_13.txt	923	923	0
南陳	1210543	大宗地玄文本論	大宗地玄文本論/卷014	大宗地玄文本論	14	scrape_output\raw\南陳\大宗地玄文本論\大宗地玄文本論__juan_14.txt	scrape_output\clean\南陳\大宗地玄文本論\大宗地玄文本論__juan_14.txt	1424	1424	0
南陳	1210543	大宗地玄文本論	大宗地玄文本論/卷015	大宗地玄文本論	15	scrape_output\raw\南陳\大宗地玄文本論\大宗地玄文本論__juan_15.txt	scrape_output\clean\南陳\大宗地玄文本論\大宗地玄文本論__juan_15.txt	594	591	0
南陳	1210543	大宗地玄文本論	大宗地玄文本論/卷016	大宗地玄文本論	16	scrape_output\raw\南陳\大宗地玄文本論\大宗地玄文本論__juan_16.txt	scrape_output\clean\南陳\大宗地玄文本論\大宗地玄文本論__juan_16.txt	1465	1465	0
南陳	1210543	大宗地玄文本論	大宗地玄文本論/卷017	大宗地玄文本論	17	scrape_output\raw\南陳\大宗地玄文本論\大宗地玄文本論__juan_17.txt	scrape_output\clean\南陳\大宗地玄文本論\大宗地玄文本論__juan_17.txt	472	472	0
南陳	1210543	大宗地玄文本論	大宗地玄文本論/卷018	大宗地玄文本論	18	scrape_output\raw\南陳\大宗地玄文本論\大宗地玄文本論__juan_18.txt	scrape_output\clean\南陳\大宗地玄文本論\大宗地玄文本論__juan_18.txt	822	822	0
南陳	1210543	大宗地玄文本論	大宗地玄文本論/卷019	大宗地玄文本論	19	scrape_output\raw\南陳\大宗地玄文本論\大宗地玄文本論__juan_19.txt	scrape_output\clean\南陳\大宗地玄文本論\大宗地玄文本論__juan_19.txt	2497	2497	0
