category	pageid	work_title	page_title	work_folder	juan_index	raw_path	clean_path	char_count_raw	char_count_clean	is_empty_page
南齊	1046088	七夕賦 (謝朓)	七夕賦 (謝朓)	七夕賦 (謝朓)	1	scrape_output\raw\南齊\七夕賦 (謝朓)\七夕賦 (謝朓)__juan_01.txt	scrape_output\clean\南齊\七夕賦 (謝朓)\七夕賦 (謝朓)__juan_01.txt	478	434	0
南齊	1047181	三日侍宴曲水代人應詔	三日侍宴曲水代人應詔	三日侍宴曲水代人應詔	1	scrape_output\raw\南齊\三日侍宴曲水代人應詔\三日侍宴曲水代人應詔__juan_01.txt	scrape_output\clean\南齊\三日侍宴曲水代人應詔\三日侍宴曲水代人應詔__juan_01.txt	510	466	0
南齊	1047179	三日侍華光殿曲水宴代人應詔	三日侍華光殿曲水宴代人應詔	三日侍華光殿曲水宴代人應詔	1	scrape_output\raw\南齊\三日侍華光殿曲水宴代人應詔\三日侍華光殿曲水宴代人應詔__juan_01.txt	scrape_output\clean\南齊\三日侍華光殿曲水宴代人應詔\三日侍華光殿曲水宴代人應詔__juan_01.txt	558	514	0
南齊	177967	上和虜表	上和虜表	上和虜表	1	scrape_output\raw\南齊\上和虜表\上和虜表__juan_01.txt	scrape_output\clean\南齊\上和虜表\上和虜表__juan_01.txt	1241	1197	0
南齊	177966	上新定律注表	上新定律注表	上新定律注表	1	scrape_output\raw\南齊\上新定律注表\上新定律注表__juan_01.txt	scrape_output\clean\南齊\上新定律注表\上新定律注表__juan_01.txt	984	939	0
南齊	143324	之宣城出新林浦向板橋	之宣城出新林浦向板橋	之宣城出新林浦向板橋	1	scrape_output\raw\南齊\之宣城出新林浦向板橋\之宣城出新林浦向板橋__juan_01.txt	scrape_output\clean\南齊\之宣城出新林浦向板橋\之宣城出新林浦向板橋__juan_01.txt	156	112	0
南齊	1047255	京路夜發	京路夜發	京路夜發	1	scrape_output\raw\南齊\京路夜發\京路夜發__juan_01.txt	scrape_output\clean\南齊\京路夜發\京路夜發__juan_01.txt	176	132	0
南齊	1047253	休沐重還丹陽道中	休沐重還丹陽道中	休沐重還丹陽道中	1	scrape_output\raw\南齊\休沐重還丹陽道中\休沐重還丹陽道中__juan_01.txt	scrape_output\clean\南齊\休沐重還丹陽道中\休沐重還丹陽道中__juan_01.txt	232	188	0
南齊	878303	佛說未曾有因緣經	佛說未曾有因緣經/卷01	佛說未曾有因緣經	1	scrape_output\raw\南齊\佛說未曾有因緣經\佛說未曾有因緣經__juan_01.txt	scrape_output\clean\南齊\佛說未曾有因緣經\佛說未曾有因緣經__juan_01.txt	10524	10522	0
南齊	878303	佛說未曾有因緣經	佛說未曾有因緣經/卷02	佛說未曾有因緣經	2	scrape_output\raw\南齊\佛說未曾有因緣經\佛說未曾有因緣經__juan_02.txt	scrape_output\clean\南齊\佛說未曾有因緣經\佛說未曾有因緣經__juan_02.txt	11838	11832	0
南齊	1047176	侍宴華光殿曲水奉勑為皇太子作	侍宴華光殿曲水奉勑為皇太子作	侍宴華光殿曲水奉勑為皇太子作	1	scrape_output\raw\南齊\侍宴華光殿曲水奉勑為皇太子作\侍宴華光殿曲水奉勑為皇太子作__juan_01.txt	scrape_output\clean\南齊\侍宴華光殿曲水奉勑為皇太子作\侍宴華光殿曲水奉勑為皇太子作__juan_01.txt	510	466	0
南齊	1047432	侍筵西堂落日望鄉	侍筵西堂落日望鄉	侍筵西堂落日望鄉	1	scrape_output\raw\南齊\侍筵西堂落日望鄉\侍筵西堂落日望鄉__juan_01.txt	scrape_output\clean\南齊\侍筵西堂落日望鄉\侍筵西堂落日望鄉__juan_01.txt	221	169	0
南齊	105674	冥祥記	冥祥記	冥祥記	1	scrape_output\raw\南齊\冥祥記\冥祥記__juan_01.txt	scrape_output\clean\南齊\冥祥記\冥祥記__juan_01.txt	45753	45735	0
