category,pageid,work_title,page_title,work_folder,juan_index,raw_path,clean_path,char_count_raw,char_count_clean,is_empty_page
唐朝,127074,請崇國學疏,請崇國學疏,請崇國學疏,1,scrape_output\raw\唐朝\請崇國學疏\請崇國學疏__juan_01.txt,scrape_output\clean\唐朝\請崇國學疏\請崇國學疏__juan_01.txt,890,846,0
唐朝,121701,請崇學校疏,請崇學校疏,請崇學校疏,1,scrape_output\raw\唐朝\請崇學校疏\請崇學校疏__juan_01.txt,scrape_output\clean\唐朝\請崇學校疏\請崇學校疏__juan_01.txt,792,748,0
唐朝,134463,請州縣官先考試貢舉人表,請州縣官先考試貢舉人表,請州縣官先考試貢舉人表,1,scrape_output\raw\唐朝\請州縣官先考試貢舉人表\請州縣官先考試貢舉人表__juan_01.txt,scrape_output\clean\唐朝\請州縣官先考試貢舉人表\請州縣官先考試貢舉人表__juan_01.txt,305,261,0
唐朝,119483,請差官紀錄時政疏,請差官紀錄時政疏,請差官紀錄時政疏,1,scrape_output\raw\唐朝\請差官紀錄時政疏\請差官紀錄時政疏__juan_01.txt,scrape_output\clean\唐朝\請差官紀錄時政疏\請差官紀錄時政疏__juan_01.txt,181,137,0
唐朝,126634,請市蕃馬狀,請市蕃馬狀,請市蕃馬狀,1,scrape_output\raw\唐朝\請市蕃馬狀\請市蕃馬狀__juan_01.txt,scrape_output\clean\唐朝\請市蕃馬狀\請市蕃馬狀__juan_01.txt,256,212,0
唐朝,128548,請常參官拜掃給公券奏（開成四年二月門下省）,請常參官拜掃給公券奏（開成四年二月門下省）,請常參官拜掃給公券奏（開成四年二月門下省）,1,scrape_output\raw\唐朝\請常參官拜掃給公券奏（開成四年二月門下省）\請常參官拜掃給公券奏（開成四年二月門下省）__juan_01.txt,scrape_output\clean\唐朝\請常參官拜掃給公券奏（開成四年二月門下省）\請常參官拜掃給公券奏（開成四年二月門下省）__juan_01.txt,218,174,0
唐朝,121619,請廢佛法表,請廢佛法表,請廢佛法表,1,scrape_output\raw\唐朝\請廢佛法表\請廢佛法表__juan_01.txt,scrape_output\clean\唐朝\請廢佛法表\請廢佛法表__juan_01.txt,2283,2237,0
唐朝,115851,請廢在官諸司捉錢表,請廢在官諸司捉錢表,請廢在官諸司捉錢表,1,scrape_output\raw\唐朝\請廢在官諸司捉錢表\請廢在官諸司捉錢表__juan_01.txt,scrape_output\clean\唐朝\請廢在官諸司捉錢表\請廢在官諸司捉錢表__juan_01.txt,629,585,0
唐朝,116058,請廢宿州奏,請廢宿州奏,請廢宿州奏,1,scrape_output\raw\唐朝\請廢宿州奏\請廢宿州奏__juan_01.txt,scrape_output\clean\唐朝\請廢宿州奏\請廢宿州奏__juan_01.txt,159,115,0
唐朝,124509,請廢德明等四廟議,請廢德明等四廟議,請廢德明等四廟議,1,scrape_output\raw\唐朝\請廢德明等四廟議\請廢德明等四廟議__juan_01.txt,scrape_output\clean\唐朝\請廢德明等四廟議\請廢德明等四廟議__juan_01.txt,129,85,0
唐朝,118916,請廢白合從素服議,請廢白合從素服議,請廢白合從素服議,1,scrape_output\raw\唐朝\請廢白合從素服議\請廢白合從素服議__juan_01.txt,scrape_output\clean\唐朝\請廢白合從素服議\請廢白合從素服議__juan_01.txt,148,104,0
唐朝,118913,請延英進對於本日卯前進狀奏,請延英進對於本日卯前進狀奏,請延英進對於本日卯前進狀奏,1,scrape_output\raw\唐朝\請延英進對於本日卯前進狀奏\請延英進對於本日卯前進狀奏__juan_01.txt,scrape_output\clean\唐朝\請延英進對於本日卯前進狀奏\請延英進對於本日卯前進狀奏__juan_01.txt,284,240,0
唐朝,133901,請建宗廟表（天福二年正月）,請建宗廟表（天福二年正月）,請建宗廟表（天福二年正月）,1,scrape_output\raw\唐朝\請建宗廟表（天福二年正月）\請建宗廟表（天福二年正月）__juan_01.txt,scrape_output\clean\唐朝\請建宗廟表（天福二年正月）\請建宗廟表（天福二年正月）__juan_01.txt,223,179,0
唐朝,129382,請建州縣表,請建州縣表,請建州縣表,1,scrape_output\raw\唐朝\請建州縣表\請建州縣表__juan_01.txt,scrape_output\clean\唐朝\請建州縣表\請建州縣表__juan_01.txt,543,499,0
唐朝,121798,請建慶昌宮奏（天福四年二月中書門下）,請建慶昌宮奏（天福四年二月中書門下）,請建慶昌宮奏（天福四年二月中書門下）,1,scrape_output\raw\唐朝\請建慶昌宮奏（天福四年二月中書門下）\請建慶昌宮奏（天福四年二月中書門下）__juan_01.txt,scrape_output\clean\唐朝\請建慶昌宮奏（天福四年二月中書門下）\請建慶昌宮奏（天福四年二月中書門下）__juan_01.txt,156,112,0
唐朝,129436,請建皇嗣疏,請建皇嗣疏,請建皇嗣疏,1,scrape_output\raw\唐朝\請建皇嗣疏\請建皇嗣疏__juan_01.txt,scrape_output\clean\唐朝\請建皇嗣疏\請建皇嗣疏__juan_01.txt,171,127,0
唐朝,122345,請建義倉疏,請建義倉疏,請建義倉疏,1,scrape_output\raw\唐朝\請建義倉疏\請建義倉疏__juan_01.txt,scrape_output\clean\唐朝\請建義倉疏\請建義倉疏__juan_01.txt,293,249,0
唐朝,119128,請建高祖別廟奏,請建高祖別廟奏,請建高祖別廟奏,1,scrape_output\raw\唐朝\請建高祖別廟奏\請建高祖別廟奏__juan_01.txt,scrape_output\clean\唐朝\請建高祖別廟奏\請建高祖別廟奏__juan_01.txt,142,98,0
唐朝,124122,請建龍冊寺奏,請建龍冊寺奏,請建龍冊寺奏,1,scrape_output\raw\唐朝\請建龍冊寺奏\請建龍冊寺奏__juan_01.txt,scrape_output\clean\唐朝\請建龍冊寺奏\請建龍冊寺奏__juan_01.txt,133,89,0
唐朝,121435,請待制官於延英侯對疏,請待制官於延英侯對疏,請待制官於延英侯對疏,1,scrape_output\raw\唐朝\請待制官於延英侯對疏\請待制官於延英侯對疏__juan_01.txt,scrape_output\clean\唐朝\請待制官於延英侯對疏\請待制官於延英侯對疏__juan_01.txt,223,179,0
唐朝,131357,請御史大夫中丞在尚書左丞上奏,請御史大夫中丞在尚書左丞上奏,請御史大夫中丞在尚書左丞上奏,1,scrape_output\raw\唐朝\請御史大夫中丞在尚書左丞上奏\請御史大夫中丞在尚書左丞上奏__juan_01.txt,scrape_output\clean\唐朝\請御史大夫中丞在尚書左丞上奏\請御史大夫中丞在尚書左丞上奏__juan_01.txt,270,226,0
