category,pageid,work_title,page_title,work_folder,juan_index,raw_path,clean_path,char_count_raw,char_count_clean,is_empty_page
戰國,166838,七諫,七諫,七諫,1,scrape_output\raw\戰國\七諫\七諫__juan_01.txt,scrape_output\clean\戰國\七諫\七諫__juan_01.txt,11,10,0
戰國,1202807,上海博物館藏戰國楚竹書,上海博物館藏戰國楚竹書,上海博物館藏戰國楚竹書,1,scrape_output\raw\戰國\上海博物館藏戰國楚竹書\上海博物館藏戰國楚竹書__juan_01.txt,scrape_output\clean\戰國\上海博物館藏戰國楚竹書\上海博物館藏戰國楚竹書__juan_01.txt,413,407,0
戰國,164912,中山王器銘文,中山王器銘文,中山王器銘文,1,scrape_output\raw\戰國\中山王器銘文\中山王器銘文__juan_01.txt,scrape_output\clean\戰國\中山王器銘文\中山王器銘文__juan_01.txt,1483,1385,0
戰國,234,九歌,九歌,九歌,1,scrape_output\raw\戰國\九歌\九歌__juan_01.txt,scrape_output\clean\戰國\九歌\九歌__juan_01.txt,2195,2103,0
戰國,25960,九辯,九辯,九辯,1,scrape_output\raw\戰國\九辯\九辯__juan_01.txt,scrape_output\clean\戰國\九辯\九辯__juan_01.txt,2124,2032,0
戰國,54755,公孫龍子,公孫龍子/1,公孫龍子,1,scrape_output\raw\戰國\公孫龍子\公孫龍子__juan_01.txt,scrape_output\clean\戰國\公孫龍子\公孫龍子__juan_01.txt,1927,1829,0
戰國,54755,公孫龍子,公孫龍子/2,公孫龍子,2,scrape_output\raw\戰國\公孫龍子\公孫龍子__juan_02.txt,scrape_output\clean\戰國\公孫龍子\公孫龍子__juan_02.txt,2197,2099,0
戰國,54755,公孫龍子,公孫龍子/3,公孫龍子,3,scrape_output\raw\戰國\公孫龍子\公孫龍子__juan_03.txt,scrape_output\clean\戰國\公孫龍子\公孫龍子__juan_03.txt,1242,1148,0
戰國,54755,公孫龍子,公孫龍子/4,公孫龍子,4,scrape_output\raw\戰國\公孫龍子\公孫龍子__juan_04.txt,scrape_output\clean\戰國\公孫龍子\公孫龍子__juan_04.txt,2710,2613,0
戰國,54755,公孫龍子,公孫龍子/5,公孫龍子,5,scrape_output\raw\戰國\公孫龍子\公孫龍子__juan_05.txt,scrape_output\clean\戰國\公孫龍子\公孫龍子__juan_05.txt,2741,2646,0
戰國,54755,公孫龍子,公孫龍子/6,公孫龍子,6,scrape_output\raw\戰國\公孫龍子\公孫龍子__juan_06.txt,scrape_output\clean\戰國\公孫龍子\公孫龍子__juan_06.txt,1289,1193,0
戰國,12108,列子,列子/湯問篇,列子,1,scrape_output\raw\戰國\列子\列子__juan_01.txt,scrape_output\clean\戰國\列子\列子__juan_01.txt,5933,5933,0
戰國,240,卜居 (屈原),卜居 (屈原),卜居 (屈原),1,scrape_output\raw\戰國\卜居 (屈原)\卜居 (屈原)__juan_01.txt,scrape_output\clean\戰國\卜居 (屈原)\卜居 (屈原)__juan_01.txt,483,391,0
戰國,1048857,古本竹书纪年今存原文,古本竹书纪年今存原文/合輯,古本竹书纪年今存原文,1,scrape_output\raw\戰國\古本竹书纪年今存原文\古本竹书纪年今存原文__juan_01.txt,scrape_output\clean\戰國\古本竹书纪年今存原文\古本竹书纪年今存原文__juan_01.txt,0,0,1
戰國,7686,吳子,吳子,吳子,1,scrape_output\raw\戰國\吳子\吳子__juan_01.txt,scrape_output\clean\戰國\吳子\吳子__juan_01.txt,6149,6057,0
戰國,35754,呂氏春秋,呂氏春秋/卷一,呂氏春秋,1,scrape_output\raw\戰國\呂氏春秋\呂氏春秋__juan_01.txt,scrape_output\clean\戰國\呂氏春秋\呂氏春秋__juan_01.txt,15,14,0
戰國,35754,呂氏春秋,呂氏春秋/卷二,呂氏春秋,2,scrape_output\raw\戰國\呂氏春秋\呂氏春秋__juan_02.txt,scrape_output\clean\戰國\呂氏春秋\呂氏春秋__juan_02.txt,15,14,0
戰國,35754,呂氏春秋,呂氏春秋/卷三,呂氏春秋,3,scrape_output\raw\戰國\呂氏春秋\呂氏春秋__juan_03.txt,scrape_output\clean\戰國\呂氏春秋\呂氏春秋__juan_03.txt,3549,3549,0
戰國,35754,呂氏春秋,呂氏春秋/卷四,呂氏春秋,4,scrape_output\raw\戰國\呂氏春秋\呂氏春秋__juan_04.txt,scrape_output\clean\戰國\呂氏春秋\呂氏春秋__juan_04.txt,3485,3485,0
戰國,35754,呂氏春秋,呂氏春秋/卷五,呂氏春秋,5,scrape_output\raw\戰國\呂氏春秋\呂氏春秋__juan_05.txt,scrape_output\clean\戰國\呂氏春秋\呂氏春秋__juan_05.txt,3645,3645,0
戰國,35754,呂氏春秋,呂氏春秋/卷六,呂氏春秋,6,scrape_output\raw\戰國\呂氏春秋\呂氏春秋__juan_06.txt,scrape_output\clean\戰國\呂氏春秋\呂氏春秋__juan_06.txt,3642,3641,0
戰國,35754,呂氏春秋,呂氏春秋/卷七,呂氏春秋,7,scrape_output\raw\戰國\呂氏春秋\呂氏春秋__juan_07.txt,scrape_output\clean\戰國\呂氏春秋\呂氏春秋__juan_07.txt,3262,3262,0
戰國,35754,呂氏春秋,呂氏春秋/卷八,呂氏春秋,8,scrape_output\raw\戰國\呂氏春秋\呂氏春秋__juan_08.txt,scrape_output\clean\戰國\呂氏春秋\呂氏春秋__juan_08.txt,3323,3321,0
戰國,35754,呂氏春秋,呂氏春秋/卷九,呂氏春秋,9,scrape_output\raw\戰國\呂氏春秋\呂氏春秋__juan_09.txt,scrape_output\clean\戰國\呂氏春秋\呂氏春秋__juan_09.txt,3349,3277,0
戰國,35754,呂氏春秋,呂氏春秋/卷十,呂氏春秋,10,scrape_output\raw\戰國\呂氏春秋\呂氏春秋__juan_10.txt,scrape_output\clean\戰國\呂氏春秋\呂氏春秋__juan_10.txt,3558,3502,0
戰國,35754,呂氏春秋,呂氏春秋/卷十一,呂氏春秋,11,scrape_output\raw\戰國\呂氏春秋\呂氏春秋__juan_11.txt,scrape_output\clean\戰國\呂氏春秋\呂氏春秋__juan_11.txt,3627,3520,0
戰國,35754,呂氏春秋,呂氏春秋/卷十二,呂氏春秋,12,scrape_output\raw\戰國\呂氏春秋\呂氏春秋__juan_12.txt,scrape_output\clean\戰國\呂氏春秋\呂氏春秋__juan_12.txt,3501,3421,0
戰國,35754,呂氏春秋,呂氏春秋/卷十三,呂氏春秋,13,scrape_output\raw\戰國\呂氏春秋\呂氏春秋__juan_13.txt,scrape_output\clean\戰國\呂氏春秋\呂氏春秋__juan_13.txt,4680,4630,0
戰國,35754,呂氏春秋,呂氏春秋/卷十四,呂氏春秋,14,scrape_output\raw\戰國\呂氏春秋\呂氏春秋__juan_14.txt,scrape_output\clean\戰國\呂氏春秋\呂氏春秋__juan_14.txt,7835,7711,0
戰國,35754,呂氏春秋,呂氏春秋/卷十五,呂氏春秋,15,scrape_output\raw\戰國\呂氏春秋\呂氏春秋__juan_15.txt,scrape_output\clean\戰國\呂氏春秋\呂氏春秋__juan_15.txt,7899,7689,0
戰國,35754,呂氏春秋,呂氏春秋/卷十六,呂氏春秋,16,scrape_output\raw\戰國\呂氏春秋\呂氏春秋__juan_16.txt,scrape_output\clean\戰國\呂氏春秋\呂氏春秋__juan_16.txt,7609,7475,0
戰國,35754,呂氏春秋,呂氏春秋/卷十七,呂氏春秋,17,scrape_output\raw\戰國\呂氏春秋\呂氏春秋__juan_17.txt,scrape_output\clean\戰國\呂氏春秋\呂氏春秋__juan_17.txt,7135,7119,0
戰國,35754,呂氏春秋,呂氏春秋/卷十八,呂氏春秋,18,scrape_output\raw\戰國\呂氏春秋\呂氏春秋__juan_18.txt,scrape_output\clean\戰國\呂氏春秋\呂氏春秋__juan_18.txt,7948,7932,0
