category	pageid	work_title	page_title	work_folder	juan_index	raw_path	clean_path	char_count_raw	char_count_clean	is_empty_page
春秋	1212871	伍子胥兵法	伍子胥兵法	伍子胥兵法	1	scrape_output\raw\春秋\伍子胥兵法\伍子胥兵法__juan_01.txt	scrape_output\clean\春秋\伍子胥兵法\伍子胥兵法__juan_01.txt	3307	3267	0
春秋	169326	十一家注孫子	十一家注孫子/卷上	十一家注孫子	1	scrape_output\raw\春秋\十一家注孫子\十一家注孫子__juan_01.txt	scrape_output\clean\春秋\十一家注孫子\十一家注孫子__juan_01.txt	43160	42348	0
春秋	169326	十一家注孫子	十一家注孫子/卷中	十一家注孫子	2	scrape_output\raw\春秋\十一家注孫子\十一家注孫子__juan_02.txt	scrape_output\clean\春秋\十一家注孫子\十一家注孫子__juan_02.txt	66356	65131	0
春秋	169326	十一家注孫子	十一家注孫子/卷下	十一家注孫子	3	scrape_output\raw\春秋\十一家注孫子\十一家注孫子__juan_03.txt	scrape_output\clean\春秋\十一家注孫子\十一家注孫子__juan_03.txt	45307	44399	0
春秋	169326	十一家注孫子	十一家注孫子/九地篇	十一家注孫子	4	scrape_output\raw\春秋\十一家注孫子\十一家注孫子__juan_04.txt	scrape_output\clean\春秋\十一家注孫子\十一家注孫子__juan_04.txt	21838	21328	0
春秋	169326	十一家注孫子	十一家注孫子/九變篇	十一家注孫子	5	scrape_output\raw\春秋\十一家注孫子\十一家注孫子__juan_05.txt	scrape_output\clean\春秋\十一家注孫子\十一家注孫子__juan_05.txt	8060	7813	0
春秋	169326	十一家注孫子	十一家注孫子/作戰篇	十一家注孫子	6	scrape_output\raw\春秋\十一家注孫子\十一家注孫子__juan_06.txt	scrape_output\clean\春秋\十一家注孫子\十一家注孫子__juan_06.txt	8081	7858	0
春秋	169326	十一家注孫子	十一家注孫子/勢篇	十一家注孫子	7	scrape_output\raw\春秋\十一家注孫子\十一家注孫子__juan_07.txt	scrape_output\clean\春秋\十一家注孫子\十一家注孫子__juan_07.txt	10800	10558	0
春秋	169326	十一家注孫子	十一家注孫子/地形篇	十一家注孫子	8	scrape_output\raw\春秋\十一家注孫子\十一家注孫子__juan_08.txt	scrape_output\clean\春秋\十一家注孫子\十一家注孫子__juan_08.txt	8596	8346	0
春秋	169326	十一家注孫子	十一家注孫子/形篇	十一家注孫子	9	scrape_output\raw\春秋\十一家注孫子\十一家注孫子__juan_09.txt	scrape_output\clean\春秋\十一家注孫子\十一家注孫子__juan_09.txt	7218	6980	0
春秋	169326	十一家注孫子	十一家注孫子/火攻篇	十一家注孫子	10	scrape_output\raw\春秋\十一家注孫子\十一家注孫子__juan_10.txt	scrape_output\clean\春秋\十一家注孫子\十一家注孫子__juan_10.txt	5553	5348	0
春秋	169326	十一家注孫子	十一家注孫子/用間篇	十一家注孫子	11	scrape_output\raw\春秋\十一家注孫子\十一家注孫子__juan_11.txt	scrape_output\clean\春秋\十一家注孫子\十一家注孫子__juan_11.txt	9570	9351	0
春秋	169326	十一家注孫子	十一家注孫子/虛實篇	十一家注孫子	12	scrape_output\raw\春秋\十一家注孫子\十一家注孫子__juan_12.txt	scrape_output\clean\春秋\十一家注孫子\十一家注孫子__juan_12.txt	14860	14532	0
春秋	169326	十一家注孫子	十一家注孫子/行軍篇	十一家注孫子	13	scrape_output\raw\春秋\十一家注孫子\十一家注孫子__juan_13.txt	scrape_output\clean\春秋\十一家注孫子\十一家注孫子__juan_13.txt	13836	13431	0
春秋	169326	十一家注孫子	十一家注孫子/計篇	十一家注孫子	14	scrape_output\raw\春秋\十一家注孫子\十一家注孫子__juan_14.txt	scrape_output\clean\春秋\十一家注孫子\十一家注孫子__juan_14.txt	14085	13786	0
春秋	169326	十一家注孫子	十一家注孫子/謀攻篇	十一家注孫子	15	scrape_output\raw\春秋\十一家注孫子\十一家注孫子__juan_15.txt	scrape_output\clean\春秋\十一家注孫子\十一家注孫子__juan_15.txt	14028	13700	0
春秋	169326	十一家注孫子	十一家注孫子/軍爭篇	十一家注孫子	16	scrape_output\raw\春秋\十一家注孫子\十一家注孫子__juan_16.txt	scrape_output\clean\春秋\十一家注孫子\十一家注孫子__juan_16.txt	19136	18765	0
春秋	31	司馬法	司馬法	司馬法	1	scrape_output\raw\春秋\司馬法\司馬法__juan_01.txt	scrape_output\clean\春秋\司馬法\司馬法__juan_01.txt	4581	4481	0
春秋	11670	周禮	周禮	周禮	1	scrape_output\raw\春秋\周禮\周禮__juan_01.txt	scrape_output\clean\春秋\周禮\周禮__juan_01.txt	151	59	0
春秋	10326	國語	國語/卷01	國語	1	scrape_output\raw\春秋\國語\國語__juan_01.txt	scrape_output\clean\春秋\國語\國語__juan_01.txt	17036	16483	0
春秋	10326	國語	國語/卷02	國語	2	scrape_output\raw\春秋\國語\國語__juan_02.txt	scrape_output\clean\春秋\國語\國語__juan_02.txt	16702	16183	0
春秋	10326	國語	國語/卷03	國語	3	scrape_output\raw\春秋\國語\國語__juan_03.txt	scrape_output\clean\春秋\國語\國語__juan_03.txt	25413	24795	0
春秋	10326	國語	國語/卷04	國語	4	scrape_output\raw\春秋\國語\國語__juan_04.txt	scrape_output\clean\春秋\國語\國語__juan_04.txt	13157	12753	0
春秋	10326	國語	國語/卷05	國語	5	scrape_output\raw\春秋\國語\國語__juan_05.txt	scrape_output\clean\春秋\國語\國語__juan_05.txt	13880	13520	0
春秋	10326	國語	國語/卷06	國語	6	scrape_output\raw\春秋\國語\國語__juan_06.txt	scrape_output\clean\春秋\國語\國語__juan_06.txt	11687	11385	0
春秋	10326	國語	國語/卷07	國語	7	scrape_output\raw\春秋\國語\國語__juan_07.txt	scrape_output\clean\春秋\國語\國語__juan_07.txt	12255	11821	0
春秋	10326	國語	國語/卷08	國語	8	scrape_output\raw\春秋\國語\國語__juan_08.txt	scrape_output\clean\春秋\國語\國語__juan_08.txt	10718	10299	0
春秋	10326	國語	國語/卷09	國語	9	scrape_output\raw\春秋\國語\國語__juan_09.txt	scrape_output\clean\春秋\國語\國語__juan_09.txt	7561	7265	0
春秋	10326	國語	國語/卷10	國語	10	scrape_output\raw\春秋\國語\國語__juan_10.txt	scrape_output\clean\春秋\國語\國語__juan_10.txt	21037	20320	0
春秋	10326	國語	國語/卷11	國語	11	scrape_output\raw\春秋\國語\國語__juan_11.txt	scrape_output\clean\春秋\國語\國語__juan_11.txt	5332	5134	0
春秋	10326	國語	國語/卷12	國語	12	scrape_output\raw\春秋\國語\國語__juan_12.txt	scrape_output\clean\春秋\國語\國語__juan_12.txt	6750	6506	0
春秋	10326	國語	國語/卷13	國語	13	scrape_output\raw\春秋\國語\國語__juan_13.txt	scrape_output\clean\春秋\國語\國語__juan_13.txt	6171	5967	0
春秋	10326	國語	國語/卷14	國語	14	scrape_output\raw\春秋\國語\國語__juan_14.txt	scrape_output\clean\春秋\國語\國語__juan_14.txt	11955	11418	0
春秋	10326	國語	國語/卷15	國語	15	scrape_output\raw\春秋\國語\國語__juan_15.txt	scrape_output\clean\春秋\國語\國語__juan_15.txt	8467	8164	0
春秋	10326	國語	國語/卷16	國語	16	scrape_output\raw\春秋\國語\國語__juan_16.txt	scrape_output\clean\春秋\國語\國語__juan_16.txt	7783	7594	0
春秋	10326	國語	國語/卷17	國語	17	scrape_output\raw\春秋\國語\國語__juan_17.txt	scrape_output\clean\春秋\國語\國語__juan_17.txt	11754	11326	0
春秋	10326	國語	國語/卷18	國語	18	scrape_output\raw\春秋\國語\國語__juan_18.txt	scrape_output\clean\春秋\國語\國語__juan_18.txt	11350	10926	0
春秋	10326	國語	國語/卷19	國語	19	scrape_output\raw\春秋\國語\國語__juan_19.txt	scrape_output\clean\春秋\國語\國語__juan_19.txt	14178	13650	0
春秋	10326	國語	國語/卷20	國語	20	scrape_output\raw\春秋\國語\國語__juan_20.txt	scrape_output\clean\春秋\國語\國語__juan_20.txt	3072	2950	0
春秋	10326	國語	國語/卷21	國語	21	scrape_output\raw\春秋\國語\國語__juan_21.txt	scrape_output\clean\春秋\國語\國語__juan_21.txt	7102	6848	0
春秋	62047	大學章句	大學章句	大學章句	1	scrape_output\raw\春秋\大學章句\大學章句__juan_01.txt	scrape_output\clean\春秋\大學章句\大學章句__juan_01.txt	2618	2523	0
春秋	38789	子夏易傳	子夏易傳/卷一	子夏易傳	1	scrape_output\raw\春秋\子夏易傳\子夏易傳__juan_01.txt	scrape_output\clean\春秋\子夏易傳\子夏易傳__juan_01.txt	11742	11729	0
春秋	38789	子夏易傳	子夏易傳/卷二	子夏易傳	2	scrape_output\raw\春秋\子夏易傳\子夏易傳__juan_02.txt	scrape_output\clean\春秋\子夏易傳\子夏易傳__juan_02.txt	8524	8521	0
春秋	38789	子夏易傳	子夏易傳/卷三	子夏易傳	3	scrape_output\raw\春秋\子夏易傳\子夏易傳__juan_03.txt	scrape_output\clean\春秋\子夏易傳\子夏易傳__juan_03.txt	8207	8205	0
春秋	38789	子夏易傳	子夏易傳/卷四	子夏易傳	4	scrape_output\raw\春秋\子夏易傳\子夏易傳__juan_04.txt	scrape_output\clean\春秋\子夏易傳\子夏易傳__juan_04.txt	9914	9909	0
春秋	38789	子夏易傳	子夏易傳/卷五	子夏易傳	5	scrape_output\raw\春秋\子夏易傳\子夏易傳__juan_05.txt	scrape_output\clean\春秋\子夏易傳\子夏易傳__juan_05.txt	44546	44460	0
