category,pageid,work_title,page_title,work_folder,juan_index,raw_path,clean_path,char_count_raw,char_count_clean,is_empty_page
晉朝,1090201,三国志（陈寿撰 裴松之注 建阳刊本）,三国志（陈寿撰 裴松之注 建阳刊本）,三国志（陈寿撰 裴松之注 建阳刊本）,1,scrape_output\raw\晉朝\三国志（陈寿撰 裴松之注 建阳刊本）\三国志（陈寿撰 裴松之注 建阳刊本）__juan_01.txt,scrape_output\clean\晉朝\三国志（陈寿撰 裴松之注 建阳刊本）\三国志（陈寿撰 裴松之注 建阳刊本）__juan_01.txt,37,35,0
晉朝,105680,三齊略記,三齊略記,三齊略記,1,scrape_output\raw\晉朝\三齊略記\三齊略記__juan_01.txt,scrape_output\clean\晉朝\三齊略記\三齊略記__juan_01.txt,490,446,0
晉朝,157129,乙巳歲三月為建威參軍使都經錢溪,乙巳歲三月為建威參軍使都經錢溪,乙巳歲三月為建威參軍使都經錢溪,1,scrape_output\raw\晉朝\乙巳歲三月為建威參軍使都經錢溪\乙巳歲三月為建威參軍使都經錢溪__juan_01.txt,scrape_output\clean\晉朝\乙巳歲三月為建威參軍使都經錢溪\乙巳歲三月為建威參軍使都經錢溪__juan_01.txt,202,110,0
晉朝,59612,九日閑居,九日閑居,九日閑居,1,scrape_output\raw\晉朝\九日閑居\九日閑居__juan_01.txt,scrape_output\clean\晉朝\九日閑居\九日閑居__juan_01.txt,216,124,0
晉朝,59520,乞食,乞食,乞食,1,scrape_output\raw\晉朝\乞食\乞食__juan_01.txt,scrape_output\clean\晉朝\乞食\乞食__juan_01.txt,188,96,0
晉朝,345551,五嶽真形序論,五嶽真形序論,五嶽真形序論,1,scrape_output\raw\晉朝\五嶽真形序論\五嶽真形序論__juan_01.txt,scrape_output\clean\晉朝\五嶽真形序論\五嶽真形序論__juan_01.txt,9404,9312,0
晉朝,59599,五月旦作和戴主簿,五月旦作和戴主簿,五月旦作和戴主簿,1,scrape_output\raw\晉朝\五月旦作和戴主簿\五月旦作和戴主簿__juan_01.txt,scrape_output\clean\晉朝\五月旦作和戴主簿\五月旦作和戴主簿__juan_01.txt,202,110,0
晉朝,105662,交州記 (嶺南遺書本),交州記 (嶺南遺書本),交州記 (嶺南遺書本),1,scrape_output\raw\晉朝\交州記 (嶺南遺書本)\交州記 (嶺南遺書本)__juan_01.txt,scrape_output\clean\晉朝\交州記 (嶺南遺書本)\交州記 (嶺南遺書本)__juan_01.txt,6939,6768,0
晉朝,201023,伏日詩,伏日詩,伏日詩,1,scrape_output\raw\晉朝\伏日詩\伏日詩__juan_01.txt,scrape_output\clean\晉朝\伏日詩\伏日詩__juan_01.txt,705,611,0
晉朝,1002061,伯遠帖,伯遠帖,伯遠帖,1,scrape_output\raw\晉朝\伯遠帖\伯遠帖__juan_01.txt,scrape_output\clean\晉朝\伯遠帖\伯遠帖__juan_01.txt,134,90,0
晉朝,176059,佛說摩訶衍寶嚴經,佛說摩訶衍寶嚴經,佛說摩訶衍寶嚴經,1,scrape_output\raw\晉朝\佛說摩訶衍寶嚴經\佛說摩訶衍寶嚴經__juan_01.txt,scrape_output\clean\晉朝\佛說摩訶衍寶嚴經\佛說摩訶衍寶嚴經__juan_01.txt,11672,11575,0
晉朝,57280,停雲,停雲,停雲,1,scrape_output\raw\晉朝\停雲\停雲__juan_01.txt,scrape_output\clean\晉朝\停雲\停雲__juan_01.txt,296,204,0
晉朝,61384,傅子,傅子,傅子,1,scrape_output\raw\晉朝\傅子\傅子__juan_01.txt,scrape_output\clean\晉朝\傅子\傅子__juan_01.txt,29410,27930,0
晉朝,871859,全晉文,全晉文/卷一,全晉文,1,scrape_output\raw\晉朝\全晉文\全晉文__juan_01.txt,scrape_output\clean\晉朝\全晉文\全晉文__juan_01.txt,4250,4137,0
晉朝,871859,全晉文,全晉文/卷一百,全晉文,2,scrape_output\raw\晉朝\全晉文\全晉文__juan_02.txt,scrape_output\clean\晉朝\全晉文\全晉文__juan_02.txt,6541,6452,0
晉朝,871859,全晉文,全晉文/卷一百一,全晉文,3,scrape_output\raw\晉朝\全晉文\全晉文__juan_03.txt,scrape_output\clean\晉朝\全晉文\全晉文__juan_03.txt,6867,6786,0
晉朝,871859,全晉文,全晉文/卷一百七,全晉文,4,scrape_output\raw\晉朝\全晉文\全晉文__juan_04.txt,scrape_output\clean\晉朝\全晉文\全晉文__juan_04.txt,7780,7589,0
晉朝,871859,全晉文,全晉文/卷一百三,全晉文,5,scrape_output\raw\晉朝\全晉文\全晉文__juan_05.txt,scrape_output\clean\晉朝\全晉文\全晉文__juan_05.txt,8579,8484,0
