category,pageid,work_title,page_title,work_folder,juan_index,raw_path,clean_path,char_count_raw,char_count_clean,is_empty_page
曹魏,1047890,㽔賔鐘銘,㽔賔鐘銘,㽔賔鐘銘,1,scrape_output\raw\曹魏\㽔賔鐘銘\㽔賔鐘銘__juan_01.txt,scrape_output\clean\曹魏\㽔賔鐘銘\㽔賔鐘銘__juan_01.txt,159,115,0
曹魏,167343,七佛父母姓字經,七佛父母姓字經,七佛父母姓字經,1,scrape_output\raw\曹魏\七佛父母姓字經\七佛父母姓字經__juan_01.txt,scrape_output\clean\曹魏\七佛父母姓字經\七佛父母姓字經__juan_01.txt,1733,1689,0
曹魏,16189,七哀詩 (曹子建),七哀詩 (曹子建),七哀詩 (曹子建),1,scrape_output\raw\曹魏\七哀詩 (曹子建)\七哀詩 (曹子建)__juan_01.txt,scrape_output\clean\曹魏\七哀詩 (曹子建)\七哀詩 (曹子建)__juan_01.txt,189,145,0
曹魏,1052228,七哀詩三首,七哀詩三首·其一,七哀詩三首,1,scrape_output\raw\曹魏\七哀詩三首\七哀詩三首__juan_01.txt,scrape_output\clean\曹魏\七哀詩三首\七哀詩三首__juan_01.txt,219,175,0
曹魏,1052228,七哀詩三首,七哀詩三首·其三,七哀詩三首,2,scrape_output\raw\曹魏\七哀詩三首\七哀詩三首__juan_02.txt,scrape_output\clean\曹魏\七哀詩三首\七哀詩三首__juan_02.txt,189,145,0
曹魏,1052228,七哀詩三首,七哀詩三首·其二,七哀詩三首,3,scrape_output\raw\曹魏\七哀詩三首\七哀詩三首__juan_03.txt,scrape_output\clean\曹魏\七哀詩三首\七哀詩三首__juan_03.txt,203,159,0
曹魏,23781,七啟,七啟,七啟,1,scrape_output\raw\曹魏\七啟\七啟__juan_01.txt,scrape_output\clean\曹魏\七啟\七啟__juan_01.txt,2803,2758,0
曹魏,66337,七華,七華,七華,1,scrape_output\raw\曹魏\七華\七華__juan_01.txt,scrape_output\clean\曹魏\七華\七華__juan_01.txt,854,758,0
曹魏,1047741,七釋,七釋,七釋,1,scrape_output\raw\曹魏\七釋\七釋__juan_01.txt,scrape_output\clean\曹魏\七釋\七釋__juan_01.txt,471,427,0
曹魏,1047793,三輔論,三輔論,三輔論,1,scrape_output\raw\曹魏\三輔論\三輔論__juan_01.txt,scrape_output\clean\曹魏\三輔論\三輔論__juan_01.txt,294,250,0
曹魏,99602,上留田行 (曹丕),上留田行 (曹丕),上留田行 (曹丕),1,scrape_output\raw\曹魏\上留田行 (曹丕)\上留田行 (曹丕)__juan_01.txt,scrape_output\clean\曹魏\上留田行 (曹丕)\上留田行 (曹丕)__juan_01.txt,157,113,0
曹魏,66332,上都官考課疏,上都官考課疏,上都官考課疏,1,scrape_output\raw\曹魏\上都官考課疏\上都官考課疏__juan_01.txt,scrape_output\clean\曹魏\上都官考課疏\上都官考課疏__juan_01.txt,221,128,0
曹魏,199528,丹霞蔽日行 (曹丕),丹霞蔽日行 (曹丕),丹霞蔽日行 (曹丕),1,scrape_output\raw\曹魏\丹霞蔽日行 (曹丕)\丹霞蔽日行 (曹丕)__juan_01.txt,scrape_output\clean\曹魏\丹霞蔽日行 (曹丕)\丹霞蔽日行 (曹丕)__juan_01.txt,137,93,0
曹魏,199527,丹霞蔽日行 (曹植),丹霞蔽日行 (曹植),丹霞蔽日行 (曹植),1,scrape_output\raw\曹魏\丹霞蔽日行 (曹植)\丹霞蔽日行 (曹植)__juan_01.txt,scrape_output\clean\曹魏\丹霞蔽日行 (曹植)\丹霞蔽日行 (曹植)__juan_01.txt,162,70,0
曹魏,761892,九章算術注序,九章算術注序,九章算術注序,1,scrape_output\raw\曹魏\九章算術注序\九章算術注序__juan_01.txt,scrape_output\clean\曹魏\九章算術注序\九章算術注序__juan_01.txt,963,918,0
曹魏,140285,五言贈秀才詩,五言贈秀才詩,五言贈秀才詩,1,scrape_output\raw\曹魏\五言贈秀才詩\五言贈秀才詩__juan_01.txt,scrape_output\clean\曹魏\五言贈秀才詩\五言贈秀才詩__juan_01.txt,273,229,0
曹魏,42847,人物志,人物志,人物志,1,scrape_output\raw\曹魏\人物志\人物志__juan_01.txt,scrape_output\clean\曹魏\人物志\人物志__juan_01.txt,131,86,0
曹魏,99625,令詩,令詩,令詩,1,scrape_output\raw\曹魏\令詩\令詩__juan_01.txt,scrape_output\clean\曹魏\令詩\令詩__juan_01.txt,118,74,0
曹魏,177165,佛說不思議功德諸佛所護念經,佛說不思議功德諸佛所護念經/卷01,佛說不思議功德諸佛所護念經,1,scrape_output\raw\曹魏\佛說不思議功德諸佛所護念經\佛說不思議功德諸佛所護念經__juan_01.txt,scrape_output\clean\曹魏\佛說不思議功德諸佛所護念經\佛說不思議功德諸佛所護念經__juan_01.txt,5852,5849,0
曹魏,177165,佛說不思議功德諸佛所護念經,佛說不思議功德諸佛所護念經/卷02,佛說不思議功德諸佛所護念經,2,scrape_output\raw\曹魏\佛說不思議功德諸佛所護念經\佛說不思議功德諸佛所護念經__juan_02.txt,scrape_output\clean\曹魏\佛說不思議功德諸佛所護念經\佛說不思議功德諸佛所護念經__juan_02.txt,7341,7337,0
曹魏,175780,佛說須賴經 (白延譯),佛說須賴經 (白延譯),佛說須賴經 (白延譯),1,scrape_output\raw\曹魏\佛說須賴經 (白延譯)\佛說須賴經 (白延譯)__juan_01.txt,scrape_output\clean\曹魏\佛說須賴經 (白延譯)\佛說須賴經 (白延譯)__juan_01.txt,8168,8119,0
曹魏,1100564,侍太子坐,侍太子坐,侍太子坐,1,scrape_output\raw\曹魏\侍太子坐\侍太子坐__juan_01.txt,scrape_output\clean\曹魏\侍太子坐\侍太子坐__juan_01.txt,151,107,0
曹魏,1047897,傷天賦,傷天賦,傷天賦,1,scrape_output\raw\曹魏\傷天賦\傷天賦__juan_01.txt,scrape_output\clean\曹魏\傷天賦\傷天賦__juan_01.txt,177,133,0
曹魏,1047799,儒吏論,儒吏論,儒吏論,1,scrape_output\raw\曹魏\儒吏論\儒吏論__juan_01.txt,scrape_output\clean\曹魏\儒吏論\儒吏論__juan_01.txt,299,255,0
曹魏,66334,元會日蝕議,元會日蝕議,元會日蝕議,1,scrape_output\raw\曹魏\元會日蝕議\元會日蝕議__juan_01.txt,scrape_output\clean\曹魏\元會日蝕議\元會日蝕議__juan_01.txt,249,157,0
曹魏,178347,全三國文,全三國文/卷7,全三國文,1,scrape_output\raw\曹魏\全三國文\全三國文__juan_01.txt,scrape_output\clean\曹魏\全三國文\全三國文__juan_01.txt,7762,7585,0
曹魏,25755,公讌詩 (王粲),公讌詩 (王粲),公讌詩 (王粲),1,scrape_output\raw\曹魏\公讌詩 (王粲)\公讌詩 (王粲)__juan_01.txt,scrape_output\clean\曹魏\公讌詩 (王粲)\公讌詩 (王粲)__juan_01.txt,245,201,0
曹魏,1047687,出婦賦,出婦賦,出婦賦,1,scrape_output\raw\曹魏\出婦賦\出婦賦__juan_01.txt,scrape_output\clean\曹魏\出婦賦\出婦賦__juan_01.txt,191,147,0
曹魏,1047877,刀銘,刀銘,刀銘,1,scrape_output\raw\曹魏\刀銘\刀銘__juan_01.txt,scrape_output\clean\曹魏\刀銘\刀銘__juan_01.txt,203,159,0
曹魏,1047678,初征賦,初征賦,初征賦,1,scrape_output\raw\曹魏\初征賦\初征賦__juan_01.txt,scrape_output\clean\曹魏\初征賦\初征賦__juan_01.txt,209,165,0
曹魏,50773,劉徽割圓術,劉徽割圓術,劉徽割圓術,1,scrape_output\raw\曹魏\劉徽割圓術\劉徽割圓術__juan_01.txt,scrape_output\clean\曹魏\劉徽割圓術\劉徽割圓術__juan_01.txt,2182,2138,0
曹魏,1047791,務本論,務本論,務本論,1,scrape_output\raw\曹魏\務本論\務本論__juan_01.txt,scrape_output\clean\曹魏\務本論\務本論__juan_01.txt,382,338,0
曹魏,99578,十五,十五,十五,1,scrape_output\raw\曹魏\十五\十五__juan_01.txt,scrape_output\clean\曹魏\十五\十五__juan_01.txt,151,107,0
曹魏,1047807,又儒吏論畧,又儒吏論畧,又儒吏論畧,1,scrape_output\raw\曹魏\又儒吏論畧\又儒吏論畧__juan_01.txt,scrape_output\clean\曹魏\又儒吏論畧\又儒吏論畧__juan_01.txt,125,81,0
曹魏,1047805,又務本論畧,又務本論畧,又務本論畧,1,scrape_output\raw\曹魏\又務本論畧\又務本論畧__juan_01.txt,scrape_output\clean\曹魏\又務本論畧\又務本論畧__juan_01.txt,104,60,0
曹魏,36055,反金人讚,反金人讚,反金人讚,1,scrape_output\raw\曹魏\反金人讚\反金人讚__juan_01.txt,scrape_output\clean\曹魏\反金人讚\反金人讚__juan_01.txt,138,94,0
曹魏,1047880,吊夷齊文 (王粲),吊夷齊文 (王粲),吊夷齊文 (王粲),1,scrape_output\raw\曹魏\吊夷齊文 (王粲)\吊夷齊文 (王粲)__juan_01.txt,scrape_output\clean\曹魏\吊夷齊文 (王粲)\吊夷齊文 (王粲)__juan_01.txt,247,203,0
曹魏,99587,同前 (曹丕),同前 (曹丕),同前 (曹丕),1,scrape_output\raw\曹魏\同前 (曹丕)\同前 (曹丕)__juan_01.txt,scrape_output\clean\曹魏\同前 (曹丕)\同前 (曹丕)__juan_01.txt,377,333,0
曹魏,1049898,吳朝請集,吳朝請集,吳朝請集,1,scrape_output\raw\曹魏\吳朝請集\吳朝請集__juan_01.txt,scrape_output\clean\曹魏\吳朝請集\吳朝請集__juan_01.txt,12467,12418,0
曹魏,32398,善哉行 (曹丕),善哉行 (曹丕),善哉行 (曹丕),1,scrape_output\raw\曹魏\善哉行 (曹丕)\善哉行 (曹丕)__juan_01.txt,scrape_output\clean\曹魏\善哉行 (曹丕)\善哉行 (曹丕)__juan_01.txt,369,325,0
曹魏,142590,善哉行 (魏明帝),善哉行 (魏明帝),善哉行 (魏明帝),1,scrape_output\raw\曹魏\善哉行 (魏明帝)\善哉行 (魏明帝)__juan_01.txt,scrape_output\clean\曹魏\善哉行 (魏明帝)\善哉行 (魏明帝)__juan_01.txt,488,372,0
