category	pageid	work_title	page_title	work_folder	juan_index	raw_path	clean_path	char_count_raw	char_count_clean	is_empty_page
東漢	1044730	七依	七依	七依	1	scrape_output\raw\東漢\七依\七依__juan_01.txt	scrape_output\clean\東漢\七依\七依__juan_01.txt	375	331	0
東漢	25821	七哀詩 (王粲)	七哀詩 (王粲)	七哀詩 (王粲)	1	scrape_output\raw\東漢\七哀詩 (王粲)\七哀詩 (王粲)__juan_01.txt	scrape_output\clean\東漢\七哀詩 (王粲)\七哀詩 (王粲)__juan_01.txt	464	420	0
東漢	169958	七喻	七喻	七喻	1	scrape_output\raw\東漢\七喻\七喻__juan_01.txt	scrape_output\clean\東漢\七喻\七喻__juan_01.txt	429	427	0
東漢	1035801	七款	七款	七款	1	scrape_output\raw\東漢\七款\七款__juan_01.txt	scrape_output\clean\東漢\七款\七款__juan_01.txt	205	161	0
東漢	1044736	七言詩	七言詩	七言詩	1	scrape_output\raw\東漢\七言詩\七言詩__juan_01.txt	scrape_output\clean\東漢\七言詩\七言詩__juan_01.txt	103	59	0
東漢	165332	七辯	七辯	七辯	1	scrape_output\raw\東漢\七辯\七辯__juan_01.txt	scrape_output\clean\東漢\七辯\七辯__juan_01.txt	1278	1257	0
東漢	1036219	三游論	三游論	三游論	1	scrape_output\raw\東漢\三游論\三游論__juan_01.txt	scrape_output\clean\東漢\三游論\三游論__juan_01.txt	1078	1034	0
東漢	58927	三秦記	三秦記	三秦記	1	scrape_output\raw\東漢\三秦記\三秦記__juan_01.txt	scrape_output\clean\東漢\三秦記\三秦記__juan_01.txt	830	735	0
東漢	27985	上三府所辟稱故吏事	上三府所辟稱故吏事	上三府所辟稱故吏事	1	scrape_output\raw\東漢\上三府所辟稱故吏事\上三府所辟稱故吏事__juan_01.txt	scrape_output\clean\東漢\上三府所辟稱故吏事\上三府所辟稱故吏事__juan_01.txt	326	232	0
東漢	165349	上事殘句	上事殘句	上事殘句	1	scrape_output\raw\東漢\上事殘句\上事殘句__juan_01.txt	scrape_output\clean\東漢\上事殘句\上事殘句__juan_01.txt	67	63	0
東漢	1044788	上四巡頌表	上四巡頌表	上四巡頌表	1	scrape_output\raw\東漢\上四巡頌表\上四巡頌表__juan_01.txt	scrape_output\clean\東漢\上四巡頌表\上四巡頌表__juan_01.txt	161	117	0
東漢	891676	上安帝請龐參等書	上安帝請龐參等書	上安帝請龐參等書	1	scrape_output\raw\東漢\上安帝請龐參等書\上安帝請龐參等書__juan_01.txt	scrape_output\clean\東漢\上安帝請龐參等書\上安帝請龐參等書__juan_01.txt	416	372	0
東漢	169675	上書	上書	上書	1	scrape_output\raw\東漢\上書\上書__juan_01.txt	scrape_output\clean\東漢\上書\上書__juan_01.txt	161	67	0
東漢	27956	上書薦謝該	上書薦謝該	上書薦謝該	1	scrape_output\raw\東漢\上書薦謝該\上書薦謝該__juan_01.txt	scrape_output\clean\東漢\上書薦謝該\上書薦謝該__juan_01.txt	475	428	0
東漢	169674	上書薦趙臺卿	上書薦趙臺卿	上書薦趙臺卿	1	scrape_output\raw\東漢\上書薦趙臺卿\上書薦趙臺卿__juan_01.txt	scrape_output\clean\東漢\上書薦趙臺卿\上書薦趙臺卿__juan_01.txt	111	17	0
東漢	27984	上書請準古王畿制	上書請準古王畿制	上書請準古王畿制	1	scrape_output\raw\東漢\上書請準古王畿制\上書請準古王畿制__juan_01.txt	scrape_output\clean\東漢\上書請準古王畿制\上書請準古王畿制__juan_01.txt	379	285	0
東漢	891632	上漢帝書 (孔融)	上漢帝書 (孔融)	上漢帝書 (孔融)	1	scrape_output\raw\東漢\上漢帝書 (孔融)\上漢帝書 (孔融)__juan_01.txt	scrape_output\clean\東漢\上漢帝書 (孔融)\上漢帝書 (孔融)__juan_01.txt	126	82	0
東漢	165347	上疏請專事東觀收檢遺文	上疏請專事東觀收檢遺文	上疏請專事東觀收檢遺文	1	scrape_output\raw\東漢\上疏請專事東觀收檢遺文\上疏請專事東觀收檢遺文__juan_01.txt	scrape_output\clean\東漢\上疏請專事東觀收檢遺文\上疏請專事東觀收檢遺文__juan_01.txt	85	83	0
