category	pageid	work_title	page_title	work_folder	juan_index	raw_path	clean_path	char_count_raw	char_count_clean	is_empty_page
西晉	23782	七命	七命	七命	1	scrape_output\raw\西晉\七命\七命__juan_01.txt	scrape_output\clean\西晉\七命\七命__juan_01.txt	3083	3033	0
西晉	242	三國志	三國志/卷01	三國志	1	scrape_output\raw\西晉\三國志\三國志__juan_01.txt	scrape_output\clean\西晉\三國志\三國志__juan_01.txt	33326	33268	0
西晉	242	三國志	三國志/卷02	三國志	2	scrape_output\raw\西晉\三國志\三國志__juan_02.txt	scrape_output\clean\西晉\三國志\三國志__juan_02.txt	13202	13152	0
西晉	242	三國志	三國志/卷06	三國志	3	scrape_output\raw\西晉\三國志\三國志__juan_03.txt	scrape_output\clean\西晉\三國志\三國志__juan_03.txt	31503	31449	0
西晉	242	三國志	三國志/卷07	三國志	4	scrape_output\raw\西晉\三國志\三國志__juan_04.txt	scrape_output\clean\西晉\三國志\三國志__juan_04.txt	11870	11804	0
西晉	242	三國志	三國志/卷28	三國志	5	scrape_output\raw\西晉\三國志\三國志__juan_05.txt	scrape_output\clean\西晉\三國志\三國志__juan_05.txt	26048	25981	0
西晉	242	三國志	三國志/卷43	三國志	6	scrape_output\raw\西晉\三國志\三國志__juan_06.txt	scrape_output\clean\西晉\三國志\三國志__juan_06.txt	6822	6769	0
西晉	242	三國志	三國志/卷50	三國志	7	scrape_output\raw\西晉\三國志\三國志__juan_07.txt	scrape_output\clean\西晉\三國志\三國志__juan_07.txt	4510	4458	0
西晉	242	三國志	三國志/卷54	三國志	8	scrape_output\raw\西晉\三國志\三國志__juan_08.txt	scrape_output\clean\西晉\三國志\三國志__juan_08.txt	13751	13703	0
西晉	242	三國志	三國志/卷55	三國志	9	scrape_output\raw\西晉\三國志\三國志__juan_09.txt	scrape_output\clean\西晉\三國志\三國志__juan_09.txt	10406	10358	0
西晉	877033	三曼陀跋陀羅菩薩經	三曼陀跋陀羅菩薩經	三曼陀跋陀羅菩薩經	1	scrape_output\raw\西晉\三曼陀跋陀羅菩薩經\三曼陀跋陀羅菩薩經__juan_01.txt	scrape_output\clean\西晉\三曼陀跋陀羅菩薩經\三曼陀跋陀羅菩薩經__juan_01.txt	3599	3502	0
西晉	765996	上客舍議	上客舍議	上客舍議	1	scrape_output\raw\西晉\上客舍議\上客舍議__juan_01.txt	scrape_output\clean\西晉\上客舍議\上客舍議__juan_01.txt	575	531	0
西晉	1009792	上律令注解奏	上律令注解奏	上律令注解奏	1	scrape_output\raw\西晉\上律令注解奏\上律令注解奏__juan_01.txt	scrape_output\clean\西晉\上律令注解奏\上律令注解奏__juan_01.txt	228	184	0
西晉	765993	上關中詩表	上關中詩表	上關中詩表	1	scrape_output\raw\西晉\上關中詩表\上關中詩表__juan_01.txt	scrape_output\clean\西晉\上關中詩表\上關中詩表__juan_01.txt	180	136	0
西晉	1020266	上黜陟課法略	上黜陟課法略	上黜陟課法略	1	scrape_output\raw\西晉\上黜陟課法略\上黜陟課法略__juan_01.txt	scrape_output\clean\西晉\上黜陟課法略\上黜陟課法略__juan_01.txt	632	588	0
西晉	766034	世祖皇帝誄	世祖皇帝誄	世祖皇帝誄	1	scrape_output\raw\西晉\世祖皇帝誄\世祖皇帝誄__juan_01.txt	scrape_output\clean\西晉\世祖皇帝誄\世祖皇帝誄__juan_01.txt	786	742	0
西晉	1033060	之馮翊祖道詩	之馮翊祖道詩	之馮翊祖道詩	1	scrape_output\raw\西晉\之馮翊祖道詩\之馮翊祖道詩__juan_01.txt	scrape_output\clean\西晉\之馮翊祖道詩\之馮翊祖道詩__juan_01.txt	105	61	0
西晉	1032987	九品疏	九品疏	九品疏	1	scrape_output\raw\西晉\九品疏\九品疏__juan_01.txt	scrape_output\clean\西晉\九品疏\九品疏__juan_01.txt	177	133	0
西晉	765995	九品議	九品議	九品議	1	scrape_output\raw\西晉\九品議\九品議__juan_01.txt	scrape_output\clean\西晉\九品議\九品議__juan_01.txt	340	296	0
西晉	102295	九州春秋	九州春秋	九州春秋	1	scrape_output\raw\西晉\九州春秋\九州春秋__juan_01.txt	scrape_output\clean\西晉\九州春秋\九州春秋__juan_01.txt	6066	6018	0
