category,pageid,work_title,page_title,work_folder,juan_index,raw_path,clean_path,char_count_raw,char_count_clean,is_empty_page
西漢,18020,七發,七發,七發,1,scrape_output\raw\西漢\七發\七發__juan_01.txt,scrape_output\clean\西漢\七發\七發__juan_01.txt,3004,2960,0
西漢,199474,三月詔,三月詔,三月詔,1,scrape_output\raw\西漢\三月詔\三月詔__juan_01.txt,scrape_output\clean\西漢\三月詔\三月詔__juan_01.txt,245,201,0
西漢,23354,上書諫吳王,上書諫吳王,上書諫吳王,1,scrape_output\raw\西漢\上書諫吳王\上書諫吳王__juan_01.txt,scrape_output\clean\西漢\上書諫吳王\上書諫吳王__juan_01.txt,775,731,0
西漢,164986,上書諫哀帝勿許匈奴朝,上書諫哀帝勿許匈奴朝,上書諫哀帝勿許匈奴朝,1,scrape_output\raw\西漢\上書諫哀帝勿許匈奴朝\上書諫哀帝勿許匈奴朝__juan_01.txt,scrape_output\clean\西漢\上書諫哀帝勿許匈奴朝\上書諫哀帝勿許匈奴朝__juan_01.txt,1402,1398,0
西漢,11139,上書諫獵,上書諫獵,上書諫獵,1,scrape_output\raw\西漢\上書諫獵\上書諫獵__juan_01.txt,scrape_output\clean\西漢\上書諫獵\上書諫獵__juan_01.txt,404,360,0
西漢,23361,上書重諫吳王,上書重諫吳王,上書重諫吳王,1,scrape_output\raw\西漢\上書重諫吳王\上書重諫吳王__juan_01.txt,scrape_output\clean\西漢\上書重諫吳王\上書重諫吳王__juan_01.txt,700,656,0
西漢,24021,上林賦,上林賦,上林賦,1,scrape_output\raw\西漢\上林賦\上林賦__juan_01.txt,scrape_output\clean\西漢\上林賦\上林賦__juan_01.txt,2974,2930,0
西漢,164928,上都輸疏,上都輸疏,上都輸疏,1,scrape_output\raw\西漢\上都輸疏\上都輸疏__juan_01.txt,scrape_output\clean\西漢\上都輸疏\上都輸疏__juan_01.txt,186,186,0
西漢,164931,九懷,九懷,九懷,1,scrape_output\raw\西漢\九懷\九懷__juan_01.txt,scrape_output\clean\西漢\九懷\九懷__juan_01.txt,1803,1759,0
西漢,19918,九歎,九歎,九歎,1,scrape_output\raw\西漢\九歎\九歎__juan_01.txt,scrape_output\clean\西漢\九歎\九歎__juan_01.txt,4594,4550,0
西漢,352017,五十二病方,五十二病方,五十二病方,1,scrape_output\raw\西漢\五十二病方\五十二病方__juan_01.txt,scrape_output\clean\西漢\五十二病方\五十二病方__juan_01.txt,14943,13177,0
西漢,1181080,五十二病方 (抄本),五十二病方 (抄本),五十二病方 (抄本),1,scrape_output\raw\西漢\五十二病方 (抄本)\五十二病方 (抄本)__juan_01.txt,scrape_output\clean\西漢\五十二病方 (抄本)\五十二病方 (抄本)__juan_01.txt,12921,11141,0
西漢,1181079,五十二病方 (標點本),五十二病方 (標點本),五十二病方 (標點本),1,scrape_output\raw\西漢\五十二病方 (標點本)\五十二病方 (標點本)__juan_01.txt,scrape_output\clean\西漢\五十二病方 (標點本)\五十二病方 (標點本)__juan_01.txt,15310,13532,0
西漢,199423,令善遇高爵詔,令善遇高爵詔,令善遇高爵詔,1,scrape_output\raw\西漢\令善遇高爵詔\令善遇高爵詔__juan_01.txt,scrape_output\clean\西漢\令善遇高爵詔\令善遇高爵詔__juan_01.txt,141,94,0
西漢,164715,僮約,僮約,僮約,1,scrape_output\raw\西漢\僮約\僮約__juan_01.txt,scrape_output\clean\西漢\僮約\僮約__juan_01.txt,1084,1038,0
西漢,164988,元后誄,元后誄,元后誄,1,scrape_output\raw\西漢\元后誄\元后誄__juan_01.txt,scrape_output\clean\西漢\元后誄\元后誄__juan_01.txt,1054,1010,0
西漢,105766,全漢文,全漢文/卷二,全漢文,1,scrape_output\raw\西漢\全漢文\全漢文__juan_01.txt,scrape_output\clean\西漢\全漢文\全漢文__juan_01.txt,7210,6995,0
西漢,105766,全漢文,全漢文/卷三,全漢文,2,scrape_output\raw\西漢\全漢文\全漢文__juan_02.txt,scrape_output\clean\西漢\全漢文\全漢文__juan_02.txt,7326,7134,0
西漢,105766,全漢文,全漢文/卷四,全漢文,3,scrape_output\raw\西漢\全漢文\全漢文__juan_03.txt,scrape_output\clean\西漢\全漢文\全漢文__juan_03.txt,9135,8860,0
西漢,105766,全漢文,全漢文/卷五,全漢文,4,scrape_output\raw\西漢\全漢文\全漢文__juan_04.txt,scrape_output\clean\西漢\全漢文\全漢文__juan_04.txt,5625,5408,0
西漢,169916,几賦,几賦,几賦,1,scrape_output\raw\西漢\几賦\几賦__juan_01.txt,scrape_output\clean\西漢\几賦\几賦__juan_01.txt,203,109,0
西漢,164809,凡將篇 (殘句),凡將篇 (殘句),凡將篇 (殘句),1,scrape_output\raw\西漢\凡將篇 (殘句)\凡將篇 (殘句)__juan_01.txt,scrape_output\clean\西漢\凡將篇 (殘句)\凡將篇 (殘句)__juan_01.txt,180,162,0
西漢,24782,列女傳,列女傳/卷1,列女傳,1,scrape_output\raw\西漢\列女傳\列女傳__juan_01.txt,scrape_output\clean\西漢\列女傳\列女傳__juan_01.txt,7719,7719,0
西漢,24782,列女傳,列女傳/卷2,列女傳,2,scrape_output\raw\西漢\列女傳\列女傳__juan_02.txt,scrape_output\clean\西漢\列女傳\列女傳__juan_02.txt,6203,6203,0
西漢,24782,列女傳,列女傳/卷3,列女傳,3,scrape_output\raw\西漢\列女傳\列女傳__juan_03.txt,scrape_output\clean\西漢\列女傳\列女傳__juan_03.txt,6567,6567,0
西漢,24782,列女傳,列女傳/卷4,列女傳,4,scrape_output\raw\西漢\列女傳\列女傳__juan_04.txt,scrape_output\clean\西漢\列女傳\列女傳__juan_04.txt,5647,5647,0
西漢,24782,列女傳,列女傳/卷5,列女傳,5,scrape_output\raw\西漢\列女傳\列女傳__juan_05.txt,scrape_output\clean\西漢\列女傳\列女傳__juan_05.txt,7129,7129,0
西漢,24782,列女傳,列女傳/卷6,列女傳,6,scrape_output\raw\西漢\列女傳\列女傳__juan_06.txt,scrape_output\clean\西漢\列女傳\列女傳__juan_06.txt,8944,8944,0
西漢,24782,列女傳,列女傳/卷7,列女傳,7,scrape_output\raw\西漢\列女傳\列女傳__juan_07.txt,scrape_output\clean\西漢\列女傳\列女傳__juan_07.txt,7208,7206,0
西漢,23728,劇秦美新,劇秦美新,劇秦美新,1,scrape_output\raw\西漢\劇秦美新\劇秦美新__juan_01.txt,scrape_output\clean\西漢\劇秦美新\劇秦美新__juan_01.txt,1743,1697,0
西漢,1044818,劉子駿集,劉子駿集,劉子駿集,1,scrape_output\raw\西漢\劉子駿集\劉子駿集__juan_01.txt,scrape_output\clean\西漢\劉子駿集\劉子駿集__juan_01.txt,3650,3605,0
西漢,165013,十二州百官箴,十二州百官箴,十二州百官箴,1,scrape_output\raw\西漢\十二州百官箴\十二州百官箴__juan_01.txt,scrape_output\clean\西漢\十二州百官箴\十二州百官箴__juan_01.txt,9,9,0
西漢,165014,十二州箴,十二州箴,十二州箴,1,scrape_output\raw\西漢\十二州箴\十二州箴__juan_01.txt,scrape_output\clean\西漢\十二州箴\十二州箴__juan_01.txt,2696,2604,0
西漢,1046420,十洲記序,十洲記序,十洲記序,1,scrape_output\raw\西漢\十洲記序\十洲記序__juan_01.txt,scrape_output\clean\西漢\十洲記序\十洲記序__juan_01.txt,355,309,0
西漢,164980,反離騷,反離騷,反離騷,1,scrape_output\raw\西漢\反離騷\反離騷__juan_01.txt,scrape_output\clean\西漢\反離騷\反離騷__juan_01.txt,1051,1007,0
西漢,7534,史記,史記/卷025,史記,1,scrape_output\raw\西漢\史記\史記__juan_01.txt,scrape_output\clean\西漢\史記\史記__juan_01.txt,2889,2889,0
西漢,7534,史記,史記/卷027,史記,2,scrape_output\raw\西漢\史記\史記__juan_02.txt,scrape_output\clean\西漢\史記\史記__juan_02.txt,37043,34942,0
西漢,7534,史記,史記/淮陰侯列傳,史記,3,scrape_output\raw\西漢\史記\史記__juan_03.txt,scrape_output\clean\西漢\史記\史記__juan_03.txt,8218,8036,0
西漢,7534,史記,史記/高祖功臣侯者年表,史記,4,scrape_output\raw\西漢\史記\史記__juan_04.txt,scrape_output\clean\西漢\史記\史記__juan_04.txt,1088,905,0
西漢,7535,史記三家註,史記三家註/卷001,史記三家註,1,scrape_output\raw\西漢\史記三家註\史記三家註__juan_01.txt,scrape_output\clean\西漢\史記三家註\史記三家註__juan_01.txt,33588,33334,0
西漢,7535,史記三家註,史記三家註/卷002,史記三家註,2,scrape_output\raw\西漢\史記三家註\史記三家註__juan_02.txt,scrape_output\clean\西漢\史記三家註\史記三家註__juan_02.txt,27437,27206,0
西漢,7535,史記三家註,史記三家註/卷003,史記三家註,3,scrape_output\raw\西漢\史記三家註\史記三家註__juan_03.txt,scrape_output\clean\西漢\史記三家註\史記三家註__juan_03.txt,11190,11046,0
西漢,7535,史記三家註,史記三家註/卷004,史記三家註,4,scrape_output\raw\西漢\史記三家註\史記三家註__juan_04.txt,scrape_output\clean\西漢\史記三家註\史記三家註__juan_04.txt,36125,35934,0
西漢,7535,史記三家註,史記三家註/卷005,史記三家註,5,scrape_output\raw\西漢\史記三家註\史記三家註__juan_05.txt,scrape_output\clean\西漢\史記三家註\史記三家註__juan_05.txt,27829,27646,0
西漢,7535,史記三家註,史記三家註/卷006,史記三家註,6,scrape_output\raw\西漢\史記三家註\史記三家註__juan_06.txt,scrape_output\clean\西漢\史記三家註\史記三家註__juan_06.txt,38942,38731,0
西漢,7535,史記三家註,史記三家註/卷007,史記三家註,7,scrape_output\raw\西漢\史記三家註\史記三家註__juan_07.txt,scrape_output\clean\西漢\史記三家註\史記三家註__juan_07.txt,26844,26750,0
西漢,7535,史記三家註,史記三家註/卷008,史記三家註,8,scrape_output\raw\西漢\史記三家註\史記三家註__juan_08.txt,scrape_output\clean\西漢\史記三家註\史記三家註__juan_08.txt,30330,30259,0
西漢,7535,史記三家註,史記三家註/卷009,史記三家註,9,scrape_output\raw\西漢\史記三家註\史記三家註__juan_09.txt,scrape_output\clean\西漢\史記三家註\史記三家註__juan_09.txt,9255,9151,0
西漢,7535,史記三家註,史記三家註/卷010,史記三家註,10,scrape_output\raw\西漢\史記三家註\史記三家註__juan_10.txt,scrape_output\clean\西漢\史記三家註\史記三家註__juan_10.txt,14228,14186,0
西漢,7535,史記三家註,史記三家註/卷011,史記三家註,11,scrape_output\raw\西漢\史記三家註\史記三家註__juan_11.txt,scrape_output\clean\西漢\史記三家註\史記三家註__juan_11.txt,5324,5302,0
西漢,7535,史記三家註,史記三家註/卷012,史記三家註,12,scrape_output\raw\西漢\史記三家註\史記三家註__juan_12.txt,scrape_output\clean\西漢\史記三家註\史記三家註__juan_12.txt,20183,20136,0
西漢,7535,史記三家註,史記三家註/卷013,史記三家註,13,scrape_output\raw\西漢\史記三家註\史記三家註__juan_13.txt,scrape_output\clean\西漢\史記三家註\史記三家註__juan_13.txt,2406,2286,0
西漢,7535,史記三家註,史記三家註/卷014,史記三家註,14,scrape_output\raw\西漢\史記三家註\史記三家註__juan_14.txt,scrape_output\clean\西漢\史記三家註\史記三家註__juan_14.txt,1632,1416,0
西漢,7535,史記三家註,史記三家註/卷015,史記三家註,15,scrape_output\raw\西漢\史記三家註\史記三家註__juan_15.txt,scrape_output\clean\西漢\史記三家註\史記三家註__juan_15.txt,1219,1069,0
西漢,7535,史記三家註,史記三家註/卷016,史記三家註,16,scrape_output\raw\西漢\史記三家註\史記三家註__juan_16.txt,scrape_output\clean\西漢\史記三家註\史記三家註__juan_16.txt,799,774,0
西漢,7535,史記三家註,史記三家註/卷017,史記三家註,17,scrape_output\raw\西漢\史記三家註\史記三家註__juan_17.txt,scrape_output\clean\西漢\史記三家註\史記三家註__juan_17.txt,1300,1280,0
西漢,7535,史記三家註,史記三家註/卷020,史記三家註,18,scrape_output\raw\西漢\史記三家註\史記三家註__juan_18.txt,scrape_output\clean\西漢\史記三家註\史記三家註__juan_18.txt,662,638,0
西漢,7535,史記三家註,史記三家註/卷021,史記三家註,19,scrape_output\raw\西漢\史記三家註\史記三家註__juan_19.txt,scrape_output\clean\西漢\史記三家註\史記三家註__juan_19.txt,145,143,0
