category,pageid,work_title,page_title,work_folder,juan_index,raw_path,clean_path,char_count_raw,char_count_clean,is_empty_page
遼朝,1214632,耶律延寧墓誌,耶律延寧墓誌,耶律延寧墓誌,1,scrape_output\raw\遼朝\耶律延寧墓誌\耶律延寧墓誌__juan_01.txt,scrape_output\clean\遼朝\耶律延寧墓誌\耶律延寧墓誌__juan_01.txt,822,736,0
遼朝,351860,致高麗問罪書,致高麗問罪書,致高麗問罪書,1,scrape_output\raw\遼朝\致高麗問罪書\致高麗問罪書__juan_01.txt,scrape_output\clean\遼朝\致高麗問罪書\致高麗問罪書__juan_01.txt,112,66,0
遼朝,351825,與晉帝詔,與晉帝詔,與晉帝詔,1,scrape_output\raw\遼朝\與晉帝詔\與晉帝詔__juan_01.txt,scrape_output\clean\遼朝\與晉帝詔\與晉帝詔__juan_01.txt,116,70,0
遼朝,352199,諫獵疏 (蕭觀音),諫獵疏 (蕭觀音),諫獵疏 (蕭觀音),1,scrape_output\raw\遼朝\諫獵疏 (蕭觀音)\諫獵疏 (蕭觀音)__juan_01.txt,scrape_output\clean\遼朝\諫獵疏 (蕭觀音)\諫獵疏 (蕭觀音)__juan_01.txt,286,240,0
遼朝,351844,諭三京等詔,諭三京等詔,諭三京等詔,1,scrape_output\raw\遼朝\諭三京等詔\諭三京等詔__juan_01.txt,scrape_output\clean\遼朝\諭三京等詔\諭三京等詔__juan_01.txt,207,161,0
遼朝,351970,諭上言範圍詔,諭上言範圍詔,諭上言範圍詔,1,scrape_output\raw\遼朝\諭上言範圍詔\諭上言範圍詔__juan_01.txt,scrape_output\clean\遼朝\諭上言範圍詔\諭上言範圍詔__juan_01.txt,124,77,0
遼朝,351839,諭史館學士詔,諭史館學士詔,諭史館學士詔,1,scrape_output\raw\遼朝\諭史館學士詔\諭史館學士詔__juan_01.txt,scrape_output\clean\遼朝\諭史館學士詔\諭史館學士詔__juan_01.txt,110,63,0
遼朝,352099,諭外官遷轉詔,諭外官遷轉詔,諭外官遷轉詔,1,scrape_output\raw\遼朝\諭外官遷轉詔\諭外官遷轉詔__juan_01.txt,scrape_output\clean\遼朝\諭外官遷轉詔\諭外官遷轉詔__juan_01.txt,123,76,0
遼朝,351832,諭大臣詔,諭大臣詔,諭大臣詔,1,scrape_output\raw\遼朝\諭大臣詔\諭大臣詔__juan_01.txt,scrape_output\clean\遼朝\諭大臣詔\諭大臣詔__juan_01.txt,121,74,0
遼朝,351975,諭大臣詔 (耶律宗真),諭大臣詔 (耶律宗真),諭大臣詔 (耶律宗真),1,scrape_output\raw\遼朝\諭大臣詔 (耶律宗真)\諭大臣詔 (耶律宗真)__juan_01.txt,scrape_output\clean\遼朝\諭大臣詔 (耶律宗真)\諭大臣詔 (耶律宗真)__juan_01.txt,120,73,0
遼朝,351852,諭奚王府部分合詔,諭奚王府部分合詔,諭奚王府部分合詔,1,scrape_output\raw\遼朝\諭奚王府部分合詔\諭奚王府部分合詔__juan_01.txt,scrape_output\clean\遼朝\諭奚王府部分合詔\諭奚王府部分合詔__juan_01.txt,125,78,0
遼朝,351850,諭官吏減資任用詔,諭官吏減資任用詔,諭官吏減資任用詔,1,scrape_output\raw\遼朝\諭官吏減資任用詔\諭官吏減資任用詔__juan_01.txt,scrape_output\clean\遼朝\諭官吏減資任用詔\諭官吏減資任用詔__juan_01.txt,113,67,0
遼朝,352205,諭宰相左企弓等,諭宰相左企弓等,諭宰相左企弓等,1,scrape_output\raw\遼朝\諭宰相左企弓等\諭宰相左企弓等__juan_01.txt,scrape_output\clean\遼朝\諭宰相左企弓等\諭宰相左企弓等__juan_01.txt,165,119,0
遼朝,352073,諭左夷離畢詔,諭左夷離畢詔,諭左夷離畢詔,1,scrape_output\raw\遼朝\諭左夷離畢詔\諭左夷離畢詔__juan_01.txt,scrape_output\clean\遼朝\諭左夷離畢詔\諭左夷離畢詔__juan_01.txt,179,132,0
遼朝,352085,諭左夷離畢詔 (耶律洪基),諭左夷離畢詔 (耶律洪基),諭左夷離畢詔 (耶律洪基),1,scrape_output\raw\遼朝\諭左夷離畢詔 (耶律洪基)\諭左夷離畢詔 (耶律洪基)__juan_01.txt,scrape_output\clean\遼朝\諭左夷離畢詔 (耶律洪基)\諭左夷離畢詔 (耶律洪基)__juan_01.txt,232,185,0
遼朝,351946,諭擊鐘邀駕訴冤詔,諭擊鐘邀駕訴冤詔,諭擊鐘邀駕訴冤詔,1,scrape_output\raw\遼朝\諭擊鐘邀駕訴冤詔\諭擊鐘邀駕訴冤詔__juan_01.txt,scrape_output\clean\遼朝\諭擊鐘邀駕訴冤詔\諭擊鐘邀駕訴冤詔__juan_01.txt,117,70,0
遼朝,351868,諭政事省樞密院詔,諭政事省樞密院詔,諭政事省樞密院詔,1,scrape_output\raw\遼朝\諭政事省樞密院詔\諭政事省樞密院詔__juan_01.txt,scrape_output\clean\遼朝\諭政事省樞密院詔\諭政事省樞密院詔__juan_01.txt,111,65,0
遼朝,351817,諭晉主詔,諭晉主詔,諭晉主詔,1,scrape_output\raw\遼朝\諭晉主詔\諭晉主詔__juan_01.txt,scrape_output\clean\遼朝\諭晉主詔\諭晉主詔__juan_01.txt,114,68,0
遼朝,351936,諭有司免黥詔,諭有司免黥詔,諭有司免黥詔,1,scrape_output\raw\遼朝\諭有司免黥詔\諭有司免黥詔__juan_01.txt,scrape_output\clean\遼朝\諭有司免黥詔\諭有司免黥詔__juan_01.txt,472,426,0
遼朝,351835,諭有司詔,諭有司詔,諭有司詔,1,scrape_output\raw\遼朝\諭有司詔\諭有司詔__juan_01.txt,scrape_output\clean\遼朝\諭有司詔\諭有司詔__juan_01.txt,214,168,0
遼朝,351841,諭有司詔 (耶律賢),諭有司詔 (耶律賢),諭有司詔 (耶律賢),1,scrape_output\raw\遼朝\諭有司詔 (耶律賢)\諭有司詔 (耶律賢)__juan_01.txt,scrape_output\clean\遼朝\諭有司詔 (耶律賢)\諭有司詔 (耶律賢)__juan_01.txt,118,72,0
遼朝,351845,諭有司詔 (耶律隆緒),諭有司詔 (耶律隆緒),諭有司詔 (耶律隆緒),1,scrape_output\raw\遼朝\諭有司詔 (耶律隆緒)\諭有司詔 (耶律隆緒)__juan_01.txt,scrape_output\clean\遼朝\諭有司詔 (耶律隆緒)\諭有司詔 (耶律隆緒)__juan_01.txt,120,73,0
遼朝,352186,諭李處溫等議對策,諭李處溫等議對策,諭李處溫等議對策,1,scrape_output\raw\遼朝\諭李處溫等議對策\諭李處溫等議對策__juan_01.txt,scrape_output\clean\遼朝\諭李處溫等議對策\諭李處溫等議對策__juan_01.txt,187,141,0
遼朝,352078,諭杜防,諭杜防,諭杜防,1,scrape_output\raw\遼朝\諭杜防\諭杜防__juan_01.txt,scrape_output\clean\遼朝\諭杜防\諭杜防__juan_01.txt,123,77,0
遼朝,351810,諭東丹王,諭東丹王,諭東丹王,1,scrape_output\raw\遼朝\諭東丹王\諭東丹王__juan_01.txt,scrape_output\clean\遼朝\諭東丹王\諭東丹王__juan_01.txt,120,74,0
遼朝,351846,諭樞密院詔,諭樞密院詔,諭樞密院詔,1,scrape_output\raw\遼朝\諭樞密院詔\諭樞密院詔__juan_01.txt,scrape_output\clean\遼朝\諭樞密院詔\諭樞密院詔__juan_01.txt,120,73,0
遼朝,351876,諭燕京將士詔,諭燕京將士詔,諭燕京將士詔,1,scrape_output\raw\遼朝\諭燕京將士詔\諭燕京將士詔__juan_01.txt,scrape_output\clean\遼朝\諭燕京將士詔\諭燕京將士詔__juan_01.txt,138,92,0
遼朝,351816,諭石敬瑭,諭石敬瑭,諭石敬瑭,1,scrape_output\raw\遼朝\諭石敬瑭\諭石敬瑭__juan_01.txt,scrape_output\clean\遼朝\諭石敬瑭\諭石敬瑭__juan_01.txt,309,257,0
遼朝,351879,諭耶律仁先,諭耶律仁先,諭耶律仁先,1,scrape_output\raw\遼朝\諭耶律仁先\諭耶律仁先__juan_01.txt,scrape_output\clean\遼朝\諭耶律仁先\諭耶律仁先__juan_01.txt,121,75,0
遼朝,351950,諭耶律仁先詔,諭耶律仁先詔,諭耶律仁先詔,1,scrape_output\raw\遼朝\諭耶律仁先詔\諭耶律仁先詔__juan_01.txt,scrape_output\clean\遼朝\諭耶律仁先詔\諭耶律仁先詔__juan_01.txt,115,69,0
遼朝,351965,諭耶律庶成詔,諭耶律庶成詔,諭耶律庶成詔,1,scrape_output\raw\遼朝\諭耶律庶成詔\諭耶律庶成詔__juan_01.txt,scrape_output\clean\遼朝\諭耶律庶成詔\諭耶律庶成詔__juan_01.txt,145,97,0
