category,pageid,work_title,page_title,work_folder,juan_index,raw_path,clean_path,char_count_raw,char_count_clean,is_empty_page
隋朝,1196869,三論玄義,三論玄義,三論玄義,1,scrape_output\raw\隋朝\三論玄義\三論玄義__juan_01.txt,scrape_output\clean\隋朝\三論玄義\三論玄義__juan_01.txt,22573,22465,0
隋朝,1197011,三論遊意義,三論遊意義,三論遊意義,1,scrape_output\raw\隋朝\三論遊意義\三論遊意義__juan_01.txt,scrape_output\clean\隋朝\三論遊意義\三論遊意義__juan_01.txt,10634,10623,0
隋朝,1021206,上巳褉飲,上巳褉飲,上巳褉飲,1,scrape_output\raw\隋朝\上巳褉飲\上巳褉飲__juan_01.txt,scrape_output\clean\隋朝\上巳褉飲\上巳褉飲__juan_01.txt,135,91,0
隋朝,1196041,中觀論疏,中觀論疏/卷001,中觀論疏,1,scrape_output\raw\隋朝\中觀論疏\中觀論疏__juan_01.txt,scrape_output\clean\隋朝\中觀論疏\中觀論疏__juan_01.txt,31524,31445,0
隋朝,1196041,中觀論疏,中觀論疏/卷002,中觀論疏,2,scrape_output\raw\隋朝\中觀論疏\中觀論疏__juan_02.txt,scrape_output\clean\隋朝\中觀論疏\中觀論疏__juan_02.txt,23216,23163,0
隋朝,1196041,中觀論疏,中觀論疏/卷003,中觀論疏,3,scrape_output\raw\隋朝\中觀論疏\中觀論疏__juan_03.txt,scrape_output\clean\隋朝\中觀論疏\中觀論疏__juan_03.txt,31112,31053,0
隋朝,1196041,中觀論疏,中觀論疏/卷004,中觀論疏,4,scrape_output\raw\隋朝\中觀論疏\中觀論疏__juan_04.txt,scrape_output\clean\隋朝\中觀論疏\中觀論疏__juan_04.txt,27495,27442,0
隋朝,1196041,中觀論疏,中觀論疏/卷005,中觀論疏,5,scrape_output\raw\隋朝\中觀論疏\中觀論疏__juan_05.txt,scrape_output\clean\隋朝\中觀論疏\中觀論疏__juan_05.txt,30742,30689,0
隋朝,1196041,中觀論疏,中觀論疏/卷006,中觀論疏,6,scrape_output\raw\隋朝\中觀論疏\中觀論疏__juan_06.txt,scrape_output\clean\隋朝\中觀論疏\中觀論疏__juan_06.txt,22157,22104,0
隋朝,1196041,中觀論疏,中觀論疏/卷007,中觀論疏,7,scrape_output\raw\隋朝\中觀論疏\中觀論疏__juan_07.txt,scrape_output\clean\隋朝\中觀論疏\中觀論疏__juan_07.txt,22174,22121,0
隋朝,1196041,中觀論疏,中觀論疏/卷008,中觀論疏,8,scrape_output\raw\隋朝\中觀論疏\中觀論疏__juan_08.txt,scrape_output\clean\隋朝\中觀論疏\中觀論疏__juan_08.txt,26257,26204,0
隋朝,1196041,中觀論疏,中觀論疏/卷009,中觀論疏,9,scrape_output\raw\隋朝\中觀論疏\中觀論疏__juan_09.txt,scrape_output\clean\隋朝\中觀論疏\中觀論疏__juan_09.txt,27074,27021,0
隋朝,1196041,中觀論疏,中觀論疏/卷010,中觀論疏,10,scrape_output\raw\隋朝\中觀論疏\中觀論疏__juan_10.txt,scrape_output\clean\隋朝\中觀論疏\中觀論疏__juan_10.txt,34653,34588,0
