root_title,work_id,mode,page_title,juan_index,raw_path,clean_path,chars_raw,chars_clean
大越史略,大越史略,toc_juan,大越史略/卷上,1,raw\大越史略\大越史略__juan_0001.txt,clean\大越史略\大越史略__juan_0001.txt,2528,2528
大越史略,大越史略,toc_juan,大越史略/卷下,2,raw\大越史略\大越史略__juan_0002.txt,clean\大越史略\大越史略__juan_0002.txt,878,878
大越史略,大越史略,toc_juan,大越史略/卷中,3,raw\大越史略\大越史略__juan_0003.txt,clean\大越史略\大越史略__juan_0003.txt,1812,1812
皇黎一統志,皇黎一統志,toc_juan,皇黎一統志/第一回,1,raw\皇黎一統志\皇黎一統志__juan_0001.txt,clean\皇黎一統志\皇黎一統志__juan_0001.txt,4062,4062
皇黎一統志,皇黎一統志,toc_juan,皇黎一統志/第七回,2,raw\皇黎一統志\皇黎一統志__juan_0002.txt,clean\皇黎一統志\皇黎一統志__juan_0002.txt,6789,6789
皇黎一統志,皇黎一統志,toc_juan,皇黎一統志/第三回,3,raw\皇黎一統志\皇黎一統志__juan_0003.txt,clean\皇黎一統志\皇黎一統志__juan_0003.txt,7101,7101
皇黎一統志,皇黎一統志,toc_juan,皇黎一統志/第九回,4,raw\皇黎一統志\皇黎一統志__juan_0004.txt,clean\皇黎一統志\皇黎一統志__juan_0004.txt,7954,7954
皇黎一統志,皇黎一統志,toc_juan,皇黎一統志/第二回,5,raw\皇黎一統志\皇黎一統志__juan_0005.txt,clean\皇黎一統志\皇黎一統志__juan_0005.txt,7005,7005
皇黎一統志,皇黎一統志,toc_juan,皇黎一統志/第五回,6,raw\皇黎一統志\皇黎一統志__juan_0006.txt,clean\皇黎一統志\皇黎一統志__juan_0006.txt,5283,5283
皇黎一統志,皇黎一統志,toc_juan,皇黎一統志/第八回,7,raw\皇黎一統志\皇黎一統志__juan_0007.txt,clean\皇黎一統志\皇黎一統志__juan_0007.txt,6440,6440
皇黎一統志,皇黎一統志,toc_juan,皇黎一統志/第六回,8,raw\皇黎一統志\皇黎一統志__juan_0008.txt,clean\皇黎一統志\皇黎一統志__juan_0008.txt,10171,10171
皇黎一統志,皇黎一統志,toc_juan,皇黎一統志/第十一回,9,raw\皇黎一統志\皇黎一統志__juan_0009.txt,clean\皇黎一統志\皇黎一統志__juan_0009.txt,8124,8124
